team,season,points
ORL,2017,"[1, 4, 7, 7, 7, 10, 11, 14, 17, 20, 21, 22, 22, 22, 23, 24, 24, 27, 30, 31, 31, 34, 37, 40]"
POR,2017,"[3, 6, 7, 10, 10, 13, 16, 19, 22, 25, 28, 31, 31, 32, 33, 36, 36, 36, 37, 40, 40, 43, 46, 47]"
RGN,2017,"[1, 4, 7, 8, 9, 12, 15, 16, 19, 19, 19, 19, 19, 20, 23, 23, 24, 24, 24, 27, 27, 30, 31, 34]"
WAS,2017,"[0, 0, 3, 3, 6, 9, 10, 11, 11, 11, 11, 11, 12, 12, 12, 13, 13, 13, 13, 16, 16, 16, 16, 19]"
CHI,2018,"[0, 3, 4, 4, 5, 5, 6, 9, 12, 15, 16, 19, 20, 23, 24, 25, 26, 29, 29, 32, 33, 34, 37, 37]"
GFC,2018,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9]"
HOU,2018,"[1, 2, 2, 3, 6, 9, 10, 10, 13, 13, 16, 19, 19, 19, 22, 23, 23, 26, 26, 26, 29, 32, 32, 32]"
NC,2018,"[3, 6, 9, 10, 11, 14, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 45, 48, 51, 54, 55, 56, 57]"
ORL,2018,"[1, 4, 5, 5, 8, 8, 8, 11, 12, 13, 13, 13, 13, 13, 16, 17, 20, 23, 24, 27, 27, 30, 30, 30]"
POR,2018,"[3, 4, 4, 4, 7, 7, 8, 11, 14, 15, 18, 21, 21, 24, 25, 26, 29, 30, 33, 33, 36, 36, 39, 42]"
RGN,2018,"[3, 6, 7, 8, 8, 11, 14, 17, 20, 21, 24, 25, 28, 28, 29, 32, 32, 35, 36, 37, 37, 38, 41, 41]"
UTA,2018,"[0, 1, 4, 5, 8, 9, 12, 12, 13, 16, 16, 19, 20, 21, 22, 22, 25, 28, 28, 28, 28, 31, 32, 35]"
