date,home,away,score_progression
2022-09-21,ORL,NC,"[(0, [0, 0]), (2, [0, 1]), (45, [0, 2]), (53, [0, 3])]"
2022-09-21,POR,LOU,"[(0, [0, 0]), (47, [1, 0]), (48, [2, 0]), (56, [3, 0])]"
2022-09-21,LA,WAS,"[(0, [0, 0]), (39, [1, 0]), (51, [2, 0]), (88, [2, 1])]"
2022-09-24,NC,NJY,"[(0, [0, 0]), (27, [1, 0]), (34, [2, 0]), (81, [3, 0])]"
2022-09-24,HOU,RGN,"[(0, [0, 0]), (29, [0, 1]), (76, [0, 2])]"
2022-09-25,POR,CHI,"[(0, [0, 0]), (48, [1, 0]), (61, [2, 0]), (90, [3, 0])]"
2022-09-25,KC,WAS,"[(0, [0, 0]), (18, [1, 0]), (38, [2, 0]), (41, [3, 0])]"
2022-09-25,ORL,SD,"[(0, [0, 0]), (33, [1, 0]), (68, [2, 0]), (76, [2, 1]), (87, [2, 2])]"
2022-09-25,LA,LOU,"[(0, [0, 0]), (14, [1, 0]), (37, [1, 1]), (43, [1, 2]), (90, [1, 3])]"
2022-09-30,SD,NC,"[(0, [0, 0])]"
2022-10-01,NJY,POR,"[(0, [0, 0]), (39, [1, 0]), (44, [1, 1]), (45, [1, 2]), (53, [1, 3]), (56, [2, 3]), (74, [3, 3])]"
2022-10-01,WAS,HOU,"[(0, [0, 0]), (14, [0, 1]), (36, [1, 1]), (58, [1, 2])]"
2022-10-01,LOU,KC,"[(0, [0, 0]), (90, [1, 0])]"
2022-10-01,RGN,ORL,"[(0, [0, 0]), (8, [1, 0]), (24, [2, 0]), (31, [3, 0])]"
2022-10-02,CHI,LA,"[(0, [0, 0]), (45, [1, 0]), (77, [2, 0])]"
2022-10-16,HOU,KC,"[(0, [0, 0]), (5, [0, 1]), (21, [1, 1]), (90, [1, 2])]"
2022-10-16,SD,CHI,"[(0, [0, 0]), (10, [0, 1]), (67, [1, 1]), (90, [2, 1])]"
2022-10-23,POR,SD,"[(0, [0, 0]), (8, [0, 1]), (20, [1, 1]), (90, [2, 1])]"
2022-10-23,RGN,KC,"[(0, [0, 0]), (4, [0, 1]), (63, [0, 2])]"
2022-10-29,POR,KC,"[(0, [0, 0]), (4, [1, 0]), (56, [2, 0])]"
