date,home,away,score_progression
2022-04-29,LA,NC,"[(0, [0, 0]), (3, [1, 0]), (13, [2, 0]), (51, [2, 1])]"
2022-04-30,POR,KC,"[(0, [0, 0]), (8, [1, 0]), (34, [2, 0]), (51, [3, 0])]"
2022-04-30,CHI,LOU,"[(0, [0, 0]), (2, [1, 0]), (10, [1, 1]), (25, [2, 1])]"
2022-05-01,WAS,RGN,"[(0, [0, 0]), (14, [1, 0]), (53, [1, 1]), (66, [2, 1])]"
2022-05-01,HOU,SD,"[(0, [0, 0]), (86, [0, 1])]"
2022-05-01,ORL,NJY,"[(0, [0, 0]), (29, [0, 1]), (30, [0, 2]), (41, [0, 3])]"
2022-05-07,SD,NJY,"[(0, [0, 0]), (45, [1, 0]), (66, [2, 0]), (70, [3, 0]), (90, [4, 0])]"
2022-05-08,KC,HOU,"[(0, [0, 0]), (40, [0, 1]), (90, [0, 2])]"
2022-05-08,RGN,LOU,"[(0, [0, 0]), (23, [0, 1]), (33, [1, 1]), (37, [2, 1]), (60, [2, 2])]"
2022-05-08,LA,ORL,"[(0, [0, 0]), (3, [0, 1])]"
2022-05-13,POR,RGN,"[(0, [0, 0])]"
2022-05-14,ORL,KC,"[(0, [0, 0]), (51, [1, 0]), (78, [1, 1]), (90, [1, 2]), (90, [2, 2])]"
2022-05-14,LOU,HOU,"[(0, [0, 0]), (77, [0, 1]), (82, [1, 1])]"
2022-05-15,WAS,LA,"[(0, [0, 0]), (42, [0, 1])]"
2022-05-15,SD,CHI,"[(0, [0, 0]), (56, [1, 0]), (89, [2, 0]), (90, [2, 1])]"
2022-05-18,NC,ORL,"[(0, [0, 0]), (4, [0, 1]), (44, [0, 2]), (86, [1, 2])]"
2022-05-18,LOU,SD,"[(0, [0, 0]), (27, [1, 0])]"
2022-05-18,POR,WAS,"[(0, [0, 0]), (57, [1, 0]), (63, [1, 1])]"
2022-05-21,POR,HOU,"[(0, [0, 0]), (45, [0, 1]), (66, [0, 2])]"
2022-05-21,LA,KC,"[(0, [0, 0]), (70, [1, 0])]"
2022-05-22,NC,SD,"[(0, [0, 0]), (41, [0, 1])]"
2022-05-22,NJY,LOU,"[(0, [0, 0]), (13, [0, 1])]"
2022-05-22,RGN,WAS,"[(0, [0, 0])]"
2022-05-22,ORL,CHI,"[(0, [0, 0]), (11, [0, 1]), (54, [0, 2]), (64, [0, 3]), (83, [1, 3]), (86, [1, 4]), (87, [2, 4])]"
2022-05-25,RGN,KC,"[(0, [0, 0]), (80, [1, 0])]"
2022-05-27,ORL,WAS,"[(0, [0, 0]), (19, [0, 1]), (66, [0, 2]), (90, [1, 2]), (90, [2, 2])]"
2022-05-28,CHI,POR,"[(0, [0, 0]), (5, [1, 0]), (7, [1, 1]), (20, [2, 1]), (47, [2, 2])]"
2022-05-29,RGN,SD,"[(0, [0, 0]), (75, [1, 0])]"
2022-05-29,HOU,NC,"[(0, [0, 0]), (24, [0, 1]), (45, [1, 1])]"
2022-05-29,LA,NJY,"[(0, [0, 0]), (57, [0, 1])]"
2022-05-30,KC,LOU,"[(0, [0, 0]), (3, [1, 0])]"
2022-06-01,WAS,CHI,"[(0, [0, 0]), (10, [0, 1]), (86, [1, 1])]"
2022-06-03,HOU,ORL,"[(0, [0, 0]), (27, [1, 0]), (32, [2, 0]), (39, [3, 0]), (49, [4, 0]), (87, [5, 0])]"
2022-06-03,POR,LA,"[(0, [0, 0]), (15, [1, 0]), (18, [2, 0]), (68, [3, 0])]"
2022-06-04,CHI,RGN,"[(0, [0, 0]), (47, [1, 0])]"
2022-06-04,NJY,WAS,"[(0, [0, 0]), (21, [1, 0])]"
2022-06-04,LOU,NC,"[(0, [0, 0]), (4, [0, 1]), (45, [0, 2]), (90, [0, 3])]"
2022-06-04,KC,SD,"[(0, [0, 0]), (11, [1, 0]), (37, [1, 1]), (63, [2, 1]), (90, [2, 2])]"
2022-06-07,LA,HOU,"[(0, [0, 0])]"
2022-06-08,CHI,WAS,"[(0, [0, 0])]"
2022-06-08,SD,POR,"[(0, [0, 0]), (22, [0, 1]), (46, [0, 2]), (81, [1, 2]), (88, [2, 2])]"
2022-06-11,WAS,NC,"[(0, [0, 0]), (6, [0, 1]), (50, [0, 2]), (74, [1, 2]), (79, [2, 2]), (90, [2, 3])]"
2022-06-11,LOU,LA,"[(0, [0, 0]), (29, [1, 0]), (36, [1, 1]), (47, [1, 2]), (65, [2, 2]), (90, [2, 3])]"
2022-06-11,KC,NJY,"[(0, [0, 0]), (84, [1, 0])]"
2022-06-12,SD,RGN,"[(0, [0, 0]), (8, [1, 0]), (38, [1, 1])]"
2022-06-12,CHI,ORL,"[(0, [0, 0]), (10, [1, 0])]"
2022-06-12,HOU,POR,"[(0, [0, 0]), (1, [0, 1]), (23, [0, 2]), (74, [0, 3]), (82, [0, 4])]"
2022-06-17,WAS,LOU,"[(0, [0, 0]), (34, [1, 0]), (43, [2, 0]), (66, [2, 1]), (88, [2, 2])]"
2022-06-18,KC,CHI,"[(0, [0, 0]), (8, [1, 0]), (53, [1, 1]), (58, [1, 2]), (68, [2, 2])]"
2022-06-18,RGN,LA,"[(0, [0, 0]), (31, [1, 0])]"
2022-06-19,POR,ORL,"[(0, [0, 0]), (21, [1, 0]), (25, [2, 0]), (63, [3, 0]), (79, [4, 0]), (86, [5, 0]), (90, [6, 0])]"
2022-06-19,NJY,SD,"[(0, [0, 0]), (19, [0, 1]), (43, [0, 2]), (68, [0, 3])]"
2022-06-19,NC,HOU,"[(0, [0, 0]), (6, [1, 0]), (15, [1, 1]), (47, [1, 2]), (50, [1, 3]), (51, [1, 4]), (57, [2, 4]), (59, [3, 4])]"
2022-07-01,HOU,KC,"[(0, [0, 0]), (43, [0, 1]), (46, [0, 2]), (90, [1, 2])]"
2022-07-01,RGN,NC,"[(0, [0, 0]), (52, [1, 0]), (74, [2, 0])]"
2022-07-01,LA,POR,"[(0, [0, 0]), (2, [1, 0]), (90, [1, 1])]"
2022-07-02,NJY,CHI,"[(0, [0, 0]), (16, [0, 1]), (25, [0, 2]), (84, [0, 3])]"
2022-07-03,SD,WAS,"[(0, [0, 0]), (36, [1, 0]), (45, [2, 0]), (90, [2, 1])]"
2022-07-03,ORL,LOU,"[(0, [0, 0]), (34, [0, 1]), (51, [0, 2]), (59, [1, 2]), (69, [2, 2])]"
2022-07-08,ORL,HOU,"[(0, [0, 0]), (79, [1, 0])]"
2022-07-08,LOU,NJY,"[(0, [0, 0]), (25, [0, 1]), (67, [1, 1]), (80, [1, 2])]"
2022-07-09,LA,SD,"[(0, [0, 0]), (9, [1, 0]), (59, [1, 1]), (81, [2, 1])]"
2022-07-10,WAS,KC,"[(0, [0, 0]), (68, [0, 1])]"
2022-07-10,CHI,NC,"[(0, [0, 0]), (22, [0, 1]), (49, [0, 2]), (90, [1, 2]), (90, [2, 2])]"
2022-07-10,RGN,POR,"[(0, [0, 0]), (12, [0, 1]), (13, [1, 1]), (60, [1, 2]), (81, [2, 2])]"
2022-07-15,SD,LOU,"[(0, [0, 0])]"
2022-07-16,HOU,CHI,"[(0, [0, 0]), (11, [1, 0]), (45, [2, 0]), (55, [3, 0]), (88, [3, 1]), (90, [4, 1])]"
2022-07-16,POR,NJY,"[(0, [0, 0]), (5, [1, 0]), (7, [2, 0]), (11, [3, 0]), (65, [4, 0]), (80, [5, 0])]"
2022-07-17,WAS,ORL,"[(0, [0, 0])]"
2022-07-17,KC,RGN,"[(0, [0, 0]), (18, [1, 0])]"
2022-07-29,NC,WAS,"[(0, [0, 0]), (42, [0, 1]), (45, [1, 1]), (45, [1, 2]), (53, [2, 2]), (56, [2, 3]), (62, [3, 3])]"
2022-07-29,LOU,POR,"[(0, [0, 0]), (7, [0, 1]), (29, [1, 1]), (74, [1, 2])]"
2022-07-30,CHI,SD,"[(0, [0, 0]), (27, [0, 1])]"
2022-07-30,LA,RGN,"[(0, [0, 0]), (9, [1, 0]), (28, [2, 0]), (54, [2, 1]), (64, [2, 2]), (89, [2, 3])]"
2022-07-31,NJY,HOU,"[(0, [0, 0]), (4, [1, 0]), (18, [1, 1]), (36, [1, 2]), (70, [1, 3]), (73, [1, 4]), (82, [2, 4])]"
2022-07-31,KC,ORL,"[(0, [0, 0]), (25, [0, 1]), (46, [0, 2]), (57, [1, 2]), (82, [2, 2])]"
2022-08-02,LOU,RGN,"[(0, [0, 0]), (2, [0, 1]), (45, [1, 1])]"
2022-08-05,LOU,WAS,"[(0, [0, 0]), (52, [1, 0]), (64, [1, 1])]"
2022-08-05,POR,NC,"[(0, [0, 0]), (8, [1, 0]), (24, [2, 0]), (61, [2, 1]), (72, [2, 2]), (77, [3, 2]), (85, [3, 3])]"
2022-08-07,SD,KC,"[(0, [0, 0]), (27, [0, 1]), (39, [0, 2]), (88, [1, 2])]"
2022-08-07,CHI,NJY,"[(0, [0, 0]), (45, [1, 0]), (66, [2, 0])]"
2022-08-07,RGN,HOU,"[(0, [0, 0]), (16, [1, 0]), (53, [1, 1]), (55, [1, 2])]"
2022-08-07,ORL,LA,"[(0, [0, 0]), (40, [0, 1]), (64, [1, 1]), (72, [1, 2]), (90, [2, 2])]"
2022-08-10,WAS,POR,"[(0, [0, 0]), (76, [1, 0]), (84, [1, 1]), (90, [1, 2])]"
2022-08-12,HOU,LOU,"[(0, [0, 0])]"
2022-08-13,NC,KC,"[(0, [0, 0]), (17, [1, 0]), (20, [1, 1]), (36, [2, 1]), (45, [2, 2]), (56, [3, 2]), (60, [3, 3]), (79, [3, 4])]"
2022-08-13,SD,ORL,"[(0, [0, 0]), (23, [0, 1])]"
2022-08-14,RGN,NJY,"[(0, [0, 0]), (15, [1, 0]), (42, [2, 0]), (69, [3, 0]), (72, [3, 1]), (73, [4, 1])]"
2022-08-14,LA,CHI,"[(0, [0, 0]), (48, [1, 0])]"
2022-08-17,HOU,NJY,"[(0, [0, 0]), (73, [1, 0]), (76, [2, 0]), (80, [2, 1])]"
2022-08-19,KC,LA,"[(0, [0, 0]), (78, [0, 1]), (82, [1, 1])]"
2022-08-20,NC,CHI,"[(0, [0, 0]), (10, [1, 0]), (64, [2, 0]), (74, [3, 0]), (88, [4, 0])]"
2022-08-20,NJY,ORL,"[(0, [0, 0]), (49, [0, 1]), (73, [0, 2]), (75, [1, 2])]"
2022-08-20,SD,HOU,"[(0, [0, 0]), (7, [0, 1]), (13, [1, 1]), (67, [2, 1]), (90, [3, 1])]"
2022-08-24,NC,POR,"[(0, [0, 0]), (24, [1, 0]), (50, [2, 0]), (63, [2, 1]), (83, [3, 1])]"
2022-08-26,ORL,RGN,"[(0, [0, 0]), (37, [1, 0]), (56, [1, 1]), (90, [1, 2])]"
2022-08-27,LOU,CHI,"[(0, [0, 0]), (3, [0, 1]), (18, [0, 2]), (23, [0, 3]), (73, [0, 4])]"
2022-08-27,HOU,WAS,"[(0, [0, 0]), (22, [1, 0]), (53, [1, 1]), (55, [1, 2]), (90, [2, 2])]"
2022-08-27,POR,SD,"[(0, [0, 0]), (17, [0, 1]), (42, [0, 2])]"
2022-08-28,NJY,LA,"[(0, [0, 0]), (16, [0, 1]), (25, [0, 2]), (31, [0, 3]), (52, [1, 3])]"
2022-08-28,KC,NC,"[(0, [0, 0]), (5, [1, 0]), (28, [1, 1]), (48, [1, 2]), (56, [2, 2]), (59, [3, 2])]"
2022-09-04,NJY,NC,"[(0, [0, 0]), (81, [0, 1])]"
2022-09-09,ORL,POR,"[(0, [0, 0]), (31, [0, 1]), (65, [0, 2])]"
2022-09-09,RGN,CHI,"[(0, [0, 0]), (18, [1, 0]), (45, [1, 1]), (68, [1, 2]), (80, [2, 2])]"
2022-09-10,WAS,SD,"[(0, [0, 0]), (7, [0, 1]), (11, [1, 1]), (30, [2, 1]), (44, [3, 1]), (57, [3, 2]), (82, [3, 3]), (90, [4, 3])]"
2022-09-10,NC,LOU,"[(0, [0, 0]), (9, [1, 0]), (42, [2, 0]), (56, [3, 0]), (72, [3, 1]), (84, [4, 1]), (90, [5, 1])]"
2022-09-11,NJY,KC,"[(0, [0, 0]), (78, [0, 1])]"
2022-09-11,HOU,LA,"[(0, [0, 0]), (43, [1, 0]), (49, [1, 1])]"
2022-09-14,NC,LA,"[(0, [0, 0]), (54, [1, 0])]"
2022-09-14,CHI,KC,"[(0, [0, 0]), (5, [1, 0]), (8, [2, 0]), (60, [3, 0]), (72, [4, 0])]"
2022-09-16,LOU,ORL,"[(0, [0, 0]), (10, [1, 0]), (50, [2, 0])]"
2022-09-17,WAS,NJY,"[(0, [0, 0]), (51, [1, 0]), (86, [2, 0])]"
2022-09-17,NC,RGN,"[(0, [0, 0]), (6, [1, 0]), (11, [1, 1]), (26, [1, 2])]"
2022-09-17,CHI,HOU,"[(0, [0, 0]), (25, [0, 1])]"
2022-09-17,SD,LA,"[(0, [0, 0]), (30, [1, 0])]"
2022-09-18,KC,POR,"[(0, [0, 0]), (87, [0, 1]), (90, [1, 1])]"
2022-09-21,NJY,RGN,"[(0, [0, 0]), (58, [0, 1])]"
