team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Portland Thorns FC,POR,2021,2021-08-01 19:00:00 UTC,1,0,1.8433000000000002,1.5442,False
Racing Louisville FC,LOU,2021,2021-05-28 23:00:00 UTC,0,5,0.3038,3.3627000000000002,False
North Carolina Courage,NC,2021,2021-05-28 23:00:00 UTC,5,0,3.3627000000000002,0.3038,False
NJ/NY Gotham FC,NJY,2021,2021-10-17 18:00:00 UTC,3,0,1.4477,1.7502,False
North Carolina Courage,NC,2021,2021-10-17 18:00:00 UTC,0,3,1.7502,1.4477,False
OL Reign,RGN,2018,2018-07-21 19:30:00 UTC,1,1,1.9047,1.1421999999999999,False
Orlando Pride,ORL,2018,2018-07-21 19:30:00 UTC,1,1,1.1421999999999999,1.9047,False
Portland Thorns FC,POR,2018,2018-07-07 03:00:00 UTC,4,0,0.9568000000000001,0.6156,False
Utah Royals FC,UTA,2018,2018-07-07 03:00:00 UTC,0,4,0.6156,0.9568000000000001,False
Chicago Red Stars,CHI,2018,2018-05-02 23:30:00 UTC,0,2,0.3889,0.8837,False
Orlando Pride,ORL,2018,2018-05-02 23:30:00 UTC,2,0,0.8837,0.3889,False
Kansas City Current,KC,2022,2022-10-23 23:30:00 UTC,2,0,0.8731,1.5070000000000001,True
OL Reign,RGN,2022,2022-10-23 23:30:00 UTC,0,2,1.5070000000000001,0.8731,True
OL Reign,RGN,2021,2021-09-04 23:30:00 UTC,1,1,2.1705,0.9405,False
Racing Louisville FC,LOU,2021,2021-09-04 23:30:00 UTC,1,1,0.9405,2.1705,False
Kansas City Current,KC,2021,2021-08-21 23:00:00 UTC,0,4,2.1351,0.7567,False
North Carolina Courage,NC,2021,2021-08-21 23:00:00 UTC,4,0,0.7567,2.1351,False
OL Reign,RGN,2021,2021-06-23 02:00:00 UTC,2,0,1.6751,0.7676000000000001,False
Chicago Red Stars,CHI,2021,2021-06-23 02:00:00 UTC,0,2,0.7676000000000001,1.6751,False
OL Reign,RGN,2020,2020-07-01 02:00:00 UTC,0,0,1.7969,0.5423,False
NJ/NY Gotham FC,NJY,2020,2020-07-01 02:00:00 UTC,0,0,0.5423,1.7969,False
Houston Dash,HOU,2016,2016-07-24 00:00:00 UTC,1,0,0.2772,0.7285,False
Chicago Red Stars,CHI,2016,2016-07-24 00:00:00 UTC,0,1,0.7285,0.2772,False
Houston Dash,HOU,2016,2016-05-14 23:00:00 UTC,0,1,0.3428,1.4211,False
Washington Spirit,WAS,2016,2016-05-14 23:00:00 UTC,1,0,1.4211,0.3428,False
Washington Spirit,WAS,2016,2016-04-29 23:00:00 UTC,3,0,1.7643,1.7755,False
Western New York Flash,WNY,2016,2016-04-29 23:00:00 UTC,0,3,1.7755,1.7643,False
Portland Thorns FC,POR,2017,2017-05-13 20:00:00 UTC,0,0,0.9012,0.5041,False
FC Kansas City,KC,2017,2017-05-13 20:00:00 UTC,0,0,0.5041,0.9012,False
OL Reign,RGN,2017,2017-08-05 23:30:00 UTC,0,1,0.2856,0.8123,False
North Carolina Courage,NC,2017,2017-08-05 23:30:00 UTC,1,0,0.8123,0.2856,False
Orlando Pride,ORL,2017,2017-07-15 23:30:00 UTC,4,1,2.1818,0.7723,False
FC Kansas City,KC,2017,2017-07-15 23:30:00 UTC,1,4,0.7723,2.1818,False
Orlando Pride,ORL,2019,2019-08-24 23:30:00 UTC,1,2,1.0874,1.8566,False
Washington Spirit,WAS,2019,2019-08-24 23:30:00 UTC,2,1,1.8566,1.0874,False
OL Reign,RGN,2019,2019-09-14 23:30:00 UTC,2,2,1.0045,1.3894,False
Washington Spirit,WAS,2019,2019-09-14 23:30:00 UTC,2,2,1.3894,1.0045,False
Houston Dash,HOU,2019,2019-06-16 00:30:00 UTC,2,2,2.7359,0.9842000000000001,False
Orlando Pride,ORL,2019,2019-06-16 00:30:00 UTC,2,2,0.9842000000000001,2.7359,False
Portland Thorns FC,POR,2022,2022-03-31 02:00:00 UTC,3,0,1.7872,0.3483,False
Angel City FC,LA,2022,2022-03-31 02:00:00 UTC,0,3,0.3483,1.7872,False
San Diego Wave FC,SD,2022,2022-03-20 01:00:00 UTC,1,1,2.3791,1.3618999999999999,False
Angel City FC,LA,2022,2022-03-20 01:00:00 UTC,1,1,1.3618999999999999,2.3791,False
Angel City FC,LA,2022,2022-09-14 23:00:00 UTC,0,1,0.5670000000000001,2.9786,False
North Carolina Courage,NC,2022,2022-09-14 23:00:00 UTC,1,0,2.9786,0.5670000000000001,False
Orlando Pride,ORL,2022,2022-05-09 00:00:00 UTC,1,0,1.0013,0.8547,False
Angel City FC,LA,2022,2022-05-09 00:00:00 UTC,0,1,0.8547,1.0013,False
San Diego Wave FC,SD,2022,2022-05-22 18:00:00 UTC,1,0,0.8180000000000001,0.86,False
North Carolina Courage,NC,2022,2022-05-22 18:00:00 UTC,0,1,0.86,0.8180000000000001,False
Chicago Red Stars,CHI,2022,2022-09-25 20:00:00 UTC,0,3,0.4103,2.5375,False
Portland Thorns FC,POR,2022,2022-09-25 20:00:00 UTC,3,0,2.5375,0.4103,False
Washington Spirit,WAS,2022,2022-09-17 23:00:00 UTC,2,0,2.0549,1.1502,False
NJ/NY Gotham FC,NJY,2022,2022-09-17 23:00:00 UTC,0,2,1.1502,2.0549,False
Houston Dash,HOU,2016,2016-09-01 00:00:00 UTC,3,1,1.1203,1.6344,False
Boston Breakers,BOS,2016,2016-09-01 00:00:00 UTC,1,3,1.6344,1.1203,False
FC Kansas City,KC,2016,2016-06-11 23:00:00 UTC,1,1,0.5603,1.075,False
NJ/NY Gotham FC,NJY,2016,2016-06-11 23:00:00 UTC,1,1,1.075,0.5603,False
OL Reign,RGN,2017,2017-08-19 23:00:00 UTC,4,5,2.0793,2.432,False
NJ/NY Gotham FC,NJY,2017,2017-08-19 23:00:00 UTC,5,4,2.432,2.0793,False
Boston Breakers,BOS,2017,2017-05-28 02:00:00 UTC,0,1,0.30310000000000004,1.6453,False
Portland Thorns FC,POR,2017,2017-05-28 02:00:00 UTC,1,0,1.6453,0.30310000000000004,False
OL Reign,RGN,2021,2021-04-22 02:00:00 UTC,0,2,0.8845000000000001,3.3769,False
Portland Thorns FC,POR,2021,2021-04-22 02:00:00 UTC,2,0,3.3769,0.8845000000000001,False
Washington Spirit,WAS,2021,2021-10-13 23:30:00 UTC,2,0,0.7068,1.4177,False
North Carolina Courage,NC,2021,2021-10-13 23:30:00 UTC,0,2,1.4177,0.7068,False
Orlando Pride,ORL,2021,2021-07-09 23:00:00 UTC,1,1,1.2048,0.418,False
Racing Louisville FC,LOU,2021,2021-07-09 23:00:00 UTC,1,1,0.418,1.2048,False
NJ/NY Gotham FC,NJY,2019,2019-10-12 23:00:00 UTC,2,3,0.6598,2.2421,False
North Carolina Courage,NC,2019,2019-10-12 23:00:00 UTC,3,2,2.2421,0.6598,False
Utah Royals FC,UTA,2019,2019-07-12 23:30:00 UTC,0,1,0.6049,1.6156000000000001,False
NJ/NY Gotham FC,NJY,2019,2019-07-12 23:30:00 UTC,1,0,1.6156000000000001,0.6049,False
Chicago Red Stars,CHI,2019,2019-04-20 19:30:00 UTC,4,4,2.5406,2.1599,False
Portland Thorns FC,POR,2019,2019-04-20 19:30:00 UTC,4,4,2.1599,2.5406,False
Portland Thorns FC,POR,2018,2018-05-19 23:00:00 UTC,1,0,1.1915,1.8194,False
Washington Spirit,WAS,2018,2018-05-19 23:00:00 UTC,0,1,1.8194,1.1915,False
OL Reign,RGN,2018,2018-08-16 02:30:00 UTC,0,0,0.2944,1.1077,False
Chicago Red Stars,CHI,2018,2018-08-16 02:30:00 UTC,0,0,1.1077,0.2944,False
Washington Spirit,WAS,2022,2022-04-17 19:00:00 UTC,3,1,1.443,0.5121,False
NJ/NY Gotham FC,NJY,2022,2022-04-17 19:00:00 UTC,1,3,0.5121,1.443,False
Portland Thorns FC,POR,2022,2022-06-04 02:30:00 UTC,3,0,2.0312,0.8521000000000001,False
Angel City FC,LA,2022,2022-06-04 02:30:00 UTC,0,3,0.8521000000000001,2.0312,False
Washington Spirit,WAS,2022,2022-08-06 00:00:00 UTC,1,1,1.3508,1.3879000000000001,False
Racing Louisville FC,LOU,2022,2022-08-06 00:00:00 UTC,1,1,1.3879000000000001,1.3508,False
Portland Thorns FC,POR,2022,2022-04-25 01:00:00 UTC,0,1,0.45830000000000004,1.6283,False
Angel City FC,LA,2022,2022-04-25 01:00:00 UTC,1,0,1.6283,0.45830000000000004,False
Washington Spirit,WAS,2022,2022-06-11 23:00:00 UTC,2,3,2.2656,1.7567,False
North Carolina Courage,NC,2022,2022-06-11 23:00:00 UTC,3,2,1.7567,2.2656,False
Portland Thorns FC,POR,2022,2022-08-11 00:30:00 UTC,2,0,2.6483,2.9043,False
Washington Spirit,WAS,2022,2022-08-11 00:30:00 UTC,0,2,2.9043,2.6483,False
Orlando Pride,ORL,2021,2021-05-01 23:30:00 UTC,0,0,0.6971,1.7952,False
North Carolina Courage,NC,2021,2021-05-01 23:30:00 UTC,0,0,1.7952,0.6971,False
Orlando Pride,ORL,2021,2021-05-16 22:00:00 UTC,1,1,1.2969,1.6238000000000001,False
Washington Spirit,WAS,2021,2021-05-16 22:00:00 UTC,1,1,1.6238000000000001,1.2969,False
Racing Louisville FC,LOU,2021,2021-10-06 23:30:00 UTC,1,3,0.3786,2.7177,False
North Carolina Courage,NC,2021,2021-10-06 23:30:00 UTC,3,1,2.7177,0.3786,False
Portland Thorns FC,POR,2021,2021-07-19 02:30:00 UTC,2,1,2.0861,0.3839,False
Orlando Pride,ORL,2021,2021-07-19 02:30:00 UTC,1,2,0.3839,2.0861,False
Portland Thorns FC,POR,2020,2020-10-04 02:00:00 UTC,1,1,2.8503,1.8464,False
Utah Royals FC,UTA,2020,2020-10-04 02:00:00 UTC,1,1,1.8464,2.8503,False
Houston Dash,HOU,2019,2019-04-28 22:00:00 UTC,1,4,0.8898,2.8792,False
North Carolina Courage,NC,2019,2019-04-28 22:00:00 UTC,4,1,2.8792,0.8898,False
Orlando Pride,ORL,2019,2019-07-20 23:30:00 UTC,1,0,3.2628,0.4375,False
NJ/NY Gotham FC,NJY,2019,2019-07-20 23:30:00 UTC,0,1,0.4375,3.2628,False
Washington Spirit,WAS,2018,2018-08-22 23:30:00 UTC,0,1,0.184,2.1533,False
Utah Royals FC,UTA,2018,2018-08-22 23:30:00 UTC,1,0,2.1533,0.184,False
Chicago Red Stars,CHI,2018,2018-05-26 19:30:00 UTC,2,5,1.3934,1.0647,False
Orlando Pride,ORL,2018,2018-05-26 19:30:00 UTC,5,2,1.0647,1.3934,False
Houston Dash,HOU,2017,2017-09-28 00:00:00 UTC,0,4,0.7068,1.5336,False
North Carolina Courage,NC,2017,2017-09-28 00:00:00 UTC,4,0,1.5336,0.7068,False
FC Kansas City,KC,2017,2017-06-03 19:30:00 UTC,0,2,0.8366,2.4518,False
North Carolina Courage,NC,2017,2017-06-03 19:30:00 UTC,2,0,2.4518,0.8366,False
Orlando Pride,ORL,2016,2016-09-07 23:00:00 UTC,1,1,1.4152,0.6849000000000001,False
NJ/NY Gotham FC,NJY,2016,2016-09-07 23:00:00 UTC,1,1,0.6849000000000001,1.4152,False
Boston Breakers,BOS,2016,2016-06-19 00:00:00 UTC,0,3,0.6254000000000001,1.4818,False
Chicago Red Stars,CHI,2016,2016-06-19 00:00:00 UTC,3,0,1.4818,0.6254000000000001,False
NJ/NY Gotham FC,NJY,2019,2019-05-04 23:00:00 UTC,0,0,0.6592,1.9477000000000002,False
North Carolina Courage,NC,2019,2019-05-04 23:00:00 UTC,0,0,1.9477000000000002,0.6592,False
Washington Spirit,WAS,2019,2019-07-24 23:30:00 UTC,1,0,1.6399,0.312,False
NJ/NY Gotham FC,NJY,2019,2019-07-24 23:30:00 UTC,0,1,0.312,1.6399,False
Racing Louisville FC,LOU,2021,2021-05-02 16:30:00 UTC,0,0,0.5644,1.1291,False
NJ/NY Gotham FC,NJY,2021,2021-05-02 16:30:00 UTC,0,0,1.1291,0.5644,False
Chicago Red Stars,CHI,2020,2020-10-10 16:30:00 UTC,1,3,1.5581,1.4707,False
NJ/NY Gotham FC,NJY,2020,2020-10-10 16:30:00 UTC,3,1,1.4707,1.5581,False
Orlando Pride,ORL,2021,2021-05-22 23:00:00 UTC,2,1,1.1004,1.3863,False
North Carolina Courage,NC,2021,2021-05-22 23:00:00 UTC,1,2,1.3863,1.1004,False
Kansas City Current,KC,2021,2021-07-24 00:00:00 UTC,0,0,0.6727000000000001,0.498,False
North Carolina Courage,NC,2021,2021-07-24 00:00:00 UTC,0,0,0.498,0.6727000000000001,False
Washington Spirit,WAS,2021,2021-10-09 23:30:00 UTC,3,0,3.2817,0.8572000000000001,False
Racing Louisville FC,LOU,2021,2021-10-09 23:30:00 UTC,0,3,0.8572000000000001,3.2817,False
Chicago Red Stars,CHI,2019,2019-10-20 19:30:00 UTC,1,0,1.2439,0.5661,True
Portland Thorns FC,POR,2019,2019-10-20 19:30:00 UTC,0,1,0.5661,1.2439,True
Kansas City Current,KC,2022,2022-08-14 00:00:00 UTC,4,3,1.949,1.2515,False
North Carolina Courage,NC,2022,2022-08-14 00:00:00 UTC,3,4,1.2515,1.949,False
Chicago Red Stars,CHI,2022,2022-06-12 22:00:00 UTC,1,0,0.9098,0.7392000000000001,False
Orlando Pride,ORL,2022,2022-06-12 22:00:00 UTC,0,1,0.7392000000000001,0.9098,False
Orlando Pride,ORL,2017,2017-05-14 21:00:00 UTC,3,1,0.8116,1.1587,False
North Carolina Courage,NC,2017,2017-05-14 21:00:00 UTC,1,3,1.1587,0.8116,False
OL Reign,RGN,2017,2017-06-18 00:00:00 UTC,2,2,1.1533,1.2472,False
FC Kansas City,KC,2017,2017-06-18 00:00:00 UTC,2,2,1.2472,1.1533,False
Chicago Red Stars,CHI,2016,2016-09-08 00:00:00 UTC,2,3,1.2494,1.7699,False
FC Kansas City,KC,2016,2016-09-08 00:00:00 UTC,3,2,1.7699,1.2494,False
Chicago Red Stars,CHI,2016,2016-06-23 02:00:00 UTC,0,2,0.6741,1.5796000000000001,False
Portland Thorns FC,POR,2016,2016-06-23 02:00:00 UTC,2,0,1.5796000000000001,0.6741,False
OL Reign,RGN,2018,2018-08-25 20:00:00 UTC,1,1,0.2848,2.4637000000000002,False
North Carolina Courage,NC,2018,2018-08-25 20:00:00 UTC,1,1,2.4637000000000002,0.2848,False
Portland Thorns FC,POR,2018,2018-03-24 19:30:00 UTC,0,1,0.0658,1.4662,False
North Carolina Courage,NC,2018,2018-03-24 19:30:00 UTC,1,0,1.4662,0.0658,False
Portland Thorns FC,POR,2018,2018-05-31 02:30:00 UTC,1,4,0.5730000000000001,3.2952,False
North Carolina Courage,NC,2018,2018-05-31 02:30:00 UTC,4,1,3.2952,0.5730000000000001,False
Houston Dash,HOU,2019,2019-09-26 01:00:00 UTC,0,0,0.5464,1.4257,False
Washington Spirit,WAS,2019,2019-09-26 01:00:00 UTC,0,0,1.4257,0.5464,False
Houston Dash,HOU,2019,2019-06-30 02:00:00 UTC,1,2,1.096,1.0883,False
Portland Thorns FC,POR,2019,2019-06-30 02:00:00 UTC,2,1,1.0883,1.096,False
Chicago Red Stars,CHI,2017,2017-05-21 20:00:00 UTC,3,1,1.9498000000000002,1.1827,False
North Carolina Courage,NC,2017,2017-05-21 20:00:00 UTC,1,3,1.1827,1.9498000000000002,False
Portland Thorns FC,POR,2017,2017-08-17 02:10:00 UTC,1,2,1.2362,0.5720000000000001,False
FC Kansas City,KC,2017,2017-08-17 02:10:00 UTC,2,1,0.5720000000000001,1.2362,False
OL Reign,RGN,2016,2016-05-22 23:00:00 UTC,1,2,1.1236,0.7948000000000001,False
Chicago Red Stars,CHI,2016,2016-05-22 23:00:00 UTC,2,1,0.7948000000000001,1.1236,False
Houston Dash,HOU,2016,2016-08-19 00:00:00 UTC,1,2,0.7741,2.0549,False
Washington Spirit,WAS,2016,2016-08-19 00:00:00 UTC,2,1,2.0549,0.7741,False
Kansas City Current,KC,2021,2021-06-27 00:30:00 UTC,1,2,1.3131,1.0273,False
Washington Spirit,WAS,2021,2021-06-27 00:30:00 UTC,2,1,1.0273,1.3131,False
Portland Thorns FC,POR,2021,2021-09-12 19:00:00 UTC,1,0,1.4774,0.8704000000000001,False
North Carolina Courage,NC,2021,2021-09-12 19:00:00 UTC,0,1,0.8704000000000001,1.4774,False
Chicago Red Stars,CHI,2021,2021-04-15 23:30:00 UTC,0,1,0.9287000000000001,0.38770000000000004,False
Portland Thorns FC,POR,2021,2021-04-15 23:30:00 UTC,1,0,0.38770000000000004,0.9287000000000001,False
OL Reign,RGN,2018,2018-08-06 01:00:00 UTC,2,0,2.5103,0.8213,False
Washington Spirit,WAS,2018,2018-08-06 01:00:00 UTC,0,2,0.8213,2.5103,False
Portland Thorns FC,POR,2018,2018-05-12 19:30:00 UTC,1,2,2.1465,0.8485,False
Orlando Pride,ORL,2018,2018-05-12 19:30:00 UTC,2,1,0.8485,2.1465,False
San Diego Wave FC,SD,2022,2022-04-15 02:00:00 UTC,1,3,0.6375000000000001,0.7463000000000001,False
OL Reign,RGN,2022,2022-04-15 02:00:00 UTC,3,1,0.7463000000000001,0.6375000000000001,False
OL Reign,RGN,2022,2022-10-02 02:00:00 UTC,3,0,1.5263,0.2843,False
Orlando Pride,ORL,2022,2022-10-02 02:00:00 UTC,0,3,0.2843,1.5263,False
Portland Thorns FC,POR,2022,2022-07-30 00:00:00 UTC,2,1,1.5121,1.0173,False
Racing Louisville FC,LOU,2022,2022-07-30 00:00:00 UTC,1,2,1.0173,1.5121,False
San Diego Wave FC,SD,2022,2022-05-29 19:00:00 UTC,0,1,0.28500000000000003,1.7436,False
OL Reign,RGN,2022,2022-05-29 19:00:00 UTC,1,0,1.7436,0.28500000000000003,False
Portland Thorns FC,POR,2020,2020-07-06 02:00:00 UTC,1,1,0.8567,0.9912000000000001,False
Washington Spirit,WAS,2020,2020-07-06 02:00:00 UTC,1,1,0.9912000000000001,0.8567,False
Houston Dash,HOU,2022,2022-06-19 21:00:00 UTC,4,3,0.8745,1.6936,False
North Carolina Courage,NC,2022,2022-06-19 21:00:00 UTC,3,4,1.6936,0.8745,False
Chicago Red Stars,CHI,2022,2022-08-27 23:30:00 UTC,4,0,1.9045,1.0883,False
Racing Louisville FC,LOU,2022,2022-08-27 23:30:00 UTC,0,4,1.0883,1.9045,False
Chicago Red Stars,CHI,2016,2016-09-25 00:00:00 UTC,3,1,0.8286,1.403,False
Washington Spirit,WAS,2016,2016-09-25 00:00:00 UTC,1,3,1.403,0.8286,False
Portland Thorns FC,POR,2016,2016-07-03 02:30:00 UTC,2,1,1.5002,0.6355000000000001,False
NJ/NY Gotham FC,NJY,2016,2016-07-03 02:30:00 UTC,1,2,0.6355000000000001,1.5002,False
Washington Spirit,WAS,2017,2017-09-10 22:00:00 UTC,2,1,0.881,2.3693,False
NJ/NY Gotham FC,NJY,2017,2017-09-10 22:00:00 UTC,1,2,2.3693,0.881,False
Portland Thorns FC,POR,2017,2017-04-22 23:30:00 UTC,0,1,0.1605,2.4259,False
North Carolina Courage,NC,2017,2017-04-22 23:30:00 UTC,1,0,2.4259,0.1605,False
OL Reign,RGN,2017,2017-06-29 02:30:00 UTC,2,1,2.152,1.3372,False
Chicago Red Stars,CHI,2017,2017-06-29 02:30:00 UTC,1,2,1.3372,2.152,False
Portland Thorns FC,POR,2021,2021-05-30 19:00:00 UTC,1,0,1.6518000000000002,0.9219,False
NJ/NY Gotham FC,NJY,2021,2021-05-30 19:00:00 UTC,0,1,0.9219,1.6518000000000002,False
Chicago Red Stars,CHI,2021,2021-10-29 23:00:00 UTC,1,0,1.4759,0.2795,False
Orlando Pride,ORL,2021,2021-10-29 23:00:00 UTC,0,1,0.2795,1.4759,False
Houston Dash,HOU,2021,2021-08-01 23:00:00 UTC,1,1,1.6173000000000002,1.7311,False
NJ/NY Gotham FC,NJY,2021,2021-08-01 23:00:00 UTC,1,1,1.7311,1.6173000000000002,False
Washington Spirit,WAS,2018,2018-04-14 23:00:00 UTC,2,4,0.8325,1.6035,False
North Carolina Courage,NC,2018,2018-04-14 23:00:00 UTC,4,2,1.6035,0.8325,False
Chicago Red Stars,CHI,2018,2018-06-17 00:00:00 UTC,1,1,2.6253,1.0531,False
Portland Thorns FC,POR,2018,2018-06-17 00:00:00 UTC,1,1,1.0531,2.6253,False
Houston Dash,HOU,2020,2020-07-26 16:30:00 UTC,2,0,2.1218,1.0858,True
Chicago Red Stars,CHI,2020,2020-07-26 16:30:00 UTC,0,2,1.0858,2.1218,True
Washington Spirit,WAS,2020,2020-07-02 02:00:00 UTC,0,2,0.1259,1.4421,False
North Carolina Courage,NC,2020,2020-07-02 02:00:00 UTC,2,0,1.4421,0.1259,False
Utah Royals FC,UTA,2019,2019-08-08 02:00:00 UTC,3,0,2.5155000000000003,0.5672,False
NJ/NY Gotham FC,NJY,2019,2019-08-08 02:00:00 UTC,0,3,0.5672,2.5155000000000003,False
Utah Royals FC,UTA,2019,2019-05-19 21:00:00 UTC,1,1,0.3355,1.5831,False
North Carolina Courage,NC,2019,2019-05-19 21:00:00 UTC,1,1,1.5831,0.3355,False
Houston Dash,HOU,2018,2018-05-13 00:00:00 UTC,2,2,0.7477,1.6162,False
Chicago Red Stars,CHI,2018,2018-05-13 00:00:00 UTC,2,2,1.6162,0.7477,False
Chicago Red Stars,CHI,2018,2018-08-11 00:00:00 UTC,1,1,0.6953,1.3286,False
North Carolina Courage,NC,2018,2018-08-11 00:00:00 UTC,1,1,1.3286,0.6953,False
Orlando Pride,ORL,2016,2016-05-29 00:30:00 UTC,0,2,0.5353,0.8304,False
FC Kansas City,KC,2016,2016-05-29 00:30:00 UTC,2,0,0.8304,0.5353,False
OL Reign,RGN,2016,2016-08-27 21:00:00 UTC,3,1,1.717,1.1034,False
Portland Thorns FC,POR,2016,2016-08-27 21:00:00 UTC,1,3,1.1034,1.717,False
Orlando Pride,ORL,2017,2017-08-08 23:30:00 UTC,3,0,2.0855,0.3655,False
Washington Spirit,WAS,2017,2017-08-08 23:30:00 UTC,0,3,0.3655,2.0855,False
OL Reign,RGN,2017,2017-08-17 00:00:00 UTC,2,1,0.9545,1.3021,False
Chicago Red Stars,CHI,2017,2017-08-17 00:00:00 UTC,1,2,1.3021,0.9545,False
OL Reign,RGN,2019,2019-07-06 03:00:00 UTC,1,0,0.25980000000000003,1.1056,False
Portland Thorns FC,POR,2019,2019-07-06 03:00:00 UTC,0,1,1.1056,0.25980000000000003,False
Chicago Red Stars,CHI,2019,2019-09-29 00:00:00 UTC,2,1,1.639,0.9801000000000001,False
Utah Royals FC,UTA,2019,2019-09-29 00:00:00 UTC,1,2,0.9801000000000001,1.639,False
Washington Spirit,WAS,2019,2019-04-13 23:00:00 UTC,2,0,1.4685000000000001,0.9259000000000001,False
NJ/NY Gotham FC,NJY,2019,2019-04-13 23:00:00 UTC,0,2,0.9259000000000001,1.4685000000000001,False
Orlando Pride,ORL,2022,2022-04-16 23:00:00 UTC,2,3,1.0313,2.1646,False
North Carolina Courage,NC,2022,2022-04-16 23:00:00 UTC,3,2,2.1646,1.0313,False
OL Reign,RGN,2022,2022-07-31 02:30:00 UTC,3,2,3.2044,1.5253999999999999,False
Angel City FC,LA,2022,2022-07-31 02:30:00 UTC,2,3,1.5253999999999999,3.2044,False
Angel City FC,LA,2022,2022-05-30 00:00:00 UTC,0,1,1.3746,0.37320000000000003,False
NJ/NY Gotham FC,NJY,2022,2022-05-30 00:00:00 UTC,1,0,0.37320000000000003,1.3746,False
Chicago Red Stars,CHI,2021,2021-07-02 23:30:00 UTC,0,0,0.5036,0.43260000000000004,False
Washington Spirit,WAS,2021,2021-07-02 23:30:00 UTC,0,0,0.43260000000000004,0.5036,False
Chicago Red Stars,CHI,2021,2021-09-26 00:00:00 UTC,2,1,1.4081000000000001,0.9734,False
Portland Thorns FC,POR,2021,2021-09-26 00:00:00 UTC,1,2,0.9734,1.4081000000000001,False
Washington Spirit,WAS,2021,2021-04-15 23:00:00 UTC,1,0,1.5297,1.1278,False
Racing Louisville FC,LOU,2021,2021-04-15 23:00:00 UTC,0,1,1.1278,1.5297,False
OL Reign,RGN,2019,2019-06-16 02:00:00 UTC,1,1,1.7458,0.5692,False
Washington Spirit,WAS,2019,2019-06-16 02:00:00 UTC,1,1,0.5692,1.7458,False
Chicago Red Stars,CHI,2019,2019-08-21 23:30:00 UTC,1,2,1.1404,0.5236000000000001,False
Orlando Pride,ORL,2019,2019-08-21 23:30:00 UTC,2,1,0.5236000000000001,1.1404,False
Chicago Red Stars,CHI,2019,2019-09-11 23:00:00 UTC,1,0,2.1134,1.1496,False
Orlando Pride,ORL,2019,2019-09-11 23:00:00 UTC,0,1,1.1496,2.1134,False
OL Reign,RGN,2022,2022-03-19 02:00:00 UTC,1,1,0.6934,0.6976,False
Portland Thorns FC,POR,2022,2022-03-19 02:00:00 UTC,1,1,0.6976,0.6934,False
Washington Spirit,WAS,2022,2022-03-30 23:30:00 UTC,2,2,0.9931000000000001,0.87,False
North Carolina Courage,NC,2022,2022-03-30 23:30:00 UTC,2,2,0.87,0.9931000000000001,False
NJ/NY Gotham FC,NJY,2022,2022-09-24 23:00:00 UTC,0,3,0.4229,2.4819,False
North Carolina Courage,NC,2022,2022-09-24 23:00:00 UTC,3,0,2.4819,0.4229,False
Houston Dash,HOU,2022,2022-09-11 23:00:00 UTC,1,1,1.811,1.4243999999999999,False
Angel City FC,LA,2022,2022-09-11 23:00:00 UTC,1,1,1.4243999999999999,1.811,False
Kansas City Current,KC,2022,2022-07-10 21:00:00 UTC,1,0,1.4444,1.4706000000000001,False
Washington Spirit,WAS,2022,2022-07-10 21:00:00 UTC,0,1,1.4706000000000001,1.4444,False
San Diego Wave FC,SD,2022,2022-05-08 02:00:00 UTC,4,0,4.959,0.5829,False
NJ/NY Gotham FC,NJY,2022,2022-05-08 02:00:00 UTC,0,4,0.5829,4.959,False
Portland Thorns FC,POR,2022,2022-05-19 02:00:00 UTC,1,1,1.2162,1.7456,False
Washington Spirit,WAS,2022,2022-05-19 02:00:00 UTC,1,1,1.7456,1.2162,False
Chicago Red Stars,CHI,2021,2021-08-15 22:45:00 UTC,0,1,1.3118,2.4469,False
North Carolina Courage,NC,2021,2021-08-15 22:45:00 UTC,1,0,2.4469,1.3118,False
Houston Dash,HOU,2021,2021-09-02 00:00:00 UTC,0,1,0.534,1.9067,False
OL Reign,RGN,2021,2021-09-02 00:00:00 UTC,1,0,1.9067,0.534,False
Houston Dash,HOU,2021,2021-06-20 19:00:00 UTC,0,1,2.5936,1.685,False
Racing Louisville FC,LOU,2021,2021-06-20 19:00:00 UTC,1,0,1.685,2.5936,False
Portland Thorns FC,POR,2020,2020-09-20 19:00:00 UTC,3,0,1.9459,1.0072,False
Utah Royals FC,UTA,2020,2020-09-20 19:00:00 UTC,0,3,1.0072,1.9459,False
Orlando Pride,ORL,2018,2018-06-30 19:30:00 UTC,0,3,0.6362,1.4042,False
North Carolina Courage,NC,2018,2018-06-30 19:30:00 UTC,3,0,1.4042,0.6362,False
OL Reign,RGN,2018,2018-07-15 00:00:00 UTC,0,1,1.2923,1.2466,False
Chicago Red Stars,CHI,2018,2018-07-15 00:00:00 UTC,1,0,1.2466,1.2923,False
Chicago Red Stars,CHI,2018,2018-04-28 23:00:00 UTC,1,1,1.1156,1.0557,False
Washington Spirit,WAS,2018,2018-04-28 23:00:00 UTC,1,1,1.0557,1.1156,False
Houston Dash,HOU,2017,2017-08-05 18:00:00 UTC,1,2,1.4119000000000002,1.7276,False
Portland Thorns FC,POR,2017,2017-08-05 18:00:00 UTC,2,1,1.7276,1.4119000000000002,False
