team_name,team_abbreviation,season_name,date_time_utc,goals_for,goals_against,xgoals_for,xgoals_against,knockout_game
Utah Royals FC,UTA,2018,2018-04-29 01:00:00 UTC,1,1,0.6989000000000001,0.8527,False
Utah Royals FC,UTA,2018,2018-07-21 02:00:00 UTC,0,0,0.1024,1.4108,False
North Carolina Courage,NC,2018,2018-07-21 02:00:00 UTC,0,0,1.4108,0.1024,False
Chicago Red Stars,CHI,2018,2018-07-05 00:50:00 UTC,1,4,1.5482,2.6547,False
North Carolina Courage,NC,2018,2018-07-05 00:50:00 UTC,4,1,2.6547,1.5482,False
OL Reign,RGN,2019,2019-08-24 23:00:00 UTC,0,1,0.6259,1.9562,False
North Carolina Courage,NC,2019,2019-08-24 23:00:00 UTC,1,0,1.9562,0.6259,False
Orlando Pride,ORL,2019,2019-09-14 23:00:00 UTC,1,5,0.39480000000000004,4.3368,False
North Carolina Courage,NC,2019,2019-09-14 23:00:00 UTC,5,1,4.3368,0.39480000000000004,False
Portland Thorns FC,POR,2019,2019-06-15 23:45:00 UTC,1,1,0.7612,1.7434,False
North Carolina Courage,NC,2019,2019-06-15 23:45:00 UTC,1,1,1.7434,0.7612,False
Orlando Pride,ORL,2021,2021-06-20 22:00:00 UTC,1,1,1.5746,0.6073000000000001,False
NJ/NY Gotham FC,NJY,2021,2021-06-20 22:00:00 UTC,1,1,0.6073000000000001,1.5746,False
Chicago Red Stars,CHI,2021,2021-09-04 23:00:00 UTC,0,0,1.9006,0.9795,False
NJ/NY Gotham FC,NJY,2021,2021-09-04 23:00:00 UTC,0,0,0.9795,1.9006,False
OL Reign,RGN,2021,2021-08-22 02:00:00 UTC,3,2,2.9836,0.914,False
NJ/NY Gotham FC,NJY,2021,2021-08-22 02:00:00 UTC,2,3,0.914,2.9836,False
Houston Dash,HOU,2022,2022-03-31 00:30:00 UTC,0,3,1.3012000000000001,2.0193,False
Kansas City Current,KC,2022,2022-03-31 00:30:00 UTC,3,0,2.0193,1.3012000000000001,False
NJ/NY Gotham FC,NJY,2022,2022-03-19 23:00:00 UTC,0,2,0.38070000000000004,1.4097,False
North Carolina Courage,NC,2022,2022-03-19 23:00:00 UTC,2,0,1.4097,0.38070000000000004,False
OL Reign,RGN,2022,2022-05-08 22:00:00 UTC,2,1,2.2708,1.2313,False
Racing Louisville FC,LOU,2022,2022-05-08 22:00:00 UTC,1,2,1.2313,2.2708,False
Kansas City Current,KC,2022,2022-05-22 02:30:00 UTC,0,0,0.37410000000000004,1.0986,False
