date,home,away,home_score,away_score
2024-10-04,HOU,CHI,,
2024-10-04,RGN,LA,,
2024-10-05,NC,SD,,
2024-10-05,LOU,KC,,
2024-10-05,NJY,BFC,,
2024-10-05,POR,UTA,,
2024-10-06,ORL,WAS,,
2024-10-11,POR,ORL,,
2024-10-12,CHI,NJY,,
2024-10-12,NC,LA,,
2024-10-12,BFC,KC,,
2024-10-13,UTA,RGN,,
2024-10-13,WAS,LOU,,
2024-10-13,SD,HOU,,
2024-10-18,RGN,HOU,,
2024-10-19,KC,SD,,
2024-10-19,LOU,POR,,
2024-10-19,BFC,NC,,
2024-10-20,LA,UTA,,
2024-10-20,WAS,CHI,,
2024-10-20,NJY,ORL,,
2024-11-01,NC,WAS,,
2024-11-01,POR,LA,,
2024-11-01,UTA,NJY,,
2024-11-02,ORL,RGN,,
2024-11-02,HOU,BFC,,
2024-11-03,CHI,KC,,
2024-11-03,SD,LOU,,
