team,year,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
LA,2022,,,,,,,360.0,2112.0,96.0,336.0,1877.0,2570.0,4398.0,4706.0,,1890.0,560.0,588.0,686.0,1590.0,,,,,,,,
LA,2023,,,,1156.0,,,,1846.0,746.0,,2394.0,1829.0,836.0,1435.0,4421.0,1890.0,2426.0,480.0,836.0,240.0,1245.0,,,,,,,
LA,2024,,,975.0,887.0,2149.0,,,90.0,1775.0,1359.0,26.0,2205.0,976.0,1998.0,1311.0,3379.0,1428.0,2710.0,1793.0,2221.0,196.0,262.0,,,,,,
LOU,2021,,,,,,1243.0,302.0,1373.0,6121.0,6133.0,1489.0,998.0,783.0,553.0,256.0,900.0,,,3118.0,909.0,,,,,,,,
LOU,2022,,,,,,,70.0,2270.0,3657.0,6461.0,4010.0,128.0,526.0,,750.0,810.0,1190.0,97.0,,2434.0,,,,,,,,
LOU,2023,,,,,,,,,4465.0,1302.0,3356.0,5719.0,1130.0,1491.0,1395.0,298.0,,11.0,1980.0,,606.0,,,,,,,
LOU,2024,,,,,18.0,,744.0,,1480.0,2906.0,3073.0,3057.0,8099.0,,,2132.0,1810.0,,,2340.0,,,,,,,,
NC,2017,,,,,,,100.0,1101.0,7013.0,7102.0,2587.0,24.0,2351.0,212.0,1063.0,2106.0,,,,68.0,,,,,,,,
NC,2018,,,,,,,,37.0,808.0,6154.0,5743.0,3033.0,1241.0,2880.0,117.0,1686.0,1800.0,,261.0,,,,,,,,,
NC,2019,,,,,,,554.0,226.0,232.0,1512.0,4178.0,5160.0,3657.0,900.0,2864.0,69.0,860.0,3110.0,,437.0,,,,,,,,
NC,2021,,,,,,,,,,295.0,2411.0,1504.0,6336.0,4431.0,1958.0,581.0,3136.0,540.0,1641.0,910.0,,2.0,,,,,,
NC,2022,,,,,,1359.0,250.0,2529.0,1364.0,942.0,219.0,2608.0,1440.0,4961.0,1739.0,1580.0,600.0,2189.0,,,,,,,,,,
NC,2023,,,,,481.0,,,119.0,3197.0,3113.0,3626.0,1305.0,3442.0,2706.0,2659.0,633.0,,,,,,,,,,,,
NC,2024,,,,306.0,1046.0,378.0,,,395.0,973.0,3623.0,4211.0,2377.0,5626.0,3208.0,3379.0,206.0,,,,,,,,,,,
ORL,2016,,,,,,,,3614.0,103.0,232.0,3750.0,4433.0,2126.0,1619.0,2782.0,2098.0,153.0,,,,,,,,,,,
ORL,2017,,,,,,,135.0,4821.0,4120.0,1236.0,1217.0,1943.0,1449.0,1033.0,618.0,2468.0,3044.0,1350.0,810.0,,,,,,,,,
ORL,2018,,,,,,,1.0,169.0,2843.0,3837.0,3710.0,,2418.0,2864.0,541.0,385.0,2106.0,3200.0,1225.0,450.0,,,,,,,,
ORL,2019,,,,,,,481.0,2358.0,2729.0,4232.0,4140.0,3131.0,,630.0,1619.0,35.0,35.0,831.0,2424.0,450.0,630.0,,,,,,,
ORL,2021,,,,,,,,1414.0,3487.0,1345.0,772.0,496.0,305.0,59.0,596.0,1434.0,3074.0,2279.0,1824.0,,4234.0,1035.0,933.0,473.0,,,,
ORL,2022,,,,71.0,,,,1125.0,2773.0,2315.0,1688.0,1724.0,3819.0,187.0,1411.0,2166.0,546.0,1864.0,891.0,90.0,,,,,1800.0,,,
ORL,2023,,,,32.0,,,,85.0,3644.0,4721.0,484.0,3212.0,2238.0,2094.0,,1186.0,2719.0,665.0,,,,,1445.0,,,,,
ORL,2024,,,,,82.0,337.0,174.0,6.0,1559.0,7715.0,2464.0,535.0,4058.0,2044.0,2070.0,268.0,1275.0,2652.0,62.0,,,,,1739.0,,,,
POR,2016,,,,,,,1218.0,3352.0,1590.0,2904.0,590.0,835.0,1257.0,6552.0,540.0,,,134.0,692.0,,,,,,,,,
POR,2017,,,,,,,,2735.0,5660.0,1361.0,2198.0,2400.0,1570.0,1215.0,3945.0,533.0,,,705.0,1438.0,,,,,,,,
