player,team_old,team_new
AD Franch,KCC,
Aaliyah Farmer,,CHI
Abby Boyan,UTA,
Abby Dahlkemper,BAY,BAY
Abby Smith,HOU,DEN
Adriana Leon,SD,SD
Ainsley McCammon,RGN,RGN
Aisha Solórzano,UTA,
Alana Cook,KCC,KCC
Alba Caño,,BOS
Aldana Cometti,,BAY
Aleigh Gambone,,BOS
Alex Loera,UTA,UTA
Alex Pfeiffer,KCC,BAY
Alexa Spaanstra,POR,POR
Ali Riley,LA,
Aline Gomes,NC,
Allie George,LOU,
Ally Brazier,ORL,DEN
Ally Lemos,ORL,ORL
Ally Schlegel,CHI,NC
Ally Sentnor,KCC,KCC
Allysha Chapman,HOU,HOU
Almuth Schult,KCC,
Alyssa Malonson,BAY,BAY
Alyssa Naeher,CHI,CHI
Amanda Allen,ORL,BOS
Amanda Gutierres,,BOS
Amanda West,HOU,
Amelia White,,KCC
Ana Tejada,UTA,UTA
Ana-Maria Crnogorčević,RGN,
Andi Sullivan,WAS,WAS
Andrea Kitahata,,GFC
Angelina,ORL,ORL
Angelina Anderson,LA,LA
Angharad James-Turner,RGN,RGN
Ann-Katrin Berger,GFC,GFC
Anna Heilferty,HOU,
Anna Moorhouse,ORL,ORL
Annie Karich,,BOS
Anouk Denton,,BAY
Aria Nagai,UTA,UTA
Arin Wright,LOU,LOU
Ary Borges,LOU,LA
Aryssa Mahrt,ORL,
Ashley Hatch,WAS,WAS
Ashley Sanchez,NC,NC
Aubrey Kingsbury,WAS,WAS
Audrey McKeen,,LOU
Ava Cook,CHI,
Avery Ciorbu,LOU,LOU
Avery Patterson,HOU,HOU
Ayo Oke,,DEN
Aïssata Traoré,,BOS
Barbara Olivieri,HOU,BOS
Barbra Banda,ORL,ORL
Bayley Feist,KCC,KCC
Bea Franklin,CHI,CHI
Bella Bixby,POR,POR
Belle Briede,HOU,
Bethany Balcer,LOU,
Bia Zaneratto,KCC,
Bianca St-Georges,UTA,BOS
Brecken Mozingo,UTA,UTA
Bri Martinez,ORL,
Brianna Pinto,NC,CHI
Brittany Ratcliffe,WAS,RGN
Brooklyn Courtnall,BAY,BAY
Bruninha,GFC,GFC
Caiya Hanks,POR,POR
Cameron Brooks,,NC
Camryn Biegalski,CHI,DEN
Camryn Miller,,BAY
Caprice Dydasco,BAY,BAY
Cara Martin,,ORL
Cari Roccaro,CHI,
Carina Lageyre,,LA
Carly Wickenheiser,,NC
Caroline Conti,BAY,BAY
Caroline DeLisle,,HOU
Carolyn Calzada,,POR
Carson Pickett,ORL,DEN
Casey Krueger,WAS,WAS
Casey Murphy,NC,BOS
Casey Phair,LA,LA
Cassandra Bogere,,POR
Cassie Miller,RGN,RGN
Cate Hardin,,HOU
Catherine Paulson,BAY,
Cece Delzer,UTA,UTA
Charlotte McLean,NC,
Chiamaka Okwuchukwu,SD,
Chioma Okafor,,NC
Chloe Ricketts,HOU,BOS
Christen Press,LA,
Christen Westphal,HOU,HOU
Claire Emslie,LA,LA
Claire Hutton,KCC,BAY
Clare Gagne,,KCC
Clarissa Larisey,HOU,HOU
Claudia Dickey,RGN,RGN
Claudia Martínez,,WAS
Claudia Zornoza,UTA,
Cloé Lacasse,UTA,UTA
Cori Dyke,ORL,ORL
Cortnee Vine,NC,NC
Cosette Morché,ORL,ORL
Courtney Brown,WAS,UTA
Courtney Petersen,LOU,LOU
Cristiana Girelli,,BAY
Cristina Roque,LOU,
Croix Bethune,WAS,KCC
Daiane,POR,POR
Dana Foederer,UTA,
Dani Weatherholt,NC,NC
Daniela Arias,SD,SD
Danielle Colaprico,HOU,HOU
Dayana Pierre-Louis,,UTA
DeAira Jackson,UTA,UTA
Debinha,KCC,KCC
Deborah Abiodun,WAS,WAS
Delanie Sheehan,HOU,HOU
Delphine Cascarino,SD,
Denise O'Sullivan,NC,
Desiree Scott,KCC,
Devin Lynch,,DEN
Deyna Castellanos,POR,POR
DiDi Haračić,SD,SD
Dorian Bailey,BAY,BAY
Dudinha,SD,SD
Elise Evans,,CHI
Elizabeth Ball,KCC,KCC
Elizabeth Eddy,LA,
Ella Hase,LOU,LOU
Ella Stevens,GFC,BOS
Ellie Bravo-Young,KCC,KCC
Ellie Jean,LOU,LOU
Elyse Bennett,ORL,
Emeri Adames,RGN,RGN
Emerson Elgin,,BOS
Emily Gray,UTA,
Emily Mason,RGN,RGN
Emily Menges,BAY,BAY
Emily Sams,ORL,LA
Emily Sonnett,GFC,GFC
Emma Egizii,,CHI
Emma Gaines-Ramos,,WAS
Emma Regan,,DEN
Emma Sears,LOU,LOU
Emmie Allen,BAY,BAY
Erin McKinney,,POR
Esme Morgan,WAS,WAS
Esther González,GFC,GFC
Eva Gaetino,,DEN
Evan O'Steen,,RGN
Evelina Duljan,HOU,HOU
Evelyn Ijeh,,NC
Evelyn Shores,LA,LA
Faith Nguyen,,LA
Fauzia Najjemba,,BOS
Feli Rauch,NC,NC
Gabby Carle,WAS,WAS
