player,team_old,team_new
AD Franch,KCC,
Abby Dahlkemper,BAY,BAY
Abby Erceg,LOU,
Abby Smith,GFC,HOU
Adriana,ORL,
Adriana Leon,,SD
Agnes Nyberg,UTA,
Ainsley McCammon,RGN,RGN
Aisha Solórzano,,UTA
Alana Cook,KCC,KCC
Alanna Kennedy,,LA
Alex Loera,BAY,UTA
Alex Pfeiffer,KCC,KCC
Alexa Spaanstra,POR,POR
Ali Riley,LA,LA
Aline Gomes Amaro,NC,NC
Allie George,,LOU
Ally Cook,CHI,
Ally Lemos,ORL,ORL
Ally Schlegel,CHI,CHI
Ally Sentnor,UTA,UTA
Ally Watt,ORL,ORL
Allysha Chapman,HOU,HOU
Almuth Schult,KCC,
Alyssa Malonson,BAY,BAY
Alyssa Naeher,CHI,CHI
Alyssa Thompson,LA,LA
Amanda Allen,ORL,ORL
Amanda West,HOU,HOU
Amirah Ali,SD,
Ana María Guzmán,,UTA
Ana Tejada,UTA,UTA
Ana-Maria Crnogorčević,RGN,RGN
Andi Sullivan,WAS,WAS
Andressa Alves,HOU,
Angelina,ORL,ORL
Angelina Anderson,LA,LA
Angharad James-Turner,RGN,RGN
Ann-Katrin Berger,GFC,GFC
Anna Heilferty,WAS,
Anna Moorhouse,ORL,ORL
Annaïg Butel,WAS,
Aria Nagai,,UTA
Arin Wright,LOU,LOU
Ary Borges,LOU,LOU
Aryssa Mahrt,,ORL
Ashley Hatch,WAS,WAS
Ashley Sanchez,NC,NC
Asisat Oshoala,BAY,BAY
Aubrey Kingsbury,WAS,WAS
Ava Cook,CHI,CHI
Avery Patterson,HOU,HOU
Barbra Banda,ORL,ORL
Bayley Feist,KCC,KCC
Bea Franklin,CHI,CHI
Becky Sauerbrunn,POR,
Bella Bixby,POR,POR
Belle Briede,HOU,HOU
Bethany Balcer,LOU,LOU
Bia Zaneratto,KCC,KCC
Bianca St-Georges,NC,UTA
Breanna Norris,,LA
Brecken Mozingo,UTA,UTA
Brianna Martínez,ORL,ORL
Brianna Pinto,NC,NC
Brittany Ratcliffe,WAS,WAS
Brooklyn Courtnall,,NC
Bruninha,GFC,GFC
Bárbara Olivieri,HOU,HOU
Caiya Hanks,,POR
Cameron Tucker,UTA,
Camryn Biegalski,CHI,CHI
Caprice Dydasco,BAY,BAY
Cari Roccaro,CHI,CHI
Carissa Boeckmann,,POR
Carly Nelson,UTA,
Caroline Conti,BAY,BAY
Carrie Lawrence,ORL,
Carson Pickett,ORL,ORL
Casey Krueger,WAS,WAS
Casey Murphy,NC,NC
Casey Phair,LA,LA
Cassie Miller,GFC,RGN
Catherine Paulson,BAY,BAY
Cece Kizer,GFC,GFC
Celia,ORL,
Chardonnay Curran,CHI,CHI
Charlotte McLean,NC,NC
Chiamaka Okwuchukwu,,SD
Chloe Ricketts,WAS,WAS
Christen Press,LA,LA
Christen Westphal,SD,HOU
Christine Sinclair,POR,
Civana Kuhlmann,WAS,
Claire Emslie,LA,LA
Claire Hutton,KCC,KCC
Clare Gagne,,KCC
Claudia Dickey,RGN,RGN
Claudia Zornoza,UTA,UTA
Cloé Lacasse,UTA,UTA
Cori Dyke,ORL,ORL
Cortnee Vine,NC,NC
Courtney Brown,WAS,WAS
Courtney Petersen,LOU,LOU
Cristina Roque,UTA,UTA
Croix Bethune,WAS,WAS
Croix Soto,HOU,
Crystal Dunn,GFC,
Daiane,,POR
Dana Foederer,UTA,UTA
Dani Weatherholt,NC,NC
Danielle Colaprico,SD,HOU
Darielle O'Brien,UTA,
DeAira Jackson,,ORL
Debinha,KCC,KCC
Delanie Sheehan,GFC,HOU
Delphine Cascarino,SD,SD
Denise O'Sullivan,NC,NC
Desiree Scott,KCC,
Deyna Castellanos,BAY,POR
DiDi Haračić,LA,SD
Diana Ordóñez,HOU,HOU
Dorian Bailey,BAY,BAY
Elexa Bahr,LOU,
Elin Rubensson,HOU,
Elizabeth Ball,KCC,KCC
Elizabeth Eddy,LA,LA
Ella Hase,,LOU
Ella Stevens,GFC,GFC
Elli Pikkujämsä,LOU,LOU
Ellie Jean,LOU,LOU
Ellie Wheeler,KCC,KCC
Elyse Bennett,SD,
Emeri Adames,RGN,RGN
Emily Mason,,RGN
Emily Menges,BAY,BAY
Emily Sams,ORL,ORL
Emily Sonnett,GFC,GFC
Emily van Egmond,SD,
Emma Gaines-Ramos,,WAS
Emma Sears,LOU,LOU
Emmie Allen,BAY,BAY
Erin McKinney,HOU,
Esme Morgan,WAS,WAS
Estelle Johnson,NC,
Esther González,GFC,GFC
Evelina Duljan,ORL,HOU
Favour Emmanuel,,SD
Felicitas Rauch,NC,NC
Flora Marta Lacho,,KCC
Gabby Provenzano,POR,
Gabi Portilho,,GFC
Gabrielle Carle,WAS,WAS
Gabrielle Robinson,KCC,KCC
Gia Corley,,SD
Gisele Thompson,LA,LA
Grace Chanda,ORL,ORL
Hailie Mace,KCC,KCC
Hal Hershfelt,WAS,WAS
Haley Hopkins,NC,KCC
Haley McCutcheon,ORL,ORL
Halle Mackiewicz,,CHI
Hanna Glas,RGN,RGN
Hanna Lundkvist,SD,SD
Hannah Anderson,CHI,CHI
Hannah Bebar,,BAY
Hannah Betfort,UTA,NC
Hannah Johnson,,LA
Hannah Stambaugh,LA,LA
Havana Solaun,HOU,
Heather Hinz,HOU,HOU
Heather Stainbrook,WAS,WAS
Hensley Hancuff,NC,NC
Hildah Magaia,KCC,
Hillary Beall,SD,SD
Hina Sugita,POR,POR
Imani Dorsey,UTA,UTA
Isabella Obaze,POR,POR
Izzy D'Aquila,POR,
Izzy Rodriguez,KCC,KCC
Jaedyn Shaw,SD,NC
Jaelin Howell,RGN,GFC
Jameese Joseph,CHI,CHI
Jamie Shepherd,BAY,BAY
Jane Campbell,HOU,HOU
Janine Sonis,LOU,LOU
Janni Thomsen,,UTA
Jasmyne Spencer,LA,
