player,team_old,team_new
Abby Dahlkemper,SD,SD
Abby Erceg,LOU,LOU
Abby Smith,NJNY,NJNY
Addie McCain,CHI,
Addisyn Merrick,KCC,UTA
Adriana,ORL,ORL
Adrianna Franch,KCC,KCC
Agnes Nyberg,,UTA
Alana Cook,RGN,RGN
Alex Chidiac,LOU,
Alex Kerr,,ORL
Alex Loera,KCC,BAY
Alex Morgan,SD,SD
Alex Pfeiffer,KCC,KCC
Alexa Spaanstra,KCC,KCC
Ali Riley,LA,LA
Allie Long,NJNY,
Ally Cook,,CHI
Ally Lemos,,ORL
Ally Prisock,HOU,
Ally Schlegel,CHI,CHI
Ally Sentnor,,UTA
Ally Watt,ORL,ORL
Allysha Chapman,HOU,HOU
Alyssa Malonson,RGN,BAY
Alyssa Naeher,CHI,CHI
Alyssa Thompson,LA,LA
Amanda Allen,ORL,ORL
Amanda Kowalski,CHI,
Amanda West,,HOU
Amandine Henry,LA,LA
Amber Brooks,WAS,
Amirah Ali,SD,SD
Andi Sullivan,WAS,WAS
Andressa,HOU,HOU
Angelina,RGN,ORL
Angelina Anderson,LA,LA
Angharad James,,RGN
Anna Heilferty,WAS,WAS
Anna Moorhouse,ORL,ORL
Annaïg Butel,WAS,WAS
Arin Wright,CHI,LOU
Ary Borges,LOU,LOU
Ashley Hatch,WAS,WAS
Ashley Sanchez,WAS,NC
Asisat Oshoala,,BAY
Aubrey Kingsbury,WAS,WAS
Ava Cook,CHI,CHI
Avery Patterson,,HOU
Barbra Banda,,ORL
Bayley Feist,WAS,KCC
Bea Franklin,,CHI
Becky Sauerbrunn,POR,POR
Bella Bixby,POR,POR
Belle Briede,SD,HOU
Bethany Balcer,RGN,RGN
Bia Zaneratto,,KCC
Bianca St-Georges,CHI,NC
Brecken Mozingo,,UTA
Brianna Martínez,ORL,ORL
Brianna Pinto,NC,NC
Brittany Isenhour,LA,
Brittany Ratcliffe,NC,WAS
Bruninha,NJNY,NJNY
Bárbara Olivieri,HOU,HOU
Caitlin Cosme,ORL,
Cameron Tucker,HOU,UTA
Camryn Biegalski,WAS,CHI
Caprice Dydasco,HOU,BAY
Cari Roccaro,CHI,CHI
Carly Nelson,ORL,UTA
Caroline Conti,,BAY
Carrie Lawrence,ORL,ORL
Carson Pickett,LOU,LOU
Casey Krueger,CHI,WAS
Casey Murphy,NC,NC
Casey Phair,,LA
Cassie Miller,KCC,NJNY
Cece Kizer,KCC,HOU
Celia,ORL,ORL
Chardonnay Curran,KCC,CHI
Chelsie Dawber,CHI,
Chloe Ricketts,WAS,WAS
Christen Press,LA,LA
Christen Westphal,SD,SD
Christine Sinclair,POR,POR
Civana Kuhlmann,WAS,WAS
Claire Emslie,LA,LA
Claire Hutton,,KCC
Claire Lavogez,KCC,KCC
Clara Schilke,NC,NC
Clarisse Le Bihan,LA,LA
Claudia Dickey,RGN,RGN
Cori Dyke,,ORL
Courtney Brown,,WAS
Courtney Petersen,HOU,HOU
Cristina Roque,,UTA
Croix Bethune,,WAS
Croix Soto,KCC,HOU
Crystal Dunn,POR,NJNY
Dana Foederer,,UTA
Dani Weatherholt,LA,NC
Danielle Colaprico,SD,SD
Debinha,KCC,KCC
Delanie Sheehan,NJNY,NJNY
Denise O'Sullivan,NC,NC
Desiree Scott,KCC,KCC
Devon Kerr,HOU,
Deyna Castellanos,,BAY
DiDi Haračić,LA,LA
Diana Ordóñez,HOU,HOU
Dorian Bailey,WAS,BAY
Elexa Bahr,,LOU
Elin Rubensson,,HOU
Elizabeth Ball,KCC,KCC
Elizabeth Eddy,LA,LA
Ella Dederick,HOU,
Ella Stevens,CHI,NJNY
Elli Pikkujämsä,LOU,LOU
Ellie Jean,NJNY,LOU
Ellie Wheeler,,KCC
Elyse Bennett,RGN,SD
Emeri Adames,,RGN
Emily Alvarado,HOU,HOU
Emily Boyd,CHI,
Emily Curran,HOU,
Emily Fox,NC,
Emily Gray,NC,UTA
Emily Menges,POR,BAY
Emily Sams,ORL,ORL
Emily Sonnett,RGN,NJNY
Emily van Egmond,SD,SD
Emina Ekic,LOU,
Emma Sears,,LOU
Emmie Allen,,BAY
Erika Tymrak,ORL,
Estelle Johnson,NC,NC
Esther González,NJNY,NJNY
Evelina Duljan,,ORL
Feli Rauch,,NC
Frankie Tagliaferri,NC,UTA
Gabby Provenzano,POR,POR
Gabrielle Carle,WAS,WAS
Gabrielle Robinson,KCC,KCC
Giovanna DeMarco,SD,
Gisele Thompson,,LA
Hailie Mace,KCC,KCC
Hal Hershfelt,,WAS
Haley Hopkins,NC,NC
Haley McCutcheon,ORL,ORL
Hanna Glas,KCC,KCC
Hanna Lundkvist,,SD
Hannah Anderson,,CHI
Hannah Betfort,POR,UTA
Hannah Stambaugh,,LA
Havana Solaun,HOU,HOU
Heather Stainbrook,,WAS
Hensley Hancuff,NC,NC
Hillary Beall,LOU,SD
Hina Sugita,POR,POR
Hope Hisey,,KCC
Ifeoma Onumonu,NJNY,UTA
Imani Dorsey,NJNY,UTA
Inès Jaurena,WAS,
Isabella Obaze,,POR
Izzy D'Aquila,POR,POR
Izzy Rodriguez,KCC,KCC
Jaedyn Shaw,SD,SD
Jaelin Howell,LOU,LOU
Jameese Joseph,,CHI
Jamie Shepherd,,BAY
Jane Campbell,HOU,HOU
Janine Beckie,POR,POR
Jasmyne Spencer,LA,LA
Jen Beattie,,BAY
Jenna Bike,CHI,CHI
Jenna Nighswonger,NJNY,NJNY
Jenna Winebrenner,KCC,NC
Jess Fishlock,RGN,RGN
Jess McDonald,LOU,
Jessie Fleming,,POR
Ji So-Yun,,RGN
Jill Aguilera,CHI,
Jimena López,RGN,RGN
Joelle Anderson,HOU,BAY
Jordan Baggett,LOU,LOU
