team,player
SD,Lauren Brzykcy
SD,Kailen Sheridan
SD,Shae Yáñez
SD,Abby Dahlkemper
SD,Naomi Girma
SD,Kristen McNabb
SD,Danielle Colaprico
SD,Meggie Dougherty Howard
SD,Taylor Flint
SD,Jaedyn Shaw
SD,Kelsey Turnbow
SD,Melanie Barcenas
SD,Rachel Hill
SD,Sofia Jakobsson
SD,Alex Morgan
SD,Sierra Enge
SD,Amirah Ali
SD,Belle Briede
SD,Kyra Carusa
SD,Giovanna DeMarco
SD,Makenzy Doniak
SD,Madison Pogarch
SD,Emily van Egmond
SD,Christen Westphal
SD,Mia Gyau
SD,Kaleigh Riehl
POR,Janine Beckie
POR,Hannah Betfort
POR,Bella Bixby
POR,Sam Coffey
POR,Izzy D'Aquila
POR,Shelby Hogan
POR,Kelli Hubly
POR,Lauren Kozal
POR,Emily Menges
POR,Olivia Moultrie
POR,Meaghan Nally
POR,Reyna Reyes
POR,Rocky Rodríguez
POR,Sophia Smith
POR,Hina Sugita
POR,Morgan Weaver
POR,Gabby Provenzano
POR,Natalie Beckman
POR,Rikke Sevecke
POR,Michele Vasconcelos
POR,Crystal Dunn
POR,Meghan Klingenberg
POR,Tegan McGrady
POR,Becky Sauerbrunn
POR,Christine Sinclair
POR,Natalia Kuikka
POR,Taylor Porter
NC,Emily Gray
NC,Frankie Tagliaferri
NC,Marisa Bova
NC,Hensley Hancuff
NC,Casey Murphy
NC,Katelyn Rowland
NC,Malia Berkely
NC,Sydney Collins
NC,Kaleigh Kurtz
NC,Estelle Johnson
NC,Ryan Williams
NC,Riley Jackson
NC,Rikako Kobayashi
NC,Manaka Matsukubo
NC,Narumi Miura
NC,Denise O'Sullivan
NC,Victoria Pickett
NC,Brianna Pinto
NC,Clara Schilke
NC,Meredith Speck
NC,Mille Gejl
NC,Haley Hopkins
NC,Tyler Lussi
NC,Kerolin
NC,Olivia Wingate
NC,Emily Fox
NC,Kiki Pickett
NC,Tess Boade
NC,Rikke Madsen
NC,Sarah Clark
NC,Brittany Ratcliffe
RGN,Claudia Dickey
RGN,Lauren Barnes
RGN,Alana Cook
RGN,Sam Hiatt
RGN,Sofia Huerta
RGN,Jimena López
RGN,Phoebe McClernon
RGN,Jess Fishlock
RGN,Luany Vitória da Silva Rosa
RGN,Quinn
RGN,Olivia Van der Jagt
RGN,Bethany Balcer
RGN,Elyse Bennett
RGN,Jordyn Huitema
RGN,Veronica Latsko
RGN,Angelina
RGN,Tziarra King
RGN,Rose Lavelle
RGN,Emily Sonnett
RGN,Nikki Stanton
RGN,Marley Canales
RGN,Olivia Athens
RGN,Ryanne Brown
RGN,Laurel Ivory
RGN,Alyssa Malonson
RGN,Maia Pérez
RGN,Shae Holmes
LA,Angelina Anderson
LA,DiDi Haračić
LA,Vanessa Gilles
LA,Merritt Mathias
LA,Paige Nielsen
LA,Megan Reid
LA,Ali Riley
LA,Jasmyne Spencer
LA,M. A. Vignola
LA,Claire Emslie
LA,Jun Endo
LA,Amandine Henry
LA,Clarisse Le Bihan
LA,Lily Nabet
LA,Scarlett Camberos
LA,Katie Johnson
LA,Sydney Leroux
LA,Christen Press
LA,Alyssa Thompson
LA,Kelsey Hill
LA,Mackenzie Pluck
LA,Savannah McCaskill
LA,Sarah Gorden
LA,Elizabeth Eddy
LA,Madison Hammond
LA,Simone Charley
LA,Brittany Isenhour
LA,Dani Weatherholt
NJNY,Michelle Betos
NJNY,Bruninha
NJNY,Imani Dorsey
NJNY,Esther González
NJNY,Kristen Edmonds
NJNY,Sinead Farrelly
NJNY,Sabrina Flores
NJNY,Mandy Freeman
NJNY,Svava Gudmundsdóttir
NJNY,Mandy Haught
NJNY,Ellie Jean
NJNY,Allie Long
NJNY,Maitane López
NJNY,Nealy Martin
NJNY,Kristie Mewis
NJNY,Jenna Nighswonger
NJNY,Kelley O'Hara
NJNY,Ifeoma Onumonu
NJNY,Midge Purce
NJNY,Yazmeen Ryan
NJNY,Delanie Sheehan
NJNY,Mana Shim
NJNY,Abby Smith
NJNY,Taylor Smith
NJNY,Katie Stengel
NJNY,Taryn Torres
NJNY,Lynn Williams
NJNY,McCall Zerboni
ORL,Mikayla Cluff
ORL,Amanda Allen
ORL,Adriana
ORL,Messiah Bright
ORL,Julie Doyle
ORL,Mariana Larroquette
ORL,Marta
ORL,Ally Watt
ORL,Kerry Abello
ORL,Erika Tymrak
ORL,Viviana Villacorta
ORL,Summer Yates
ORL,Tori Hansen
ORL,Celia
ORL,Carrie Lawrence
ORL,Emily Sams
ORL,Haley McCutcheon
ORL,Megan Montefusco
ORL,Rafaelle Souza
ORL,Kaylie Collins
ORL,Anna Moorhouse
ORL,Carly Nelson
ORL,Brianna Martínez
ORL,Kylie Strom
ORL,Jordyn Listro
ORL,McKinley Crone
ORL,Caitlin Cosme
ORL,Thais Reiss
WAS,Lyza Bosselmann
WAS,Aubrey Kingsbury
WAS,Dorian Bailey
WAS,Annaïg Butel
WAS,Gabrielle Carle
WAS,Anna Heilferty
WAS,Tara McKeown
WAS,Sam Staab
WAS,Paige Metayer
WAS,Chloe Ricketts
WAS,Ashley Sanchez
WAS,Andi Sullivan
WAS,Riley Tanner
WAS,Ashley Hatch
WAS,Civana Kuhlmann
WAS,Trinity Rodman
WAS,Ouleymata Sarr
WAS,Lena Silano
WAS,Nicole Douglas
WAS,Maddie Elwell
WAS,Inès Jaurena
WAS,Nicole Barnhart
WAS,Amber Brooks
WAS,Bayley Feist
WAS,Tori Huster
WAS,Camryn Biegalski
WAS,Marissa Sheva
LOU,Hillary Beall
LOU,Jordyn Bloomer
LOU,Katie Lund
LOU,Abby Erceg
LOU,Julia Lester
LOU,Lauren Milliet
LOU,Elli Pikkujämsä
LOU,Carson Pickett
LOU,Jordan Baggett
LOU,Ary Borges
LOU,Savannah DeMelo
LOU,Kayla Fischer
LOU,Jaelin Howell
LOU,Madalyn Pokorny
LOU,Wang Shuang
LOU,Kirsten Wright
LOU,Parker Goins
LOU,Uchenna Kanu
LOU,Thembi Kgatlana
LOU,Paige Monaghan
LOU,Jess McDonald
LOU,Nadia Nadim
LOU,Alex Chidiac
LOU,Rebecca Holloway
LOU,Taylor Aylmer
LOU,Olivia Sekany
LOU,Emina Ekic
HOU,Emily Alvarado
HOU,Jane Campbell
HOU,Savannah Madden
HOU,Allysha Chapman
HOU,Madelyn Desiano
HOU,Jyllissa Harris
HOU,Natalie Jacobs
HOU,Katie Lind
HOU,Courtney Petersen
HOU,Ally Prisock
HOU,Andressa
HOU,Sophie Hirst
