team,player
LA,Angelina Anderson
LA,Breanna Norris
LA,Hannah Stambaugh
LA,Elizabeth Eddy
LA,Sarah Gorden
LA,Hannah Johnson
LA,Savy King
LA,Miyabi Moriya
LA,Megan Reid
LA,Ali Riley
LA,Gisele Thompson
LA,M.A. Vignola
LA,Jun Endo
LA,Kennedy Fuller
LA,Madison Hammond
LA,Macey Hodge
LA,Alanna Kennedy
LA,Lily Nabet
LA,Katie Zelem
LA,Julie Dufour
LA,Claire Emslie
LA,Sydney Leroux
LA,Casey Phair
LA,Christen Press
LA,Alyssa Thompson
LA,Riley Tiernan
BAY,Emmie Allen
BAY,Melissa Lowder
BAY,Jordan Silkowitz
BAY,Jordan Brewster
BAY,Abby Dahlkemper
BAY,Caprice Dydasco
BAY,Kelli Hubly
BAY,Alyssa Malonson
BAY,Emily Menges
BAY,Maddie Moreau
BAY,Joelle Anderson
BAY,Dorian Bailey
BAY,Hannah Bebar
BAY,Tess Boade
BAY,Caroline Conti
BAY,Taylor Huff
BAY,Kiki Pickett
BAY,Jamie Shepherd
BAY,Penelope Hocking
BAY,Rachel Hill
BAY,Racheal Kundananji
BAY,Karlie Lema
BAY,Asisat Oshoala
BAY,Catherine Paulson
BAY,Princess
CHI,Halle Mackiewicz
CHI,Alyssa Naeher
CHI,Mackenzie Wood
CHI,Hannah Anderson
CHI,Camryn Biegalski
CHI,Justina Gaynor
CHI,Natalia Kuikka
CHI,Taylor Malham
CHI,Sam Staab
CHI,Chardonnay Curran
CHI,Bea Franklin
CHI,Shea Groom
CHI,Julia Grosso
CHI,Manaka Hayashi
CHI,Maitane
CHI,Leilanni Nesbeth
CHI,Cari Roccaro
CHI,Jenna Bike
CHI,Ava Cook
CHI,Nádia Gomes
CHI,Sarah Griffith
CHI,Micayla Johnson
CHI,Jameese Joseph
CHI,Ludmila
CHI,Ally Schlegel
CHI,Mallory Swanson
GFC,Ann-Katrin Berger
GFC,Ryan Campbell
GFC,Shelby Hogan
GFC,Bruninha
GFC,Jess Carter
GFC,Tierna Davidson
GFC,Mandy Freeman
GFC,Lilly Reale
GFC,Emily Sonnett
GFC,Sofia Cook
GFC,Jaelin Howell
GFC,Rose Lavelle
GFC,Nealy Martin
GFC,Stella Nyamekye
GFC,Taryn Torres
GFC,Esther Gonzalez
GFC,Khyah Harper
GFC,Cece Kizer
GFC,Gabi Portilho
GFC,Midge Purce
GFC,Sarah Schupansky
GFC,Jéssica Silva
GFC,Ella Stevens
GFC,McKenna Whitham
HOU,Liz Beardsley
HOU,Jane Campbell
HOU,Heather Hinz
HOU,Abby Smith
HOU,Allysha Chapman
HOU,Jyllissa Harris
HOU,Natalie Jacobs
HOU,Katie Lind
HOU,Zoe Matthews
HOU,Paige Nielsen
HOU,Avery Patterson
HOU,Christen Westphal
HOU,Belle Briede
HOU,Danielle Colaprico
HOU,Evelina Duljan
HOU,Maggie Graham
HOU,Bárbara Olivieri
HOU,Sarah Puntigam
HOU,Sophie Schmidt
HOU,Delanie Sheehan
HOU,Kiki Van Zanten
HOU,Michelle Alozie
HOU,Ramona Bachmann
HOU,Messiah Bright
HOU,Ryan Gareis
HOU,Diana Ordóñez
HOU,Yazmeen Ryan
HOU,Amanda West
KCC,Lorena
KCC,Laurel Ivory
KCC,Clare Gagne
KCC,Alana Cook
KCC,Kayla Sharples
KCC,Hailie Mace
KCC,Gabrielle Robinson
KCC,Izzy Rodriguez
KCC,Regan Steigleder
KCC,Ellie Wheeler
KCC,Katie Scott
KCC,Elizabeth Ball
KCC,Debinha
KCC,Vanessa DiBernardo
KCC,Bayley Feist
KCC,Claire Hutton
KCC,Lo'eau LaBonta
KCC,Jereko
KCC,Rocky Rodríguez
KCC,Temwa Chawinga
KCC,Michelle Cooper
KCC,Alex Pfeiffer
KCC,Nichelle Prince
KCC,Bia Zaneratto
KCC,Mary Long
KCC,Haley Hopkins
KCC,Flora Marta Lacho
KCC,Kristen Hamilton
NC,Hensley Hancuff
NC,Marisa Jordan
NC,Casey Murphy
NC,Maycee Bell
NC,Malia Berkely
NC,Sydney Collins
NC,Brooklyn Courtnall
NC,Kaleigh Kurtz
NC,Charlotte McLean
NC,Felicitas Rauch
NC,Natalia Staude
NC,Ryan Williams
NC,Riley Jackson
NC,Shinomi Koyama
NC,Denise O'Sullivan
NC,Brianna Pinto
NC,Ashley Sanchez
NC,Jaedyn Shaw
NC,Meredith Speck
NC,Dani Weatherholt
NC,Hannah Betfort
NC,Aline Gomes
NC,Manaka Matsukubo
NC,Tyler Lussi
NC,Cortnee Vine
NC,Olivia Wingate
ORL,Kat Asman
ORL,McKinley Crone
ORL,DeAira Jackson
ORL,Anna Moorhouse
ORL,Kerry Abello
ORL,Zara Chavoshi
ORL,Cori Dyke
ORL,Oihane Hernández
ORL,Bri Martinez
ORL,Carson Pickett
ORL,Emily Sams
ORL,Rafaelle
ORL,Kylie Nadaner
ORL,Angelina
ORL,Grace Chanda
ORL,Morgan Gautrat
ORL,Ally Lemos
ORL,Luana
ORL,Aryssa Mahrt
ORL,Haley McCutcheon
ORL,Viviana Villacorta
ORL,Amanda Allen
ORL,Barbra Banda
ORL,Simone Charley
ORL,Prisca Chilufya
ORL,Julie Doyle
ORL,Mariana Larroquette
ORL,Marta
ORL,Ally Watt
ORL,Summer Yates
POR,Mackenzie Arnold
POR,Bella Bixby
POR,Morgan Messner
POR,Daiane
POR,Sam Hiatt
POR,Isabella Obaze
POR,Jayden Perry
POR,Reyna Reyes
POR,Kaitlyn Torpey
POR,Marie Müller
POR,Nicole Payne
POR,Carissa Boeckmann
POR,Sam Coffey
POR,Jessie Fleming
POR,Sophie Hirst
POR,Mallie McKenzie
POR,Olivia Moultrie
POR,Hina Sugita
POR,Olivia Wade-Katoa
POR,Deyna Castellanos
POR,Caiya Hanks
POR,Payton Linnehan
POR,Alexa Spaanstra
POR,Pietra Tordin
POR,Reilyn Turner
POR,Sophia Wilson
POR,Morgan Weaver
LOU,Maddy Anderson
LOU,Jordyn Bloomer
LOU,Katie Lund
LOU,Olivia Sekany
LOU,Ángela Barón
LOU,Allie George
LOU,Ella Hase
LOU,Ellie Jean
LOU,Lauren Milliet
LOU,Courtney Petersen
LOU,Elli Pikkujämsä
LOU,Arin Wright
LOU,Jordan Baggett
LOU,Ary Borges
LOU,Savannah DeMelo
LOU,Marisa DiGrande
LOU,Kayla Fischer
LOU,Taylor Flint
LOU,Katie O'Kane
LOU,Maddie Pokorny
LOU,Bethany Balcer
LOU,Janine Sonis
LOU,Uchenna Kanu
LOU,Emma Sears
LOU,Sarah Weber
LOU,Kirsten Wright
SD,Hillary Beall
SD,DiDi Haračić
SD,Kailen Sheridan
SD,Trinity Armstrong
SD,Nya Harrison
SD,Hanna Lundkvist
SD,Quincy McMahon
SD,Kristen McNabb
SD,Perle Morroni
SD,Kennedy Wesley
SD,Kimmi Ascanio
SD,Gia Corley
SD,Kenza Dali
SD,Favour Emmanuel
SD,Jordan Fusco
SD,Savannah McCaskill
SD,Melanie Barcenas
SD,Trinity Byars
SD,Kyra Carusa
SD,Delphine Cascarino
SD,Adriana Leon
SD,Chiamaka Okwuchukwu
SD,Makenzy Robbe
SD,María Sánchez
RGN,Claudia Dickey
RGN,Cassie Miller
RGN,Maddie Prohaska
RGN,Lauren Barnes
RGN,Ryanne Brown
RGN,Jordyn Bugg
RGN,Madison Curry
RGN,Hanna Glas
RGN,Shae Holmes
RGN,Julia Lester
RGN,Emily Mason
RGN,Phoebe McClernon
RGN,Jess Fishlock
RGN,Angharad James-Turner
RGN,Ji So-Yun
RGN,Ainsley McCammon
RGN,Maddie Mercado
RGN,Sam Meza
RGN,Olivia Van der Jagt
RGN,Emeri Adames
