player,team_old,team_new
Laurel Ivory,RGN,RGN
Lauren Barnes,RGN,RGN
Lauren Brzykcy,,SD
Lauren Kozal,,POR
Lauren Milliet,LOU,LOU
Leah Pruitt,ORL,ORL
Lena Silano,,WAS
Lily Nabet,LA,LA
Lindsey Harris,HOU,
Lindsey Horan,POR,
Lindsi Jennings,,HOU
Lo'eau LaBonta,KC,KC
Luany,,RGN
Lynn Williams,KC,NJY
Lyza Bosselmann,,WAS
M.A. Vignola,LA,LA
Mackenzie Pluck,,LA
Maddie Elwell,WAS,WAS
Madelyn Desiano,,HOU
Madison Hammond,LA,LA
Madison Pogarch,SD,SD
Maia Pérez,LA,
Makamae Gomera-Stevens,HOU,HOU
Makenzy Doniak,SD,SD
Malia Berkely,NC,NC
Mallory Swanson,CHI,CHI
Mallory Weber,KC,KC
Mandy Freeman,NJY,NJY
Mandy Haught,,NJY
Marisa Bova,NC,NC
Marisa Viggiano,HOU,HOU
Marissa Everett,POR,
Marissa Sheva,WAS,WAS
Marleen Schimmer,SD,
Marley Canales,RGN,RGN
Marta,ORL,ORL
María Sánchez,HOU,HOU
McCall Zerboni,NJY,NJY
Meaghan Nally,POR,POR
Megan Montefusco,ORL,ORL
Megan Rapinoe,RGN,RGN
Megan Reid,LA,LA
Meggie Dougherty Howard,ORL,SD
Meghan Klingenberg,POR,POR
Melissa Lowder,SD,
Meredith Speck,NC,NC
Merritt Mathias,NC,LA
Messiah Bright,,ORL
Mia Gyau,SD,SD
Michaela Abam,HOU,
Michele Vasconcelos,POR,POR
Michelle Alozie,HOU,HOU
Michelle Betos,NJY,NJY
Michelle Cooper,,KC
Midge Purce,NJY,NJY
Mikayla Cluff,ORL,ORL
Mikenna McManus,CHI,
Mille Gejl Jensen,,NC
Millie Farrow,NC,NC
Mimmi Larsson,,KC
Miri Taylor,LA,
Morgan Gautrat,CHI,KC
Morgan Weaver,POR,POR
Nadia Nadim,LOU,LOU
Nahomi Kawasumi,NJY,NJY
Naomi Girma,SD,SD
Narumi Miura,,NC
Natalia Kuikka,POR,POR
Natalie Beckman,POR,POR
Natalie Jacobs,HOU,HOU
