team,player
LA,Angelina Anderson
LA,Faith Nguyen
LA,Hannnah Seabert
LA,Karsyn Cherry
LA,Sarah Gorden
LA,Savy King
LA,Sophia Mattice
LA,Emily Sams
LA,Evelyn Shores
LA,Gisele Thompson
LA,Ary Borges
LA,Kennedy Fuller
LA,Carina Lageyre
LA,Maiara Niehues
LA,Nealy Martin
LA,Hina Sugita
LA,Prisca Chilufya
LA,Claire Emslie
LA,Jun Endo
LA,Sveindís Jónsdóttir
LA,Sydney Leroux
LA,Maithé López
LA,Casey Phair
LA,Rajanah Reed
LA,Taylor Suarez
LA,Riley Tiernan
BAY,Emmie Allen
BAY,Camryn Miller
BAY,Jordan Silkowitz
BAY,Sydney Collins
BAY,Aldana Cometti
BAY,Brooklyn Courtnall
BAY,Abby Dahlkemper
BAY,Anouk Denton
BAY,Caprice Dydasco
BAY,Heather Gilchrist
BAY,Kelli Hubly
BAY,Alyssa Malonson
BAY,Emily Menges
BAY,Maddie Moreau
BAY,Joelle Anderson
BAY,Dorian Bailey
BAY,Hannah Bebar
BAY,Tess Boade
BAY,Caroline Conti
BAY,Taylor Huff
BAY,Claire Hutton
BAY,Jamie Shepherd
BAY,Keira Barry
BAY,Onyeka Gamero
BAY,Cristiana Girelli
BAY,Racheal Kundananji
BAY,Karlie Lema
BAY,Alex Pfeiffer
CHI,Katie Atkinson
CHI,Halle Mackiewicz
CHI,Alyssa Naeher
CHI,Michelle Alozie
CHI,Samantha Angel
CHI,Elise Evans
CHI,Aaliyah Farmer
CHI,Kathrin Hendrich
CHI,Natalia Kuikka
CHI,Sam Staab
CHI,Taylor Wood
CHI,Tessa Dellarose
CHI,Emma Egizii
CHI,Bea Franklin
CHI,Julia Grosso
CHI,Manaka Hayashi
CHI,Maitane
CHI,Leilanni Nesbeth
CHI,Brianna Pinto
CHI,Jenna Bike
CHI,Ivonne Chacón
CHI,Ryan Gareis
CHI,Nádia Gomes
CHI,Jordyn Huitema
CHI,Micayla Johnson
CHI,Jameese Joseph
CHI,Mallory Swanson
GFC,Ann-Katrin Berger
GFC,Ryan Campbell
GFC,Shelby Hogan
GFC,Teagan Wy
GFC,Bruninha
GFC,Jess Carter
GFC,Tierna Davidson
GFC,Kayla Duran
GFC,Mandy Freeman
GFC,Lilly Reale
GFC,Emily Sonnett
GFC,Sofia Cook
GFC,Jaelin Howell
GFC,Rose Lavelle
GFC,Savannah McCaskill
GFC,Sarah Schupansky
GFC,Jaedyn Shaw
GFC,Talia Sommer
GFC,Taryn Torres
GFC,Jordynn Dudley
GFC,Esther González
GFC,Khyah Harper
GFC,Andrea Kitahata
GFC,Katie Lampson
GFC,Midge Purce
GFC,McKenna Whitham
GFC,Guro Reiten
HOU,Hillary Beall
HOU,Jane Campbell
HOU,Caroline DeLisle
HOU,Malia Berkely
HOU,Lisa Boattin
HOU,Allysha Chapman
HOU,Cate Hardin
HOU,Leah Klenke
HOU,Paige Nielsen
HOU,Avery Patterson
HOU,Christen Westphal
HOU,Danielle Colaprico
HOU,Maggie Graham
HOU,Sarah Puntigam
HOU,Sophie Schmidt
HOU,Delanie Sheehan
HOU,Linda Ullmark
HOU,Kiki Van Zanten
HOU,Messiah Bright
HOU,Evelina Duljan
HOU,Kate Faasse
HOU,Clarissa Larisey
HOU,Kat Rader
HOU,Makenzy Robbe
HOU,Yazmeen Ryan
KCC,Katie Cappelletti
KCC,Clare Gagne
KCC,Marisa Jordan
KCC,Lorena
KCC,Elizabeth Ball
KCC,Ellie Bravo-Young
KCC,Meila Brewer
KCC,Alana Cook
KCC,Gabrielle Robinson
KCC,Izzy Rodriguez
KCC,Laney Rouse
KCC,Katie Scott
KCC,Kayla Sharples
KCC,Kolo Suliafu
KCC,Croix Bethune
KCC,Debinha
KCC,Vanessa DiBernardo
KCC,Bayley Feist
KCC,Lo'eau LaBonta
KCC,Rocky Rodríguez
KCC,Ally Sentnor
KCC,Kyra Carusa
KCC,Temwa Chawinga
KCC,Michelle Cooper
KCC,Penelope Hocking
KCC,Haley Hopkins
KCC,Mary Long
KCC,Gianna Paul
KCC,Amelia White
NC,Molly Pritchard
NC,Kailen Sheridan
NC,Madi White
NC,Maycee Bell
NC,Cameron Brooks
NC,Natalie Jacobs
NC,Feli Rauch
NC,Sydney Schmidt
NC,Uno Shiragaki
NC,Natalia Staude
NC,Ryan Williams
NC,Ivy Younce
NC,Riley Jackson
NC,Shinomi Koyama
NC,Manaka Matsukubo
NC,Oli Peña
NC,Ashley Sanchez
NC,Dani Weatherholt
NC,Carly Wickenheiser
NC,Hannah Betfort
NC,Evelyn Ijeh
NC,Payton Linnehan
NC,Chioma Okafor
NC,Ally Schlegel
NC,Lauryn Thompson
NC,Cortnee Vine
NC,Olivia Wingate
ORL,Kat Asman
ORL,McKinley Crone
ORL,Cara Martin
ORL,Anna Moorhouse
ORL,Cosette Morché
ORL,Kerry Abello
ORL,Hannah Anderson
ORL,Zara Chavoshi
ORL,Cori Dyke
ORL,Oihane
ORL,Hailie Mace
ORL,Kylie Nadaner
ORL,Nicole Payne
ORL,Rafaelle
ORL,Angelina
ORL,Ally Lemos
ORL,Luana
ORL,Haley McCutcheon
ORL,Marta
ORL,Viviana Villacorta
ORL,Summer Yates
ORL,Barbra Banda
ORL,Seven Castain
ORL,Julie Doyle
ORL,Simone Jackson
ORL,Jacquie Ovalle
ORL,Reagan Raabe
ORL,Solai Washington
POR,Mackenzie Arnold
POR,Bella Bixby
POR,Morgan Messner
POR,Erin McKinney
POR,Mackenzie Wood
POR,Carolyn Calzada
POR,Daiane
POR,Sam Hiatt
POR,Mallie McKenzie
POR,Marie Müller
POR,Isabella Obaze
POR,Jayden Perry
POR,Reyna Reyes
POR,M.A. Vignola
POR,Cassandra Bogere
POR,Deyna Castellanos
POR,Jessie Fleming
POR,Shae Harvey
POR,Jennie Immethun
POR,Renee Lyles
POR,Olivia Moultrie
POR,Mimi Alidou
POR,Julie Dufour
POR,Caiya Hanks
POR,Valerin Loboa
POR,Maddie Padelski
POR,Alexa Spaanstra
POR,Pietra Tordin
POR,Reilyn Turner
POR,Morgan Weaver
POR,Sophia Wilson
LOU,Jordyn Bloomer
LOU,Maddie Prohaska
LOU,Olivia Sekany
LOU,Macy Blackburn
LOU,Avery Ciorbu
LOU,Ellie Jean
LOU,Mirann Gacioch
LOU,Quincy McMahon
LOU,Makenna Morris
LOU,Lauren Milliet
LOU,Courtney Petersen
LOU,Arin Wright
LOU,Savannah DeMelo
LOU,Natalie Mitchell
LOU,Taylor Flint
LOU,Katie O'Kane
LOU,Macey Hodge
LOU,Marisa DiGrande
LOU,Kayla Fischer
LOU,Ella Hase
LOU,Rachel Hill
