team,player
CHI,Addie McCain
CHI,Ally Schlegel
CHI,Alyssa Naeher
CHI,Amanda Kowalski
CHI,Arin Wright
CHI,Ava Cook
CHI,Bianca St-Georges
CHI,Brenna Lovera
CHI,Cari Roccaro
CHI,Carlee Giammona
CHI,Casey Krueger
CHI,Chelsie Dawber
CHI,Cheyna Matthews
CHI,Ella Stevens
CHI,Emily Boyd
CHI,Jenna Bike
CHI,Jill Aguilera
CHI,Julia Bianchi
CHI,Kayla Sharples
CHI,Mackenzie Wood
CHI,Mallory Swanson
CHI,Meagan McClelland
CHI,Penelope Hocking
CHI,Samantha Fisher
CHI,Sami Feller
CHI,Sarah Griffith
CHI,Sophie Jones
CHI,Tatumn Milazzo
CHI,Taylor Malham
CHI,Tierna Davidson
CHI,Yuki Nagasato
HOU,Ally Prisock
HOU,Allysha Chapman
HOU,Annika Creel
HOU,Bárbara Olivieri
HOU,Cameron Tucker
HOU,Caprice Dydasco
HOU,Courtney Petersen
HOU,Devon Kerr
HOU,Diana Ordoñez
HOU,Ebony Salmon
HOU,Ella Dederick
HOU,Emily Curran
HOU,Havana Solaun
HOU,Jane Campbell
HOU,Joelle Anderson
HOU,Jyllissa Harris
HOU,Katie Lind
HOU,Kelcie Hedge
HOU,Lindsi Jennings
HOU,Madelyn Desiano
HOU,Makamae Gomera-Stevens
HOU,María Sánchez
HOU,Marisa Viggiano
HOU,Michelle Alozie
HOU,Natalie Jacobs
HOU,Nichelle Prince
HOU,Paulina Gramaglia
HOU,Ryan Gareis
HOU,Shea Groom
HOU,Sophie Hirst
HOU,Sophie Schmidt
KC,Addisyn Merrick
KC,Adrianna Franch
KC,Alex Loera
KC,Alexa Spaanstra
KC,Cassie Miller
KC,Cece Kizer
KC,Chardonnay Curran
KC,Claire Lavogez
KC,Debinha
KC,Desiree Scott
KC,Elizabeth Ball
KC,Gabby Robinson
KC,Hailie Mace
KC,Hanna Glas
KC,Izzy Rodriguez
KC,Jenna Winebrenner
KC,Jordan Silkowitz
KC,Kate Del Fava
KC,Kristen Hamilton
KC,Lo'eau LaBonta
KC,Mallory Weber
KC,Michelle Cooper
KC,Mimmi Larsson
KC,Morgan Gautrat
KC,Rylan Childers
KC,Sam Mewis
KC,Vanessa DiBernardo
LA,Ali Riley
LA,Allyson Swaby
LA,Alyssa Thompson
LA,Angelina Anderson
LA,Brittany Isenhour
LA,Christen Press
LA,Claire Emslie
LA,Clarisse Le Bihan
LA,Dani Weatherholt
LA,DiDi Haračić
LA,Jasmyne Spencer
LA,Jun Endo
LA,Katie Johnson
LA,Lily Nabet
LA,M.A. Vignola
LA,Mackenzie Pluck
LA,Madison Hammond
LA,Megan Reid
LA,Merritt Mathias
LA,Paige Nielsen
LA,Sarah Gorden
LA,Savannah McCaskill
LA,Simone Charley
LA,Sydney Leroux
LA,Vanessa Gilles
LOU,Abby Erceg
LOU,Alex Chidiac
LOU,Ary Borges
LOU,Carson Pickett
LOU,Elli Pikkujämsä
LOU,Emina Ekic
LOU,Hillary Beall
LOU,Jaelin Howell
LOU,Jessica McDonald
LOU,Jordyn Bloomer
LOU,Julia Lester
LOU,Katie Lund
LOU,Kayla Fischer
LOU,Kelsey Daugherty
LOU,Kirsten Davis
LOU,Lauren Milliet
LOU,Nadia Nadim
LOU,Paige Monaghan
LOU,Parker Goins
LOU,Rebecca Holloway
LOU,Riley Parker
LOU,Satara Murray
LOU,Savannah DeMelo
LOU,Thembi Kgatlana
LOU,Uchenna Kanu
LOU,Wang Shuang
LOU,Zaneta Wyne
NC,Brianna Pinto
NC,Brittany Ratcliffe
NC,Casey Murphy
NC,Clara Robbins
NC,Denise O'Sullivan
NC,Emily Fox
NC,Emily Gray
NC,Estelle Johnson
NC,Frankie Tagliaferri
NC,Haley Hopkins
NC,Kaleigh Kurtz
NC,Katelyn Rowland
NC,Kerolin
NC,Kiki Pickett
NC,Malia Berkely
NC,Marisa Bova
NC,Meredith Speck
NC,Mille Gejl Jensen
NC,Millie Farrow
NC,Narumi Miura
NC,Olivia Wingate
NC,Rikke Madsen
NC,Ryan Williams
NC,Sydney Collins
NC,Tess Boade
NC,Tyler Lussi
NJY,Abby Smith
NJY,Ali Krieger
NJY,Allie Long
NJY,Bruninha
NJY,Delanie Sheehan
NJY,Ellie Jean
NJY,Ifeoma Onumonu
NJY,Imani Dorsey
NJY,Jenna Nighswonger
NJY,Kelley O'Hara
NJY,Kristen Edmonds
NJY,Kristie Mewis
NJY,Lynn Williams
NJY,Mandy Freeman
NJY,Mandy Haught
NJY,McCall Zerboni
NJY,Michelle Betos
NJY,Midge Purce
NJY,Nahomi Kawasumi
NJY,Nealy Martin
NJY,Sabrina Flores
NJY,Svava Rós Guðmundsdóttir
NJY,Taylor Smith
NJY,Victoria Pickett
NJY,Yazmeen Ryan
ORL,Adriana
ORL,Ally Watt
ORL,Anna Moorhouse
ORL,Caitlin Cosme
ORL,Carly Nelson
ORL,Carrie Lawrence
ORL,Celia
ORL,Emily Madril
ORL,Erika Tymrak
ORL,Haley Bugeja
ORL,Haley McCutcheon
ORL,Jordyn Listro
ORL,Julie Doyle
ORL,Kaylie Collins
ORL,Kerry Abello
ORL,Kylie Strom
ORL,Leah Pruitt
ORL,Marta
ORL,Megan Montefusco
ORL,Messiah Bright
ORL,Mikayla Cluff
ORL,Summer Yates
ORL,Viviana Villacorta
POR,Becky Sauerbrunn
POR,Bella Bixby
POR,Christine Sinclair
POR,Crystal Dunn
POR,Emily Menges
POR,Gabby Provenzano
POR,Hannah Betfort
POR,Hina Sugita
POR,Izzy D'Aquila
POR,Janine Beckie
POR,Kelli Hubly
POR,Lauren Kozal
POR,Meaghan Nally
POR,Meghan Klingenberg
POR,Michele Vasconcelos
POR,Morgan Weaver
POR,Natalia Kuikka
POR,Natalie Beckman
POR,Olivia Moultrie
POR,Raquel Rodríguez
POR,Sam Coffey
POR,Shelby Hogan
POR,Sophia Smith
POR,Taylor Porter
POR,Tegan McGrady
RGN,Alana Cook
RGN,Alyssa Malonson
RGN,Angelina
RGN,Bethany Balcer
RGN,Claudia Dickey
RGN,Elyse Bennett
RGN,Emily Sonnett
RGN,Jadyn Edwards
RGN,Jess Fishlock
RGN,Jimena López
RGN,Jordyn Huitema
RGN,Laurel Ivory
RGN,Lauren Barnes
RGN,Luany
RGN,Marley Canales
RGN,Megan Rapinoe
RGN,Natalie Viggiano
RGN,Nikki Stanton
RGN,Olivia Athens
RGN,Olivia Van der Jagt
RGN,Phallon Tullis-Joyce
RGN,Phoebe McClernon
RGN,Quinn
RGN,Rose Lavelle
RGN,Ryanne Brown
RGN,Sam Hiatt
RGN,Shae Holmes
RGN,Sofia Huerta
RGN,Tziarra King
RGN,Veronica Latsko
SD,Abby Dahlkemper
SD,Alex Morgan
SD,Amirah Ali
SD,Belle Briede
SD,Carly Telford
SD,Cheyenne Shorts
SD,Christen Westphal
SD,Danielle Colaprico
SD,Emily van Egmond
SD,Giovanna DeMarco
SD,Jaedyn Shaw
SD,Kailen Sheridan
SD,Kaleigh Riehl
SD,Kelsey Turnbow
SD,Kristen McNabb
SD,Lauren Brzykcy
SD,Madison Pogarch
SD,Makenzy Doniak
SD,Meggie Dougherty Howard
SD,Melanie Barcenas
SD,Mia Gyau
SD,Naomi Girma
SD,Rachel Hill
SD,Sierra Enge
SD,Sofia Jakobsson
SD,Taylor Kornieck
WAS,Amber Brooks
WAS,Andi Sullivan
WAS,Anna Heilferty
WAS,Ashley Hatch
WAS,Ashley Sanchez
WAS,Aubrey Kingsbury
WAS,Bayley Feist
WAS,Camryn Biegalski
WAS,Chloe Ricketts
WAS,Civana Kuhlmann
WAS,Dorian Bailey
WAS,Gabrielle Carle
WAS,Inès Jaurena
WAS,Jordan Baggett
WAS,Lena Silano
WAS,Lyza Bosselmann
WAS,Maddie Elwell
WAS,Marissa Sheva
WAS,Nicole Barnhart
WAS,Nicole Douglas
WAS,Paige Metayer
WAS,Riley Tanner
WAS,Sam Staab
WAS,Tara McKeown
WAS,Tori Huster
WAS,Trinity Rodman
