Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2015-04-11,Sat,NWSL,Regular Season,Home,W 4–1,Thorns,Boston,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-18,Sat,NWSL,Regular Season,Home,W 1–0,Thorns,Flash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-04-25,Sat,NWSL,Regular Season,Away,D 2–2,Thorns,Red Stars,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-09,Sat,NWSL,Regular Season,Home,D 2–2,Thorns,Spirit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-16,Sat,NWSL,Regular Season,Away,L 0–1,Thorns,Boston,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-23,Sat,NWSL,Regular Season,Home,L 0–1,Thorns,Dash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-05-30,Sat,NWSL,Regular Season,Away,L 1–2,Thorns,Spirit,Y,,66,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-06-06,Sat,NWSL,Regular Season,Away,D 0–0,Thorns,Dash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-06-19,Fri,NWSL,Regular Season,Home,D 1–1,Thorns,Kansas City,Y,,69,0,0,0,0,,,0,1,,,,,,,0,,,Match Report
2015-07-22,Wed,NWSL,Regular Season,Home,L 0–1,Thorns,Reign,Y,,72,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-26,Sun,NWSL,Regular Season,Away,L 0–3,Thorns,Reign,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-07-29,Wed,NWSL,Regular Season,Away,W 2–0,Thorns,Flash,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-05,Wed,NWSL,Regular Season,Home,W 5–2,Thorns,Boston,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-09,Sun,NWSL,Regular Season,Home,W 2–1,Thorns,Red Stars,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-12,Wed,NWSL,Regular Season,Away,L 0–3,Thorns,Kansas City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-08-22,Sat,NWSL,Regular Season,Away,L 0–1,Thorns,Sky Blue,Y,,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-08-30,Sun,NWSL,Regular Season,Home,D 3–3,Thorns,Spirit,Y,,33,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-09-04,Fri,NWSL,Regular Season,Away,L 2–3,Thorns,Flash,Y,,45,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
