Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2016-04-16,Sat,NWSL,Regular Season,Away,L 0–1,Boston,Spirit,Y,,90,0,0,,,0,0,0,0,2,,,,,,,,,Match Report
2016-04-24,Sun,NWSL,Regular Season,Home,L 0–3,Boston,Reign,Y,,81,0,0,,,0,0,1,0,6,2,0,,,,,,,Match Report
2016-05-01,Sun,NWSL,Regular Season,Home,L 0–1,Boston,Thorns,Y,,90,0,0,,,3,1,0,0,0,3,0,,,,,,,Match Report
2016-05-07,Sat,NWSL,Regular Season,Home,L 0–1,Boston,Red Stars,Y,,90,0,0,,,0,0,0,0,2,1,0,,,,,,,Match Report
2016-05-13,Fri,NWSL,Regular Season,Away,L 0–1,Boston,Sky Blue,Y,,82,0,0,,,0,0,0,0,3,1,0,,,,,,,Match Report
2016-05-22,Sun,NWSL,Regular Season,Home,W 1–0,Boston,Kansas City,Y,,55,0,0,,,0,0,0,0,1,4,0,,,,,,,Match Report
2016-05-27,Fri,NWSL,Regular Season,Away,L 0–4,Boston,Flash,Y,,90,0,0,,,0,0,0,0,1,2,0,,,,,,,Match Report
2016-06-10,Fri,NWSL,Regular Season,Home,D 1–1,Boston,Spirit,Y,,90,0,0,,,0,0,0,0,2,2,0,,,,,,,Match Report
2016-06-17,Fri,NWSL,Regular Season,Home,L 0–2,Flash,Thorns,N,,46,0,0,,,0,0,0,0,0,2,0,,,,,,,Match Report
2016-06-24,Fri,NWSL,Regular Season,Home,W 7–1,Flash,Boston,Y,,90,0,0,,,1,0,1,0,3,2,0,,,,,,,Match Report
2016-07-01,Fri,NWSL,Regular Season,Home,W 2–0,Flash,Red Stars,Y,,90,0,0,,,3,0,1,0,3,0,0,,,,,,,Match Report
2016-07-09,Sat,NWSL,Regular Season,Home,W 3–2,Flash,Reign,Y,,90,0,0,,,1,1,0,0,1,1,0,,,,,,,Match Report
2016-07-16,Sat,NWSL,Regular Season,Away,D 1–1,Flash,Reign,Y,,90,0,0,,,0,0,1,0,3,2,0,,,,,,,Match Report
2016-07-23,Sat,NWSL,Regular Season,Home,L 0–1,Flash,Kansas City,Y,,90,0,0,,,3,0,0,0,1,1,0,,,,,,,Match Report
2016-07-30,Sat,NWSL,Regular Season,Away,D 3–3,Flash,Dash,Y,,90,0,0,,,0,0,0,0,1,5,0,,,,,,,Match Report
2016-08-27,Sat,NWSL,Regular Season,Home,D 2–2,Flash,Dash,Y,,90,0,0,,,0,0,0,0,2,1,0,,,,,,,Match Report
2016-09-03,Sat,NWSL,Regular Season,Away,D 1–1,Flash,Spirit,Y,,78,0,0,,,2,2,0,0,0,0,0,,,,,,,Match Report
2016-09-07,Wed,NWSL,Regular Season,Away,D 2–2,Flash,Boston,Y,,90,0,0,,,1,1,0,0,1,1,0,,,,,,,Match Report
2016-09-11,Sun,NWSL,Regular Season,Away,L 2–3,Flash,Thorns,Y,,90,0,0,,,0,0,0,0,0,2,0,,,,,,,Match Report
2016-09-24,Sat,NWSL,Regular Season,Away,W 4–0,Flash,Boston,Y,,75,0,1,,,1,0,0,0,0,2,0,,,,,,,Match Report
