Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2013-04-14,Sun,NWSL,Regular Season,Away,L 0–1,Flash,Sky Blue,Y,,90,0,0,0,0,1,1,0,0,3,2,1,0,,,,,,Match Report
2013-04-20,Sat,NWSL,Regular Season,Away,D 1–1,Flash,Spirit,Y,,79,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Match Report
2013-04-27,Sat,NWSL,Regular Season,Home,L 1–2,Flash,Boston,Y,,90,0,0,0,0,2,1,0,0,1,2,0,0,,,,,,Match Report
2013-05-01,Wed,NWSL,Regular Season,Home,W 2–1,Flash,Sky Blue,Y,,90,0,0,0,0,1,0,0,0,0,4,0,0,,,,,,Match Report
2013-05-11,Sat,NWSL,Regular Season,Home,W 2–1,Flash,Kansas City,Y,,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,Match Report
2013-05-24,Fri,NWSL,Regular Season,Home,W 2–1,Flash,Red Stars,Y,,90,1,0,0,0,4,1,0,0,4,3,0,0,,,,,,Match Report
2013-06-05,Wed,NWSL,Regular Season,Away,D 2–2,Flash,Boston,Y,,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Match Report
2013-06-08,Sat,NWSL,Regular Season,Away,W 3–0,Flash,Sky Blue,Y,,5,0,0,0,0,0,0,0,0,3,3,0,0,,,,,,Match Report
2013-06-15,Sat,NWSL,Regular Season,Away,W 2–0,Flash,Spirit,Y,,90,0,0,0,0,2,1,0,0,0,0,0,0,,,,,,Match Report
2013-06-19,Wed,NWSL,Regular Season,Away,D 2–2,Flash,Red Stars,Y,,90,0,0,0,0,0,0,1,0,1,3,0,0,,,,,,Match Report
2013-06-23,Sun,NWSL,Regular Season,Home,D 1–1,Flash,Reign,Y,,90,0,0,0,0,3,2,0,0,0,0,0,0,,,,,,Match Report
2013-06-28,Fri,NWSL,Regular Season,Home,W 4–0,Flash,Spirit,Y,,58,0,0,0,0,1,1,0,0,1,1,0,0,,,,,,Match Report
2013-07-04,Thu,NWSL,Regular Season,Away,L 0–1,Flash,Red Stars,Y,,74,0,0,0,0,0,0,0,0,2,2,0,0,,,,,,Match Report
2013-07-07,Sun,NWSL,Regular Season,Away,D 0–0,Flash,Kansas City,Y,,90,0,0,0,0,1,1,0,0,2,3,0,0,,,,,,Match Report
2013-07-11,Thu,NWSL,Regular Season,Away,L 2–3,Flash,Reign,Y,,85,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,Match Report
2013-07-14,Sun,NWSL,Regular Season,Away,D 1–1,Flash,Thorns,Y,,90,0,0,0,0,2,1,0,0,5,1,0,0,,,,,,Match Report
2013-07-21,Sun,NWSL,Regular Season,Home,W 3–0,Flash,Sky Blue,Y,,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Match Report
2013-07-31,Wed,NWSL,Regular Season,Home,W 3–0,Flash,Spirit,Y,,90,0,0,0,0,1,0,0,0,1,0,0,0,,,,,,Match Report
2013-08-03,Sat,NWSL,Regular Season,Away,D 2–2,Flash,Boston,Y,,63,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,Match Report
2013-08-07,Wed,NWSL,Regular Season,Home,W 1–0,Flash,Reign,Y,,85,0,0,0,0,3,2,0,0,2,0,0,0,,,,,,Match Report
