Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2021-06-05,Sat,NWSL,Regular Season,Home,W 1–0,Gotham FC,Reign,N,AM,24,0,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,0,Match Report
2021-06-20,Sun,NWSL,Regular Season,Away,D 1–1,Gotham FC,Pride,N,LM,35,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,Match Report
2021-06-26,Sat,NWSL,Regular Season,Away,W 3–0,Gotham FC,Reign,Y*,CM,58,0,0,0,0,1,0,0,0,29,0,1,1,0.1,0.1,0.1,3,0,Match Report
2021-07-02,Fri,NWSL,Regular Season,Home,D 1–1,Gotham FC,Current,Y*,CM,70,0,0,0,0,1,0,0,0,37,1,1,2,0.1,0.1,0,0,0,Match Report
2021-07-11,Sun,NWSL,Regular Season,Away,D 0–0,Gotham FC,Thorns,Y*,CM,54,0,0,0,0,1,0,0,0,39,3,2,2,0,0,0,0,0,Match Report
2021-07-18,Sun,NWSL,Regular Season,Away,W 3–2,Gotham FC,Spirit,Y*,"RM,CM",90,1,0,0,0,2,1,0,0,74,6,4,2,0.1,0.1,0.3,7,0,Match Report
2021-07-25,Sun,NWSL,Regular Season,Home,W 2–1,Gotham FC,Red Stars,Y*,RM,90,0,0,0,0,0,0,0,0,63,2,5,2,0,0,0,2,0,Match Report
2021-08-01,Sun,NWSL,Regular Season,Away,D 1–1,Gotham FC,Dash,Y*,RM,77,0,0,0,0,1,0,0,0,48,0,0,0,0,0,0,1,0,Match Report
2021-08-07,Sat,NWSL,Regular Season,Home,L 0–1,Gotham FC,Courage,Y*,RM,90,0,0,0,0,1,0,1,0,76,2,3,2,0,0,0,0,0,Match Report
2021-08-15,Sun,NWSL,Regular Season,Home,D 1–1,Gotham FC,Louisville,Y*,CM,65,0,0,0,0,0,0,0,0,48,1,0,2,0,0,0,0,0,Match Report
2021-08-21,Sat,NWSL,Regular Season,Away,L 2–3,Gotham FC,Reign,Y*,CM,90,0,0,0,0,0,0,0,0,50,7,1,2,0,0,0,2,0,Match Report
2021-08-29,Sun,NWSL,Regular Season,Home,L 0–1,Gotham FC,Pride,Y*,CM,86,0,0,0,0,3,1,0,0,61,2,1,1,0.2,0.2,0,3,0,Match Report
2021-09-04,Sat,NWSL,Regular Season,Home,D 0–0,Gotham FC,Red Stars,Y*,LM,83,0,0,0,0,0,0,0,0,45,2,1,0,0,0,0,0,0,Match Report
2021-09-25,Sat,NWSL,Regular Season,Home,W 3–1,Gotham FC,Courage,Y*,CM,90,0,0,0,0,0,0,0,0,58,3,3,0,0,0,0.4,3,0,Match Report
2021-10-06,Wed,NWSL,Regular Season,Home,D 0–0,Gotham FC,Spirit,Y*,CM,90,0,0,0,0,2,0,0,0,63,3,3,2,0.2,0.2,0.1,4,0,Match Report
2021-10-09,Sat,NWSL,Regular Season,Away,W 3–2,Gotham FC,Pride,Y*,CM,90,0,0,0,0,0,0,0,0,60,9,4,3,0,0,0,2,0,Match Report
2021-10-17,Sun,NWSL,Regular Season,Away,W 3–0,Gotham FC,Courage,Y*,CM,90,0,0,0,0,3,1,0,0,61,1,1,3,0.2,0.2,0,3,0,Match Report
2021-10-22,Fri,NWSL,Regular Season,Away,D 1–1,Gotham FC,Current,Y*,"RM,DM",90,0,1,0,0,2,0,0,0,54,0,2,5,0.1,0.1,0.1,6,2,Match Report
2021-10-28,Thu,NWSL,Regular Season,Away,D 1–1,Gotham FC,Louisville,Y*,RM,90,0,0,0,0,2,2,0,0,78,5,4,2,0.1,0.1,0,4,0,Match Report
2021-10-31,Sun,NWSL,Regular Season,Home,D 1–1,Gotham FC,Louisville,Y*,RM,57,0,0,0,0,2,1,0,0,49,1,0,0,0.1,0.1,0,2,0,Match Report
