Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2017-04-15,Sat,NWSL,Regular Season,Away,W 1–0,Courage,Spirit,Y,DM,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-04-22,Sat,NWSL,Regular Season,Home,W 1–0,Courage,Thorns,Y,AM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-04-29,Sat,NWSL,Regular Season,Home,W 3–1,Courage,Pride,Y,AM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2017-05-07,Sun,NWSL,Regular Season,Away,W 1–0,Courage,Boston,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-05-14,Sun,NWSL,Regular Season,Away,L 1–3,Courage,Pride,Y,AM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2017-05-21,Sun,NWSL,Regular Season,Home,L 1–3,Courage,Red Stars,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-05-24,Wed,NWSL,Regular Season,Home,W 2–0,Courage,Sky Blue,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-05-27,Sat,NWSL,Regular Season,Away,L 2–3,Courage,Red Stars,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-06-03,Sat,NWSL,Regular Season,Home,W 2–0,Courage,Kansas City,Y,CM,90,1,0,0,0,,,1,0,,,,,,,0,,,Match Report
2017-06-17,Sat,NWSL,Regular Season,Home,W 3–1,Courage,Boston,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-06-24,Sat,NWSL,Regular Season,Away,W 1–0,Courage,Boston,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-07-01,Sat,NWSL,Regular Season,Home,L 0–1,Courage,Sky Blue,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-07-08,Sat,NWSL,Regular Season,Home,W 2–0,Courage,Reign,Y,CM,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-07-15,Sat,NWSL,Regular Season,Away,L 0–1,Courage,Thorns,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-08-05,Sat,NWSL,Regular Season,Home,W 1–0,Courage,Reign,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-08-10,Thu,NWSL,Regular Season,Away,W 1–0,Courage,Kansas City,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-08-13,Sun,NWSL,Regular Season,Away,W 2–1,Courage,Reign,Y,CM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-08-19,Sat,NWSL,Regular Season,Home,W 2–0,Courage,Spirit,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-08-30,Wed,NWSL,Regular Season,Away,W 3–2,Courage,Spirit,Y,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-09-03,Sun,NWSL,Regular Season,Away,L 1–2,Courage,Red Stars,Y,DM,90,0,0,0,0,,,1,0,,,,,,,0,,,Match Report
2017-09-24,Sun,NWSL,Regular Season,Away,D 1–1,Courage,Sky Blue,Y,FW,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-09-27,Wed,NWSL,Regular Season,Away,W 4–0,Courage,Dash,Y,AM,63,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2017-09-30,Sat,NWSL,Regular Season,Home,L 2–3,Courage,Pride,Y,CM,62,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
