Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2022-05-01,Sun,NWSL,Regular Season,Away,W 3–0,Gotham FC,Pride,Y*,DM,83,1,0,0,0,1,1,1,0,48,5,0,0,0.2,0.2,0.1,2,1,Match Report
2022-05-07,Sat,NWSL,Regular Season,Away,L 0–4,Gotham FC,Wave,Y*,DM,90,0,0,0,0,0,0,0,0,56,2,2,0,0,0,0,0,0,Match Report
2022-05-22,Sun,NWSL,Regular Season,Home,L 0–1,Gotham FC,Louisville,Y*,DM,80,0,0,0,0,1,0,0,0,66,7,3,0,0.2,0.2,0,1,0,Match Report
2022-05-29,Sun,NWSL,Regular Season,Away,W 1–0,Gotham FC,Angel City,Y*,DM,90,0,0,0,0,0,0,0,0,70,6,4,4,0,0,0,0,0,Match Report
2022-06-04,Sat,NWSL,Regular Season,Home,W 1–0,Gotham FC,Spirit,Y*,DM,90,0,0,0,0,0,0,0,0,42,2,1,3,0,0,0,2,0,Match Report
2022-06-11,Sat,NWSL,Regular Season,Away,L 0–1,Gotham FC,Current,Y*,DM,88,0,0,0,0,1,0,0,0,52,3,1,3,0.1,0.1,0,3,0,Match Report
2022-06-19,Sun,NWSL,Regular Season,Home,L 0–3,Gotham FC,Wave,Y*,DM,90,0,0,0,0,2,0,0,0,68,4,3,1,0.2,0.2,0,4,0,Match Report
2022-07-02,Sat,NWSL,Regular Season,Home,L 0–3,Gotham FC,Red Stars,Y*,DM,78,0,0,0,0,1,0,1,0,51,5,1,3,0,0,0,2,0,Match Report
2022-07-08,Fri,NWSL,Regular Season,Away,W 2–1,Gotham FC,Louisville,Y*,DM,90,0,0,0,0,1,0,1,0,44,3,2,2,0.1,0.1,0,1,0,Match Report
2022-07-16,Sat,NWSL,Regular Season,Away,L 0–5,Gotham FC,Thorns,Y*,DM,65,0,0,0,0,0,0,0,0,43,4,3,3,0,0,0,1,0,Match Report
2022-07-31,Sun,NWSL,Regular Season,Home,L 2–4,Gotham FC,Dash,Y*,DM,90,0,0,0,0,1,0,0,0,63,4,2,2,0.1,0.1,0,1,0,Match Report
2022-08-07,Sun,NWSL,Regular Season,Away,L 0–2,Gotham FC,Red Stars,Y*,AM,76,0,0,0,0,0,0,0,0,39,3,1,3,0,0,0,0,0,Match Report
2022-08-14,Sun,NWSL,Regular Season,Away,L 1–4,Gotham FC,Reign,Y*,AM,90,0,0,0,0,0,0,0,0,56,5,1,1,0,0,0,1,0,Match Report
2022-08-17,Wed,NWSL,Regular Season,Away,L 1–2,Gotham FC,Dash,Y*,DM,90,1,0,0,0,1,1,0,0,76,7,0,4,0.5,0.5,0,0,0,Match Report
2022-08-20,Sat,NWSL,Regular Season,Home,L 1–2,Gotham FC,Pride,Y*,DM,90,0,0,0,0,1,0,0,0,98,8,3,3,0.1,0.1,0.1,6,1,Match Report
2022-08-28,Sun,NWSL,Regular Season,Home,L 1–3,Gotham FC,Angel City,Y*,LM,81,0,0,0,0,1,0,0,0,49,5,0,2,0.1,0.1,0,4,0,Match Report
2022-09-04,Sun,NWSL,Regular Season,Home,L 0–1,Gotham FC,Courage,Y*,RM,90,0,0,0,0,2,1,0,0,58,5,3,1,0.3,0.3,0.2,2,0,Match Report
2022-09-11,Sun,NWSL,Regular Season,Home,L 0–1,Gotham FC,Current,Y*,CM,90,0,0,0,0,1,0,0,0,55,2,2,0,0,0,0,1,0,Match Report
2022-09-21,Wed,NWSL,Regular Season,Home,L 0–1,Gotham FC,Reign,Y*,RM,90,0,0,0,0,1,0,0,0,76,1,1,1,0,0,0,0,0,Match Report
2022-09-24,Sat,NWSL,Regular Season,Away,L 0–3,Gotham FC,Courage,Y*,CM,45,0,0,0,0,0,0,0,0,33,1,1,1,0,0,0,0,0,Match Report
2022-10-01,Sat,NWSL,Regular Season,Home,D 3–3,Gotham FC,Thorns,Y*,DM,90,1,0,0,0,1,1,0,0,59,1,2,4,0.3,0.3,0,0,0,Match Report
