Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2023-03-26,Sun,NWSL,Regular Season,Away,W 2–1,Gotham FC,Angel City,N,CM,11,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,Match Report
2023-04-01,Sat,NWSL,Regular Season,Home,L 0–2,Gotham FC,Reign,N,CM,33,0,0,0,0,0,0,0,0,22,2,1,0,0,0,0,0,0,Match Report
2023-04-15,Sat,NWSL,Regular Season,Away,W 2–0,Gotham FC,Pride,N,CB,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,Match Report
2023-04-22,Sat,NWSL,Regular Season,Home,W 1–0,Gotham FC,Courage,Y,LM,78,0,0,0,0,1,0,0,0,41,1,0,1,0.1,0.1,0.1,4,0,Match Report
2023-04-30,Sun,NWSL,Regular Season,Away,L 0–2,Gotham FC,Current,Y,RM,85,0,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,Match Report
2023-05-07,Sun,NWSL,Regular Season,Away,W 2–1,Gotham FC,Red Stars,N,"LM,CM",22,0,0,0,0,0,0,0,0,16,2,1,0,0,0,0,1,0,Match Report
2023-05-14,Sun,NWSL,Regular Season,Home,D 0–0,Gotham FC,Pride,N,RM,16,0,0,0,0,0,0,1,0,12,2,1,1,0,0,0,0,0,Match Report
2023-05-21,Sun,NWSL,Regular Season,Away,W 4–1,Gotham FC,Reign,N,"RM,CM",10,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,Match Report
2023-05-28,Sun,NWSL,Regular Season,Away,D 1–1,Gotham FC,Spirit,N,CM,8,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,Match Report
2023-06-04,Sun,NWSL,Regular Season,Home,L 0–1,Gotham FC,Wave,N,CM,29,0,0,0,0,2,0,0,0,28,2,0,1,0.1,0.1,0,2,0,Match Report
2023-06-11,Sun,NWSL,Regular Season,Away,D 1–1,Gotham FC,Dash,N,CM,18,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,2,0,Match Report
