p1,p2,minutes
Becky Sauerbrunn,Carli Lloyd,128
Becky Sauerbrunn,Lynn Williams,188
Becky Sauerbrunn,Catarina Macario,152
Becky Sauerbrunn,Abby Dahlkemper,48
Becky Sauerbrunn,Alex Morgan,969
Becky Sauerbrunn,Tobin Heath,85
Becky Sauerbrunn,Sophia Smith,850
Becky Sauerbrunn,Emily Sonnett,365
Becky Sauerbrunn,Jane Campbell,48
Becky Sauerbrunn,Casey Krueger,68
Becky Sauerbrunn,Lindsey Horan,1088
Becky Sauerbrunn,Megan Rapinoe,257
Becky Sauerbrunn,Emily Fox,881
Becky Sauerbrunn,Casey Murphy,511
Becky Sauerbrunn,Alana Cook,757
Becky Sauerbrunn,Ashley Hatch,166
Becky Sauerbrunn,Midge Purce,277
Becky Sauerbrunn,Bethany Balcer,6
Becky Sauerbrunn,Sofia Huerta,591
Becky Sauerbrunn,Ashley Sanchez,473
Becky Sauerbrunn,Morgan Weaver,10
Becky Sauerbrunn,Imani Dorsey,4
Becky Sauerbrunn,Morgan Gautrat,0
Becky Sauerbrunn,Trinity Rodman,301
Becky Sauerbrunn,Alyssa Naeher,683
Becky Sauerbrunn,Jaelin Howell,4
Becky Sauerbrunn,Aubrey Kingsbury,0
Becky Sauerbrunn,Naomi Girma,434
Becky Sauerbrunn,Sam Mewis,0
Becky Sauerbrunn,Taylor Kornieck,92
Becky Sauerbrunn,Carson Pickett,62
Becky Sauerbrunn,Hailie Mace,90
Becky Sauerbrunn,Sam Coffey,35
Becky Sauerbrunn,Alyssa Thompson,53
Becky Sauerbrunn,Julie Ertz,23
Kelley O'Hara,Adriana Franch,180
Kelley O'Hara,Crystal Dunn,63
Kelley O'Hara,Tierna Davidson,359
Kelley O'Hara,Becky Sauerbrunn,434
Kelley O'Hara,Kelley O'Hara,766
Kelley O'Hara,Kristie Mewis,320
Kelley O'Hara,Andi Sullivan,609
Kelley O'Hara,Rose Lavelle,418
Kelley O'Hara,Mallory Swanson,481
Kelley O'Hara,Carli Lloyd,146
Kelley O'Hara,Lynn Williams,113
Kelley O'Hara,Catarina Macario,346
Kelley O'Hara,Abby Dahlkemper,167
Kelley O'Hara,Alex Morgan,286
Kelley O'Hara,Tobin Heath,82
Kelley O'Hara,Sophia Smith,511
Kelley O'Hara,Emily Sonnett,186
Kelley O'Hara,Jane Campbell,29
Kelley O'Hara,Casey Krueger,68
Kelley O'Hara,Lindsey Horan,359
Kelley O'Hara,Megan Rapinoe,46
Kelley O'Hara,Emily Fox,355
Kelley O'Hara,Casey Murphy,418
Kelley O'Hara,Alana Cook,441
Kelley O'Hara,Ashley Hatch,125
Kelley O'Hara,Midge Purce,174
Kelley O'Hara,Bethany Balcer,0
Kelley O'Hara,Sofia Huerta,98
Kelley O'Hara,Ashley Sanchez,308
Kelley O'Hara,Morgan Weaver,0
Kelley O'Hara,Imani Dorsey,0
Kelley O'Hara,Morgan Gautrat,46
Kelley O'Hara,Trinity Rodman,79
Kelley O'Hara,Alyssa Naeher,109
Kelley O'Hara,Jaelin Howell,48
Kelley O'Hara,Aubrey Kingsbury,30
Kelley O'Hara,Naomi Girma,112
Kelley O'Hara,Sam Mewis,30
Kelley O'Hara,Taylor Kornieck,19
Kelley O'Hara,Carson Pickett,19
Kelley O'Hara,Hailie Mace,0
Kelley O'Hara,Sam Coffey,0
Kelley O'Hara,Alyssa Thompson,46
Kelley O'Hara,Julie Ertz,0
Kristie Mewis,Adriana Franch,103
Kristie Mewis,Crystal Dunn,59
Kristie Mewis,Tierna Davidson,319
