date,player,enter,exit
2021-11-26,Ashley Hatch,0,74
2021-11-26,Midge Purce,0,78
2021-11-26,Bethany Balcer,78,90
2021-11-26,Sofia Huerta,46,90
2021-11-26,Kristie Mewis,84,90
2021-11-26,Ashley Sanchez,84,90
2021-11-26,Becky Sauerbrunn,84,90
2021-11-26,Morgan Weaver,74,90
2021-11-30,Casey Murphy,0,90
2021-11-30,Emily Fox,0,77
2021-11-30,Tierna Davidson,0,90
2021-11-30,Alana Cook,0,90
2021-11-30,Sofia Huerta,0,86
2021-11-30,Lindsey Horan,0,90
2021-11-30,Andi Sullivan,0,86
2021-11-30,Rose Lavelle,0,90
2021-11-30,Lynn Williams,0,81
2021-11-30,Ashley Hatch,0,70
2021-11-30,Midge Purce,0,70
2021-11-30,Imani Dorsey,77,90
2021-11-30,Kristie Mewis,70,90
2021-11-30,Ashley Sanchez,81,90
2021-11-30,Becky Sauerbrunn,86,90
2021-11-30,Emily Sonnett,86,90
2021-11-30,Morgan Weaver,70,90
2022-02-17,Casey Murphy,0,90
2022-02-17,Emily Fox,0,46
2022-02-17,Tierna Davidson,0,72
2022-02-17,Alana Cook,0,90
2022-02-17,Kelley O'Hara,0,90
2022-02-17,Morgan Gautrat,0,46
2022-02-17,Andi Sullivan,0,90
2022-02-17,Rose Lavelle,0,72
2022-02-17,Mallory Swanson,0,60
2022-02-17,Catarina Macario,0,90
2022-02-17,Sophia Smith,0,61
2022-02-17,Kristie Mewis,46,90
2022-02-17,Trinity Rodman,60,90
2022-02-17,Ashley Sanchez,72,90
2022-02-17,Becky Sauerbrunn,72,90
2022-02-17,Emily Sonnett,46,90
2022-02-17,Midge Purce,61,90
2022-02-20,Alyssa Naeher,0,90
2022-02-20,Emily Fox,0,90
2022-02-20,Becky Sauerbrunn,0,46
2022-02-20,Alana Cook,0,90
2022-02-20,Sofia Huerta,0,90
2022-02-20,Kristie Mewis,0,90
2022-02-20,Andi Sullivan,0,55
2022-02-20,Ashley Sanchez,0,67
2022-02-20,Sophia Smith,0,46
2022-02-20,Catarina Macario,0,46
2022-02-20,Midge Purce,0,56
2022-02-20,Tierna Davidson,46,90
2022-02-20,Ashley Hatch,46,90
2022-02-20,Jaelin Howell,55,90
2022-02-20,Trinity Rodman,56,90
2022-02-20,Mallory Swanson,67,90
2022-02-20,Lynn Williams,46,90
2022-02-23,Casey Murphy,0,90
2022-02-23,Emily Fox,0,90
2022-02-23,Tierna Davidson,0,90
2022-02-23,Alana Cook,0,86
2022-02-23,Kelley O'Hara,0,90
2022-02-23,Kristie Mewis,0,90
2022-02-23,Andi Sullivan,0,86
2022-02-23,Ashley Sanchez,0,86
2022-02-23,Mallory Swanson,0,80
2022-02-23,Catarina Macario,0,80
2022-02-23,Sophia Smith,0,80
2022-02-23,Ashley Hatch,80,90
2022-02-23,Jaelin Howell,86,90
2022-02-23,Becky Sauerbrunn,86,90
2022-02-23,Emily Sonnett,86,90
2022-02-23,Lynn Williams,80,90
2022-02-23,Midge Purce,80,90
2022-04-09,Alyssa Naeher,0,90
2022-04-09,Emily Fox,0,68
2022-04-09,Abby Dahlkemper,0,90
2022-04-09,Alana Cook,0,90
2022-04-09,Kelley O'Hara,0,90
2022-04-09,Lindsey Horan,0,46
2022-04-09,Andi Sullivan,0,46
2022-04-09,Rose Lavelle,0,68
2022-04-09,Mallory Swanson,0,90
2022-04-09,Catarina Macario,0,62
2022-04-09,Sophia Smith,0,62
2022-04-09,Ashley Hatch,62,90
2022-04-09,Jaelin Howell,46,90
2022-04-09,Sofia Huerta,68,90
2022-04-09,Kristie Mewis,46,90
2022-04-09,Ashley Sanchez,68,90
2022-04-09,Midge Purce,62,90
2022-04-12,Aubrey Kingsbury,0,90
2022-04-12,Emily Fox,0,60
2022-04-12,Naomi Girma,0,90
2022-04-12,Alana Cook,0,60
2022-04-12,Sofia Huerta,0,90
2022-04-12,Ashley Sanchez,0,90
2022-04-12,Andi Sullivan,0,90
2022-04-12,Rose Lavelle,0,46
2022-04-12,Mallory Swanson,0,46
2022-04-12,Catarina Macario,0,68
2022-04-12,Sophia Smith,0,68
2022-04-12,Abby Dahlkemper,60,90
2022-04-12,Ashley Hatch,68,90
2022-04-12,Sam Mewis,46,90
2022-04-12,Trinity Rodman,46,90
2022-04-12,Kelley O'Hara,60,90
2022-04-12,Midge Purce,68,90
2022-06-25,Casey Murphy,0,90
2022-06-25,Kelley O'Hara,0,61
2022-06-25,Alana Cook,0,90
2022-06-25,Becky Sauerbrunn,0,90
2022-06-25,Emily Fox,0,90
2022-06-25,Rose Lavelle,0,73
2022-06-25,Andi Sullivan,0,73
2022-06-25,Lindsey Horan,0,46
2022-06-25,Sophia Smith,0,90
2022-06-25,Ashley Hatch,0,46
2022-06-25,Mallory Swanson,0,77
2022-06-25,Ashley Sanchez,46,90
2022-06-25,Sofia Huerta,61,90
2022-06-25,Alex Morgan,46,90
2022-06-25,Megan Rapinoe,77,90
2022-06-25,Taylor Kornieck,73,90
2022-06-25,Kristie Mewis,73,90
2022-06-28,Alyssa Naeher,0,90
2022-06-28,Carson Pickett,0,90
2022-06-28,Naomi Girma,0,90
2022-06-28,Emily Sonnett,0,90
2022-06-28,Sofia Huerta,0,71
2022-06-28,Ashley Sanchez,0,90
2022-06-28,Lindsey Horan,0,46
2022-06-28,Rose Lavelle,0,62
2022-06-28,Megan Rapinoe,0,62
2022-06-28,Alex Morgan,0,71
2022-06-28,Midge Purce,0,46
2022-06-28,Ashley Hatch,71,90
2022-06-28,Taylor Kornieck,62,90
2022-06-28,Kristie Mewis,46,90
2022-06-28,Trinity Rodman,46,90
2022-06-28,Kelley O'Hara,71,90
2022-06-28,Mallory Swanson,62,90
2022-07-04,Casey Murphy,0,90
2022-07-04,Kelley O'Hara,0,68
2022-07-04,Sofia Huerta,68,90
2022-07-04,Becky Sauerbrunn,0,90
2022-07-04,Alana Cook,0,90
2022-07-04,Emily Fox,0,90
2022-07-04,Andi Sullivan,0,90
2022-07-04,Lindsey Horan,0,68
2022-07-04,Kristie Mewis,68,90
2022-07-04,Rose Lavelle,0,59
2022-07-04,Ashley Sanchez,59,90
2022-07-04,Sophia Smith,0,46
2022-07-04,Midge Purce,46,90
2022-07-04,Alex Morgan,0,90
2022-07-04,Mallory Swanson,0,74
2022-07-04,Megan Rapinoe,74,90
2022-07-07,Alyssa Naeher,0,90
2022-07-07,Sofia Huerta,0,90
2022-07-07,Alana Cook,0,90
2022-07-07,Naomi Girma,0,90
2022-07-07,Emily Fox,0,46
2022-07-07,Emily Sonnett,46,90
2022-07-07,Lindsey Horan,0,60
2022-07-07,Kristie Mewis,60,90
2022-07-07,Rose Lavelle,0,65
2022-07-07,Taylor Kornieck,65,90
2022-07-07,Ashley Sanchez,0,90
2022-07-07,Sophia Smith,0,46
2022-07-07,Midge Purce,46,90
2022-07-07,Ashley Hatch,0,60
2022-07-07,Trinity Rodman,60,90
2022-07-07,Mallory Swanson,0,90
2022-07-11,Casey Murphy,0,90
2022-07-11,Emily Sonnett,0,90
2022-07-11,Becky Sauerbrunn,0,90
2022-07-11,Naomi Girma,0,90
2022-07-11,Kelley O'Hara,0,63
2022-07-11,Lindsey Horan,0,64
2022-07-11,Andi Sullivan,0,64
2022-07-11,Ashley Sanchez,0,90
2022-07-11,Sophia Smith,0,63
2022-07-11,Alex Morgan,0,80
2022-07-11,Midge Purce,0,90
2022-07-11,Sofia Huerta,63,90
2022-07-11,Taylor Kornieck,80,90
2022-07-11,Rose Lavelle,64,90
2022-07-11,Kristie Mewis,64,90
2022-07-11,Megan Rapinoe,63,90
2022-07-14,Casey Murphy,0,90
2022-07-14,Emily Sonnett,0,90
2022-07-14,Becky Sauerbrunn,0,90
2022-07-14,Alana Cook,0,63
2022-07-14,Sofia Huerta,0,90
2022-07-14,Lindsey Horan,0,63
2022-07-14,Andi Sullivan,0,90
2022-07-14,Rose Lavelle,0,81
2022-07-14,Mallory Swanson,0,63
2022-07-14,Alex Morgan,0,90
2022-07-14,Sophia Smith,0,81
2022-07-14,Naomi Girma,63,90
2022-07-14,Kristie Mewis,81,90
2022-07-14,Trinity Rodman,81,90
2022-07-14,Megan Rapinoe,63,90
2022-07-14,Ashley Sanchez,63,90
2022-07-18,Alyssa Naeher,0,90
2022-07-18,Emily Fox,0,90
