,slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,position
0,ol-reign-vs-north-carolina-courage-2021-05-15,2021-05-15,2021,NC,0,0,0,1,90,0,0,LB
1,portland-thorns-fc-vs-ol-reign-2021-05-23,2021-05-23,2021,POR,2,1,0,0,90,0,0,LCB
2,ol-reign-vs-washington-spirit-2021-05-30,2021-05-30,2021,WAS,0,1,0,2,90,0,0,LB
3,nj-ny-gotham-fc-vs-ol-reign-2021-06-05,2021-06-05,2021,NJY,0,1,0,0,90,0,0,LB
4,north-carolina-courage-vs-ol-reign-2021-06-19,2021-06-19,2021,NC,1,2,0,1,64,0,0,LB
5,houston-dash-vs-ol-reign-2021-07-02,2021-07-02,2021,HOU,0,2,0,1,33,0,0,
6,ol-reign-vs-kansas-city-current-2021-07-11,2021-07-11,2021,KCC,2,0,0,2,81,1,0,LB
7,chicago-red-stars-vs-ol-reign-2021-07-18,2021-07-18,2021,CHI,1,3,0,0,90,0,0,LB
8,orlando-pride-vs-ol-reign-2021-07-24,2021-07-24,2021,ORL,2,0,0,0,90,1,0,LB
9,ol-reign-vs-racing-louisville-fc-2021-07-31,2021-07-31,2021,LOU,2,0,0,1,90,0,0,LB
10,ol-reign-vs-houston-dash-2021-08-07,2021-08-07,2021,HOU,5,1,0,1,82,0,0,LB
11,kansas-city-current-vs-ol-reign-2021-08-14,2021-08-14,2021,KCC,0,1,0,3,90,0,0,LB
12,ol-reign-vs-nj-ny-gotham-fc-2021-08-21,2021-08-21,2021,NJY,3,2,0,2,90,0,0,LCB
13,ol-reign-vs-portland-thorns-fc-2021-08-29,2021-08-29,2021,POR,2,1,0,0,90,0,0,LCB
14,houston-dash-vs-ol-reign-2021-09-01,2021-09-01,2021,HOU,1,0,0,0,90,0,0,LCB
15,racing-louisville-fc-vs-ol-reign-2021-09-04,2021-09-04,2021,LOU,1,1,0,0,90,0,0,LCB
16,ol-reign-vs-orlando-pride-2021-09-26,2021-09-26,2021,ORL,3,0,0,0,90,0,0,LCB
17,ol-reign-vs-chicago-red-stars-2021-10-10,2021-10-10,2021,CHI,3,2,0,0,90,0,0,LCB
18,portland-thorns-fc-vs-ol-reign-2021-10-13,2021-10-13,2021,POR,1,1,0,0,90,0,0,LCB
19,ol-reign-vs-washington-spirit-2021-10-16,2021-10-16,2021,WAS,0,2,0,0,90,1,0,LCB
20,kansas-city-current-vs-ol-reign-2021-10-30,2021-10-30,2021,KCC,3,0,0,0,90,0,0,LCB
