date,scorer,assist
2017-04-15T14:00:00,Kealia Ohai Watt,Amber Brooks
2017-04-15T14:00:00,Rachel Daly,Kealia Ohai Watt
2017-04-15T15:00:00,Nadia Nadim,
2017-04-15T15:00:00,Christine Sinclair,Allie Long
2017-04-15T15:00:00,McCall Zerboni,Makenzy Doniak
2017-04-15T22:00:00,Megan Rapinoe,
2017-04-15T22:00:00,Sarah Woldmoe,
2017-04-16T18:00:00,Sydney Leroux,Becky Sauerbrunn
2017-04-16T18:00:00,Amy Rodriguez,Shea Groom
2017-04-22T16:00:00,Julie Ertz,Sofia Huerta
2017-04-22T16:00:00,Line Sigvardsen Jensen,
2017-04-22T16:00:00,Danica Evans,Chioma Ubogagu
2017-04-22T19:30:00,Debinha,Jessica McDonald
2017-04-22T22:00:00,Jessica Fishlock,Christine Nairn
2017-04-22T22:00:00,Megan Rapinoe,Jessica Fishlock
2017-04-22T22:00:00,Kristen McNabb,
2017-04-22T22:00:00,Beverly Yanez,
2017-04-22T22:00:00,Katie Johnson,
2017-04-22T22:00:00,Poliana,
2017-04-23T16:00:00,Natasha Dowie,Rose Lavelle
2017-04-29T16:00:00,Jessica McDonald,
2017-04-29T16:00:00,Camila,Alanna Stephanie Kennedy
2017-04-29T16:00:00,Sam Mewis,
2017-04-29T16:00:00,Lynn Williams,Debinha
2017-04-29T16:00:00,Nadia Nadim,
2017-04-29T19:00:00,Adriana Leon,
2017-04-29T19:00:00,Rose Lavelle,Adriana Leon
2017-04-29T19:00:00,Natasha Dowie,Adriana Leon
2017-04-29T19:00:00,Kealia Ohai Watt,Denise O'Sullivan
2017-04-30T18:00:00,Rocky Rodriguez,Mandy Freeman
2017-05-06T16:00:00,Sarah Hagen (OG),
2017-05-06T16:00:00,Julie Ertz,
2017-05-06T19:00:00,Francisca Ordega,Line Sigvardsen Jensen
2017-05-06T19:00:00,Kelley O'Hara,
2017-05-06T19:00:00,Erin Simon (OG),
2017-05-06T19:00:00,Havana Solaun,Francisca Ordega
2017-05-06T19:00:00,Sarah Woldmoe,Kelley O'Hara
2017-05-06T19:00:00,Francisca Ordega,
2017-05-06T19:00:00,Sarah Woldmoe,
2017-05-06T22:00:00,Jessica Fishlock,
2017-05-06T22:00:00,Jessica Fishlock (OG),
2017-05-06T22:00:00,Merritt Mathias,Rebekah Stott
2017-05-06T22:00:00,Allie Long,Meghan Klingenberg
2017-05-07T18:00:00,Jessica McDonald,
2017-05-07T18:00:00,Marta,Jasmyne Spencer
2017-05-07T18:00:00,Erika Tymrak,
2017-05-13T16:00:00,Christine Nairn,Nahomi Kawasumi
2017-05-13T16:00:00,Beverly Yanez,Nahomi Kawasumi
2017-05-13T16:00:00,Havana Solaun,
2017-05-13T16:00:00,Nahomi Kawasumi,Megan Rapinoe
2017-05-13T16:00:00,Megan Rapinoe,Nahomi Kawasumi
2017-05-13T16:00:00,Megan Rapinoe,Katie Johnson
2017-05-13T16:00:00,Lindsay Elston,Nahomi Kawasumi
2017-05-13T16:00:00,Kristie Mewis,Whitney Church
2017-05-13T16:00:00,Sarah Woldmoe,
2017-05-13T16:00:00,Leah Galton,Sam Kerr
2017-05-13T16:00:00,Poliana,Kealia Ohai Watt
2017-05-13T16:00:00,Sam Kerr,McKenzie Meehan
2017-05-14T17:00:00,Chioma Ubogagu,Ali Krieger
2017-05-14T17:00:00,Camila,Jamia Fields
2017-05-14T17:00:00,Debinha,Lynn Williams
2017-05-14T17:00:00,Jasmyne Spencer,Marta
2017-05-14T18:00:00,Rose Lavelle,
2017-05-14T18:00:00,Christen Press,Sofia Huerta
2017-05-19T19:00:00,Natasha Dowie,Adriana Leon
2017-05-19T19:00:00,Rosie White,Natasha Dowie
2017-05-19T19:00:00,Nadia Nadim,
2017-05-19T19:00:00,Nadia Nadim,Hayley Raso
2017-05-20T16:00:00,Sarah Woldmoe,
2017-05-20T16:00:00,Andressinha,
2017-05-20T16:00:00,Rocky Rodriguez,
2017-05-20T19:00:00,Alexa Newfield,Sydney Leroux
2017-05-21T16:00:00,Christen Press,
2017-05-21T16:00:00,Sofia Huerta,Christen Press
2017-05-21T16:00:00,Vanessa DiBernardo,
2017-05-21T16:00:00,Lynn Williams,Jaelene Daniels
2017-05-21T21:30:00,Beverly Yanez,Rachel Corsie
2017-05-21T21:30:00,Marta,Camila
2017-05-24T19:30:00,Lynn Williams,Taylor Smith
2017-05-24T19:30:00,Sam Mewis,
2017-05-27T16:00:00,Cari Roccaro (OG),
2017-05-27T16:00:00,Katie Johnson,Nahomi Kawasumi
2017-05-27T16:00:00,Danielle Colaprico,Vanessa DiBernardo
2017-05-27T16:00:00,Abby Erceg,Sam Mewis
2017-05-27T16:00:00,Alyssa Mautz,Christen Press
2017-05-27T16:00:00,Vanessa DiBernardo,
2017-05-27T16:00:00,Debinha,
2017-05-27T19:00:00,Jasmyne Spencer,Camila
2017-05-27T19:00:00,Sam Kerr,Daphne Corboz
2017-05-27T19:00:00,Maya Hayes,Sam Kerr
2017-05-27T20:00:00,Kristie Mewis,
2017-05-27T20:00:00,Sydney Leroux,Brittany Ratcliffe
2017-05-27T20:00:00,Sydney Leroux,Shea Groom
2017-05-27T20:00:00,Becky Sauerbrunn,Alexa Newfield
2017-05-27T20:00:00,Havana Solaun,Francisca Ordega
2017-05-27T22:00:00,Julie King (OG),
2017-05-27T22:00:00,Amandine Henry,
2017-06-03T15:30:00,McCall Zerboni,Abby Erceg
2017-06-03T15:30:00,Ashley Hatch,Lynn Williams
2017-06-03T19:00:00,Cheyna Lee Matthews,Havana Solaun
2017-06-03T19:00:00,Mallory Pugh,Kristie Mewis
2017-06-03T19:00:00,Lindsey Horan,Nadia Nadim
2017-06-03T19:00:00,Lindsey Horan,Meghan Klingenberg
2017-06-03T19:30:00,Marta,
2017-06-03T19:30:00,Jasmyne Spencer,Camila
2017-06-04T15:00:00,Christen Press,Sofia Huerta
2017-06-17T16:00:00,Francisca Ordega,Cheyna Lee Matthews
2017-06-17T16:00:00,Christen Press,
2017-06-17T19:30:00,Kristen Hamilton,Sam Mewis
2017-06-17T19:30:00,Kristen Hamilton,McCall Zerboni
2017-06-17T19:30:00,Ashley Hatch,Makenzy Doniak
2017-06-17T19:30:00,Adriana Leon,Natasha Dowie
2017-06-17T20:00:00,Alexa Newfield,Erika Tymrak
2017-06-17T20:00:00,Megan Rapinoe,Nahomi Kawasumi
2017-06-17T20:00:00,Nahomi Kawasumi,Christine Nairn
2017-06-17T20:00:00,Maegan Rosa,Yael Averbuch
2017-06-17T20:30:00,Camila,Marta
2017-06-17T20:30:00,Marta,
2017-06-17T20:30:00,Marta,Jasmyne Spencer
2017-06-17T20:30:00,Alanna Stephanie Kennedy,Marta
2017-06-17T20:30:00,Poliana,Andressinha
2017-06-17T20:30:00,Nichelle Prince,Andressinha
2017-06-17T22:00:00,Rocky Rodriguez,Sam Kerr
2017-06-17T22:00:00,Sam Kerr,Maya Hayes
2017-06-17T22:00:00,Sam Kerr,Madison Tiernan
2017-06-17T22:00:00,Christine Sinclair,
2017-06-24T15:30:00,Carli Lloyd,Poliana
2017-06-24T15:30:00,Rachel Daly,Poliana
2017-06-24T16:00:00,Ashley Hatch,Sam Mewis
2017-06-24T19:00:00,Francisca Ordega,
2017-06-24T22:00:00,Brittany Ratcliffe,Alexa Newfield
2017-06-24T22:00:00,Nahomi Kawasumi,
2017-06-25T18:00:00,Madison Tiernan,Taylor Lytle
2017-06-25T18:00:00,Vanessa DiBernardo,
2017-06-25T18:00:00,Sofia Huerta,Casey Krueger
2017-06-28T19:00:00,Chioma Ubogagu,
2017-06-28T19:00:00,Kelley O'Hara,
2017-06-28T19:00:00,Sam Kerr,Maya Hayes
2017-06-28T19:00:00,Marta,
2017-06-28T19:00:00,Rachel Hill,Steph Catley
2017-06-28T22:00:00,Christine Sinclair,
2017-06-28T22:00:00,Hayley Raso,Lindsey Horan
