date,scorer,assist
2020-06-27T12:30:00,Debinha,Hailie Mace
2020-06-27T12:30:00,Simone Charley,
2020-06-27T12:30:00,Lynn Williams,Sam Mewis
2020-06-27T22:00:00,Rose Lavelle,
2020-06-27T22:00:00,Ashley Hatch,
2020-06-27T22:00:00,Morgan Gautrat,
2020-06-30T12:30:00,Diana Matheson,Amy Rodriguez
2020-06-30T12:30:00,Rachel Daly,Veronica Latsko
2020-06-30T12:30:00,Rachel Daly,Kristie Mewis
2020-06-30T12:30:00,Shea Groom,Katie Stengel
2020-06-30T12:30:00,Verónica Boquete,
2020-06-30T12:30:00,Tziarra King,Verónica Boquete
2020-07-01T22:00:00,Lynn Williams,
2020-07-01T22:00:00,Lynn Williams,Debinha
2020-07-04T12:30:00,Amy Rodriguez,Verónica Boquete
2020-07-04T22:00:00,Kristie Mewis,Shea Groom
2020-07-04T22:00:00,Shea Groom,Rachel Daly
2020-07-05T12:30:00,Abby Erceg,Jaelene Daniels
2020-07-05T22:00:00,Lindsey Horan,Meghan Klingenberg
2020-07-05T22:00:00,Sam Staab,Ashley Sanchez
2020-07-08T12:30:00,Bethany Balcer,Nicole Momiki
2020-07-08T22:00:00,Paige Monaghan,Ifeoma Onumonu
2020-07-08T22:00:00,Nahomi Kawasumi,
2020-07-12T12:30:00,Bayley Feist,Ashley Hatch
2020-07-12T22:00:00,Casey Krueger,Savannah McCaskill
2020-07-13T22:00:00,Sam Mewis,
2020-07-13T22:00:00,Crystal Dunn,Lynn Williams
2020-07-17T12:30:00,Morgan Weaver,Rocky Rodriguez
2020-07-22T12:30:00,Rachel Daly,
2020-07-22T22:00:00,Bianca St-Georges,Savannah McCaskill
2020-07-22T22:00:00,Rachel Hill,
2020-07-22T22:00:00,Savannah McCaskill,Bianca St-Georges
2020-07-22T22:00:00,Évelyne Viens,McCall Zerboni
2020-07-22T22:00:00,Julie Ertz (OG),
2020-07-26T12:30:00,Sophie Schmidt,
2020-07-26T12:30:00,Shea Groom,Rachel Daly
