CHI,Abby Boyan
CHI,Addie McCain
CHI,Ally Schlegel
CHI,Alyssa Naeher
CHI,Amanda Kowalski
CHI,Arin Wright
CHI,Ava Cook
CHI,Bayleigh Chaviers
CHI,Bianca St-Georges
CHI,Brenna Lovera
CHI,Brenna Ochoa
CHI,Cari  Roccaro
CHI,Carlee Giammona
CHI,Casey Krueger
CHI,Chelsie Dawber
CHI,Ella Stevens
CHI,Emily Boyd
CHI,Jenna Bike
CHI,Jill Aguilera
CHI,Julia Bianchi
CHI,Kayla Sharples
CHI,Mallory Swanson
CHI,Meagan McClelland
CHI,Meg Brandt
CHI,Meghan Cavanaugh
CHI,Morgan Messner
CHI,Penelope Hocking
CHI,Samantha Fisher
CHI,Sami Feller
CHI,Sarah Griffith
CHI,Sophie Jones
CHI,Tatumn Milazzo
CHI,Tierna  Davidson
CHI,Yuki Nagasato
HOU,Jane Campbell
HOU,Allysha Chapman
HOU,Caprice Dydasco
HOU,María Sánchez
HOU,Nichelle Prince
HOU,Shea Groom
HOU,Ebony Salmon
HOU,Julia Ashley
HOU,Sophie  Schmidt
HOU,Marisa Viggiano
HOU,Kelcie Hedge
HOU,Emily Curran
HOU,Elizabeth Eddy
HOU,Ryan Gareis
HOU,Michelle Alozie
HOU,Ally  Prisock
HOU,Paulina Gramaglia
HOU,Katie Lind
HOU,Makamae Gomera-Stevens
HOU,Annika Creel
HOU,Joelle Anderson
HOU,Natalie Jacobs
HOU,Ella Dederick
HOU,Michaela Abam
HOU,Devon Kerr
HOU,Diana  Ordóñez
HOU,Havana Solaun
HOU,Courtney Petersen
HOU,Grace Barbara
HOU,Hope Breslin
HOU,Chai Cortez
HOU,Hailey Davidson
HOU,Madelyn Desiano
HOU,Wasila Diwura-Soala
HOU,Brionna Halverson
HOU,Jylissa Harris
HOU,Sophie Hirst
HOU,Lindsi Jennings
HOU,Savannah Madden
HOU,Libby Moore
HOU,Danielle Murguia
HOU,Cameron Tucker
KC,Morgan Gautrat
KC,Hailie Mace
KC,Cece Kizer
KC,Elizabeth Ball
KC,Kate Del Fava
KC,Mimmi Larsson
KC,Lo’eau LaBonta
KC,Desiree Scott
KC,Chardonnay Curran
KC,Sam Mewis
KC,Vanessa  DiBernardo
KC,Izzy Rodriguez
KC,Jenna Winebrenner
KC,Mallory Weber
KC,Adrianna Franch
KC,Alex Loera
