Unnamed: 0,slug,date,season,opponent,goals_for,goals_against,goals,assists,minutes,yellow_cards,red_cards,position
9,seatle-reign-fc-vs-houston-dash-2018-07-07,2018-07-07,2018,HOU,3,1,0,0,90,0,0,LCB
10,seatle-reign-fc-vs-utah-royals-fc-2018-07-11,2018-07-11,2018,UTA,1,0,0,0,90,0,0,LCB
11,chicago-red-stars-vs-seatle-reign-fc-2018-07-14,2018-07-14,2018,CHI,0,1,0,0,90,0,0,LCB
12,orlando-pride-vs-seatle-reign-fc-2018-07-21,2018-07-21,2018,ORL,1,1,0,0,90,1,0,LCB
13,seatle-reign-fc-vs-washington-spirit-2018-08-05,2018-08-05,2018,WAS,2,0,0,0,90,0,0,LCB
14,utah-royals-fc-vs-seatle-reign-fc-2018-08-11,2018-08-11,2018,UTA,1,0,0,0,90,0,0,LCB
15,seatle-reign-fc-vs-chicago-red-stars-2018-08-15,2018-08-15,2018,CHI,0,0,0,0,90,0,0,LCB
16,seatle-reign-fc-vs-houston-dash-2018-08-21,2018-08-21,2018,HOU,2,0,0,0,90,0,0,LCB
17,seatle-reign-fc-vs-north-carolina-courage-2018-08-25,2018-08-25,2018,NC,1,1,0,0,90,0,0,LCB
18,portland-thorns-fc-vs-seatle-reign-fc-2018-09-07,2018-09-07,2018,POR,1,3,0,0,90,0,0,LCB
0,houston-dash-vs-reign-fc-2019-04-14,2019-04-14,2019,HOU,1,1,0,0,90,0,0,LCB
1,reign-fc-vs-orlando-pride-2019-04-21,2019-04-21,2019,ORL,1,1,0,2,90,0,0,LCB
2,chicago-red-stars-vs-reign-fc-2019-04-28,2019-04-28,2019,CHI,0,3,0,0,90,0,0,LCB
3,washington-spirit-vs-reign-fc-2019-05-04,2019-05-04,2019,WAS,0,0,0,3,90,1,0,LCB
4,reign-fc-vs-sky-blue-fc-2019-05-18,2019-05-18,2019,NJY,2,1,0,0,90,0,0,LCB
5,reign-fc-vs-north-carolina-courage-2019-05-27,2019-05-27,2019,NC,2,1,0,0,90,0,0,LCB
6,reign-fc-vs-houston-dash-2019-06-02,2019-06-02,2019,HOU,1,1,0,0,90,0,0,LCB
7,reign-fc-vs-washington-spirit-2019-06-15,2019-06-15,2019,WAS,1,1,0,0,90,0,0,LCB
8,chicago-red-stars-vs-reign-fc-2019-06-23,2019-06-23,2019,CHI,1,0,0,0,90,1,0,LCB
9,utah-royals-fc-vs-reign-fc-2019-06-28,2019-06-28,2019,UTA,2,0,0,0,90,0,0,LCB
10,portland-thorns-fc-vs-reign-fc-2019-07-05,2019-07-05,2019,POR,1,0,0,0,90,1,0,LCB
11,north-carolina-courage-vs-reign-fc-2019-07-13,2019-07-13,2019,NC,0,2,0,0,90,0,0,LCB
12,reign-fc-vs-chicago-red-stars-2019-07-28,2019-07-28,2019,CHI,0,4,0,1,90,1,0,LCB
13,houston-dash-vs-reign-fc-2019-08-02,2019-08-02,2019,HOU,1,0,0,0,90,0,0,LCB
14,reign-fc-vs-portland-thorns-fc-2019-08-07,2019-08-07,2019,POR,1,0,0,1,90,0,0,LCB
15,reign-fc-vs-utah-royals-fc-2019-08-11,2019-08-11,2019,UTA,1,3,0,1,90,0,0,LCB
16,sky-blue-fc-vs-reign-fc-2019-08-18,2019-08-18,2019,NJY,1,1,0,1,90,0,0,LCB
17,north-carolina-courage-vs-reign-fc-2019-08-24,2019-08-24,2019,NC,0,1,0,0,90,0,0,LCB
18,reign-fc-vs-orlando-pride-2019-09-07,2019-09-07,2019,ORL,3,1,0,0,90,1,0,LCB
19,reign-fc-vs-sky-blue-fc-2019-09-21,2019-09-21,2019,NJY,0,1,0,0,90,0,0,LCB
20,reign-fc-vs-utah-royals-fc-2019-09-25,2019-09-25,2019,UTA,2,1,0,0,90,0,0,LCB
21,reign-fc-vs-portland-thorns-fc-2019-09-29,2019-09-29,2019,POR,2,0,0,0,90,0,0,LCB
22,orlando-pride-vs-reign-fc-2019-10-12,2019-10-12,2019,ORL,2,2,0,0,90,0,0,LCB
0,ol-reign-vs-north-carolina-courage-2021-05-15,2021-05-15,2021,NC,0,0,0,1,90,0,0,LB
1,portland-thorns-fc-vs-ol-reign-2021-05-23,2021-05-23,2021,POR,2,1,0,0,90,0,0,LCB
2,ol-reign-vs-washington-spirit-2021-05-30,2021-05-30,2021,WAS,0,1,0,2,90,0,0,LB
3,nj-ny-gotham-fc-vs-ol-reign-2021-06-05,2021-06-05,2021,NJY,0,1,0,0,90,0,0,LB
4,north-carolina-courage-vs-ol-reign-2021-06-19,2021-06-19,2021,NC,1,2,0,1,64,0,0,LB
5,houston-dash-vs-ol-reign-2021-07-02,2021-07-02,2021,HOU,0,2,0,1,33,0,0,
6,ol-reign-vs-kansas-city-current-2021-07-11,2021-07-11,2021,KCC,2,0,0,2,81,1,0,LB
7,chicago-red-stars-vs-ol-reign-2021-07-18,2021-07-18,2021,CHI,1,3,0,0,90,0,0,LB
8,orlando-pride-vs-ol-reign-2021-07-24,2021-07-24,2021,ORL,2,0,0,0,90,1,0,LB
9,ol-reign-vs-racing-louisville-fc-2021-07-31,2021-07-31,2021,LOU,2,0,0,1,90,0,0,LB
10,ol-reign-vs-houston-dash-2021-08-07,2021-08-07,2021,HOU,5,1,0,1,82,0,0,LB
11,kansas-city-current-vs-ol-reign-2021-08-14,2021-08-14,2021,KCC,0,1,0,3,90,0,0,LB
12,ol-reign-vs-nj-ny-gotham-fc-2021-08-21,2021-08-21,2021,NJY,3,2,0,2,90,0,0,LCB
13,ol-reign-vs-portland-thorns-fc-2021-08-29,2021-08-29,2021,POR,2,1,0,0,90,0,0,LCB
14,houston-dash-vs-ol-reign-2021-09-01,2021-09-01,2021,HOU,1,0,0,0,90,0,0,LCB
15,racing-louisville-fc-vs-ol-reign-2021-09-04,2021-09-04,2021,LOU,1,1,0,0,90,0,0,LCB
16,ol-reign-vs-orlando-pride-2021-09-26,2021-09-26,2021,ORL,3,0,0,0,90,0,0,LCB
17,ol-reign-vs-chicago-red-stars-2021-10-10,2021-10-10,2021,CHI,3,2,0,0,90,0,0,LCB
18,portland-thorns-fc-vs-ol-reign-2021-10-13,2021-10-13,2021,POR,1,1,0,0,90,0,0,LCB
19,ol-reign-vs-washington-spirit-2021-10-16,2021-10-16,2021,WAS,0,2,0,0,90,1,0,LCB
20,kansas-city-current-vs-ol-reign-2021-10-30,2021-10-30,2021,KCC,3,0,0,0,90,0,0,LCB
0,ol-reign-vs-racing-louisville-fc-2022-05-08,2022-05-08,2022,LOU,2,2,0,2,90,0,0,LB
1,portland-thorns-fc-vs-ol-reign-2022-05-13,2022-05-13,2022,POR,0,0,0,2,90,0,0,LB
2,ol-reign-vs-washington-spirit-2022-05-22,2022-05-22,2022,WAS,0,0,0,3,90,0,0,LB
