,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25
Angel City FC,3,3,3,2,13,11,15,9,9,12,30,47,36,14,10,24,77,54,35,33,33,42,30,21,10,39,16,34,18,23,31,32,31,13,25,28,21,26,23,11,6,10,3,6,3,3,3,4,3,6,5,0
Chicago Red Stars,3,2,3,4,2,5,5,5,8,8,8,16,15,9,8,11,14,18,6,10,16,24,11,16,9,10,8,13,11,16,18,17,16,10,8,14,11,12,15,20,10,31,6,4,4,0,1,8,5,8,12,14
Houston Dash,7,2,8,5,10,3,1,9,12,4,6,21,14,11,13,12,24,20,16,15,11,26,23,24,14,18,11,11,18,9,12,30,23,13,20,11,20,16,22,12,20,40,10,5,7,8,3,4,4,6,7,6
Kansas City Current,19,11,25,47,41,13,18,11,14,16,12,13,15,12,12,12,18,15,16,13,12,13,13,14,13,10,8,13,16,12,15,7,17,14,15,8,20,15,14,14,17,19,43,29,13,11,11,13,10,12,28,9
North Carolina Courage,0,2,0,0,0,4,0,0,0,0,0,7,3,2,5,5,8,9,5,5,5,5,6,3,6,3,0,7,0,9,7,2,6,7,5,5,3,6,11,3,2,2,2,4,0,3,0,1,0,0,0,0
NJ/NY Gotham FC,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,3,0,1,0,1,0,0,2,2,4,0,0,0,1,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OL Reign,0,2,3,4,3,8,5,4,10,11,31,18,11,14,22,28,25,36,32,11,29,37,17,40,33,35,24,29,25,17,54,33,44,33,12,27,16,25,27,40,11,36,92,9,3,5,4,2,6,5,3,5
Orlando Pride,3,5,9,4,8,7,7,10,7,8,19,22,24,18,16,21,14,22,21,19,28,40,39,37,35,22,26,10,11,6,19,17,18,16,7,15,9,15,15,19,82,19,3,3,5,5,3,4,4,4,3,8
Portland Thorns,2,5,3,6,5,4,6,6,11,20,19,14,30,21,11,22,36,14,21,33,11,27,18,20,27,24,11,25,30,26,34,30,47,30,21,18,10,35,33,39,23,16,91,100,8,8,7,56,32,5,4,9
Racing Louisville FC,0,3,2,3,3,1,0,2,1,3,8,7,6,4,5,4,5,2,5,8,3,4,6,8,0,3,9,7,3,5,8,6,6,12,2,3,4,2,3,6,1,3,1,0,0,0,0,1,2,0,0,0
San Diego Wave FC,4,0,0,2,3,2,7,5,4,4,8,19,23,10,10,8,8,11,19,13,8,7,12,9,16,5,6,11,7,7,4,12,6,5,7,6,8,15,7,5,7,15,8,1,0,0,3,2,3,1,2,0
Washington Spirit,15,14,18,15,19,30,18,17,20,20,27,35,36,35,26,42,37,79,43,53,39,40,43,40,31,30,31,38,40,42,31,39,20,28,33,49,44,37,36,26,20,26,29,17,16,17,14,22,17,16,16,16
