Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lori Chalupny\Lori-Chalupny,MF,23,6,6,540,6.0,2,1,2,0,0,2,0,0.33,0.17,0.50,0.33,0.50,Matches
Cat Whitehill\Cat-Whitehill,DF,25,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abby Wambach\Abby-Wambach,FW,27,6,6,536,6.0,6,0,5,1,1,1,0,1.01,0.00,1.01,0.84,0.84,Matches
Kristine Lilly\Kristine-Lilly,FWMF,35,6,6,533,5.9,1,1,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
Stephanie Cox\Stephanie-Cox,DF,21,6,6,496,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Christie Pearce\Christie-Pearce,DF,31,6,6,483,5.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Heather O'Reilly\Heather-OReilly,FWMF,22,6,5,443,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
Kate Markgraf\Kate-Markgraf,DF,30,5,5,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Leslie Osborne\Leslie-Osborne,MF,24,5,4,386,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hope Solo\Hope-Solo,GK,25,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Shannon Boxx\Shannon-Boxx,MF,29,5,4,351,3.9,1,1,1,0,0,0,2,0.26,0.26,0.51,0.26,0.51,Matches
Carli Lloyd\Carli-Lloyd,FWMF,24,5,3,252,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Briana Scurry\Briana-Scurry,GK,35,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marian Dougherty\Marian-Dougherty,DF,22,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lindsay Tarpley\Lindsay-Tarpley,FWMF,23,3,1,104,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aly Wagner\Aly-Wagner,MF,26,1,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tina Ellertson\Tina-Ellertson,DF,25,3,0,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Natasha Kai\Natasha-Kai,FW,24,3,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicole Barnhart\Nicole-Barnhart,GK,25,0,0,,,,,,,,,,,,,,,Matches
Angela Hucles\Angela-Hucles,MF,28,0,0,,,,,,,,,,,,,,,Matches
Marci Jobson\Marci-Jobson,MF,31,0,0,,,,,,,,,,,,,,,Matches
