Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Julie Ertz\Julie-Ertz,DF,23,7,7,630,7.0,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
Meghan Klingenberg\Meghan-Klingenberg,DF,26,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Carli Lloyd\Carli-Lloyd,MFFW,32,7,7,630,7.0,6,1,4,2,2,0,0,0.86,0.14,1.00,0.57,0.71,Matches
Becky Sauerbrunn\Becky-Sauerbrunn,DF,30,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Hope Solo\Hope-Solo,GK,33,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Krieger\Ali-Krieger,DF,30,7,7,621,6.9,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
Lauren Holiday\Lauren-Holiday,MF,27,6,6,540,6.0,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,Matches
Megan Rapinoe\Megan-Rapinoe,MF,29,6,6,467,5.2,2,2,2,0,0,2,0,0.39,0.39,0.77,0.39,0.77,Matches
Tobin Heath\Tobin-Heath,MF,27,6,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
Alex Morgan\Alex-Morgan,FW,25,7,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches
Morgan Gautrat\Morgan-Gautrat,MF,22,6,4,352,3.9,0,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches
Abby Wambach\Abby-Wambach,FW,35,7,3,297,3.3,1,0,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches
Sydney Leroux\Sydney-Leroux,FW,25,4,2,182,2.0,0,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches
Christen Press\Christen-Press,MFFW,26,4,2,179,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches
Amy Rodriguez\Amy-Rodriguez,FW,28,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kelley O'Hara\Kelley-OHara,MF,26,3,1,105,1.2,1,0,1,0,0,0,0,0.86,0.00,0.86,0.86,0.86,Matches
Shannon Boxx\Shannon-Boxx,MF,37,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Christie Pearce\Christie-Pearce,DF,39,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lori Chalupny\Lori-Chalupny,MF,31,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Heather O'Reilly\Heather-OReilly,FWMF,30,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Whitney Engen\Whitney-Engen,DF,27,0,0,,,,,,,,,,,,,,,Matches
Ashlyn Harris\Ashlyn-Harris,GK,29,0,0,,,,,,,,,,,,,,,Matches
Alyssa Naeher\Alyssa-Naeher,GK,27,0,0,,,,,,,,,,,,,,,Matches
