Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joy Fawcett\Joy-Fawcett,DF,35,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Briana Scurry\Briana-Scurry,GK,31,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kate Markgraf\Kate-Markgraf,DF,26,6,6,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kristine Lilly\Kristine-Lilly,FWMF,31,6,6,496,5.5,2,0,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches
Cat Whitehill\Cat-Whitehill,DF,21,6,5,494,5.5,2,0,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches
Julie Foudy\Julie-Foudy,MF,32,6,5,473,5.3,1,2,1,0,0,0,0,0.19,0.38,0.57,0.19,0.57,Matches
Mia Hamm\Mia-Hamm,FWMF,31,5,5,450,5.0,2,1,2,0,0,0,0,0.40,0.20,0.60,0.40,0.60,Matches
Shannon Boxx\Shannon-Boxx,MF,25,5,5,431,4.8,2,0,2,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches
Abby Wambach\Abby-Wambach,FW,23,6,5,426,4.7,3,0,3,0,0,1,0,0.63,0.00,0.63,0.63,0.63,Matches
Cindy Parlow Cone\Cindy-Parlow-Cone,FWMF,25,5,5,294,3.3,2,1,2,0,0,0,0,0.61,0.31,0.92,0.61,0.92,Matches
Christie Pearce\Christie-Pearce,DF,27,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kylie Bivens\Kylie-Bivens,DF,24,5,3,271,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aly Wagner\Aly-Wagner,MF,22,4,2,194,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Tiffeny Milbrett\Tiffeny-Milbrett,FW,30,6,1,242,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches
Tiffany Roberts\Tiffany-Roberts,DFMF,26,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Brandi Chastain\Brandi-Chastain,DFFW,34,1,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Shannon MacMillan\Shannon-MacMillan,FWMF,28,2,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Danielle Slaton\Danielle-Slaton,DF,23,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Angela Hucles\Angela-Hucles,MF,24,0,0,,,,,,,,,,,,,,,Matches
Siri Mullinix\Siri-Mullinix,GK,25,0,0,,,,,,,,,,,,,,,Matches
