Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Crystal Dunn\Crystal-Dunn,DF,29,5,5,462,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alyssa Naeher\Alyssa-Naeher,GK,33,5,5,419,4.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Julie Ertz\Julie-Ertz,MF,29,5,4,435,4.8,0,2,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches
Lindsey Horan\Lindsey-Horan,MF,27,5,4,409,4.5,1,0,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
Becky Sauerbrunn\Becky-Sauerbrunn,DF,36,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rose Lavelle\Rose-Lavelle,MF,26,5,4,386,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches
Kelley O'Hara\Kelley-OHara,DF,32,4,4,380,4.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobin Heath\Tobin-Heath,FW,33,5,4,301,3.3,0,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches
Abby Dahlkemper\Abby-Dahlkemper,DF,28,3,3,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tierna Davidson\Tierna-Davidson,DF,22,4,3,281,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alex Morgan\Alex-Morgan,FW,32,5,3,257,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
Sam Mewis\Sam-Mewis,MF,28,5,3,199,2.2,1,1,1,0,0,0,0,0.45,0.45,0.90,0.45,0.90,Matches
Christen Press\Christen-Press,MFFW,32,5,2,280,3.1,1,1,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches
Megan Rapinoe\Megan-Rapinoe,MFFW,36,5,2,246,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Carli Lloyd\Carli-Lloyd,FW,39,5,2,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lynn Williams\Lynn-Williams,FW,28,3,2,133,1.5,1,1,1,0,0,0,0,0.68,0.68,1.35,0.68,1.35,Matches
Emily Sonnett\Emily-Sonnett,DF,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Adrianna Franch\Adrianna-Franch,GK,30,1,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kristie Mewis\Kristie-Mewis,DFMF,30,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Casey Krueger\Casey-Krueger,DF,30,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Catarina Macario\Catarina-Macario,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jane Campbell\Jane-Campbell,GK,26,0,0,,,,,,,,,,,,,,,Matches
