Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lorrie Fair\Lorrie-Fair,MF,21,5,5,462,5.1,0,,0,0,,1,0,0.00,,,0.00,,Matches
Joy Fawcett\Joy-Fawcett,DF,31,5,5,462,5.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Julie Foudy\Julie-Foudy,MF,29,5,5,462,5.1,1,,1,0,,0,0,0.19,,,0.19,,Matches
Kate Markgraf\Kate-Markgraf,DF,23,5,5,462,5.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Tiffeny Milbrett\Tiffeny-Milbrett,FW,27,5,5,462,5.1,3,,3,0,,1,0,0.58,,,0.58,,Matches
Siri Mullinix\Siri-Mullinix,GK,21,5,5,462,5.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Christie Pearce\Christie-Pearce,DF,24,5,5,462,5.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Brandi Chastain\Brandi-Chastain,DFFW,31,5,5,433,4.8,1,,1,0,,0,0,0.21,,,0.21,,Matches
Mia Hamm\Mia-Hamm,FWMF,27,5,5,420,4.7,2,,2,0,,1,0,0.43,,,0.43,,Matches
Kristine Lilly\Kristine-Lilly,FWMF,28,5,5,416,4.6,1,,1,0,,1,0,0.22,,,0.22,,Matches
Shannon MacMillan\Shannon-MacMillan,FWMF,25,5,5,405,4.5,1,,1,0,,0,0,0.22,,,0.22,,Matches
Cindy Parlow Cone\Cindy-Parlow-Cone,FWMF,21,5,0,117,1.3,0,,0,0,,1,0,0.00,,,0.00,,Matches
Nikki Serlenga\Nikki-Serlenga,MF,21,2,0,57,0.6,0,,0,0,,1,0,0.00,,,0.00,,Matches
Briana Scurry\Briana-Scurry,GK,29,0,0,,,,,,,,,,,,,,,Matches
Carla Overbeck\Carla-Overbeck,DF,32,0,0,,,,,,,,,,,,,,,Matches
Sara Whalen\Sara-Whalen,MF,24,0,0,,,,,,,,,,,,,,,Matches
Michelle French\Michelle-French,DF,23,0,0,,,,,,,,,,,,,,,Matches
Kate Sobrero\Kate-Sobrero,DF,24,0,0,,,,,,,,,,,,,,,Matches
Danielle Slaton\Danielle-Slaton,DF,20,0,0,,,,,,,,,,,,,,,Matches
