Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Kelley O'Hara\Kelley-OHara,DFFW,23,6,6,570,6.3,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Christie Pearce\Christie-Pearce,DF,36,6,6,570,6.3,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Hope Solo\Hope-Solo,GK,30,6,6,570,6.3,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Abby Wambach\Abby-Wambach,FW,31,6,6,557,6.2,5,,4,1,1,2,0,0.81,,,0.65,,Matches
Alex Morgan\Alex-Morgan,FW,22,6,6,543,6.0,3,,3,0,0,0,0,0.50,,,0.50,,Matches
Rachel Van Hollebeke\Rachel-Van-Hollebeke,DF,26,6,6,532,5.9,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Megan Rapinoe\Megan-Rapinoe,FWMF,26,6,6,454,5.0,3,,3,0,0,0,0,0.59,,,0.59,,Matches
Carli Lloyd\Carli-Lloyd,FWMF,29,6,5,554,6.2,4,,4,0,0,1,0,0.65,,,0.65,,Matches
Lauren Holiday\Lauren-Holiday,FWMF,24,6,5,486,5.4,0,,0,0,0,1,0,0.00,,,0.00,,Matches
Amy LePeilbet\Amy-LePeilbet,DF,29,5,5,435,4.8,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Tobin Heath\Tobin-Heath,FWMF,23,6,4,459,5.1,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Heather O'Reilly\Heather-OReilly,FWMF,27,4,2,196,2.2,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Shannon Boxx\Shannon-Boxx,MF,34,2,2,106,1.2,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Heather Mitts\Heather-Mitts,DFMF,33,1,1,90,1.0,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Sydney Leroux\Sydney-Leroux,FW,21,4,0,75,0.8,1,,1,0,0,0,0,1.20,,,1.20,,Matches
Becky Sauerbrunn\Becky-Sauerbrunn,DF,26,3,0,38,0.4,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Amy Rodriguez\Amy-Rodriguez,FWMF,24,4,0,35,0.4,0,,0,0,0,0,0,0.00,,,0.00,,Matches
Nicole Barnhart\Nicole-Barnhart,GK,30,0,0,,,,,,,,,,,,,,,Matches
