Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Joy Fawcett\Joy-Fawcett,DF,35,6,6,600,6.7,0,,0,0,,0,0,0.00,,,0.00,,Matches
Kate Markgraf\Kate-Markgraf,DF,27,6,6,600,6.7,0,,0,0,,1,0,0.00,,,0.00,,Matches
Briana Scurry\Briana-Scurry,GK,32,6,6,600,6.7,0,,0,0,,1,0,0.00,,,0.00,,Matches
Kristine Lilly\Kristine-Lilly,FWMF,32,6,6,578,6.4,3,,3,0,,1,0,0.47,,,0.47,,Matches
Shannon Boxx\Shannon-Boxx,MF,26,6,6,576,6.4,1,,1,0,,0,0,0.16,,,0.16,,Matches
Mia Hamm\Mia-Hamm,FWMF,31,6,6,576,6.4,2,,1,1,,1,0,0.31,,,0.16,,Matches
Julie Foudy\Julie-Foudy,MF,33,6,6,524,5.8,0,,0,0,,1,0,0.00,,,0.00,,Matches
Lindsay Tarpley\Lindsay-Tarpley,FWMF,20,9,6,341,3.8,1,,1,0,,0,0,0.26,,,0.26,,Matches
Christie Pearce\Christie-Pearce,DF,28,5,5,510,5.7,0,,0,0,,1,0,0.00,,,0.00,,Matches
Abby Wambach\Abby-Wambach,FW,23,5,5,498,5.5,4,,4,0,,2,0,0.72,,,0.72,,Matches
Cat Whitehill\Cat-Whitehill,DF,21,7,5,390,4.3,0,,0,0,,0,0,0.00,,,0.00,,Matches
Aly Wagner\Aly-Wagner,MF,23,5,4,246,2.7,0,,0,0,,1,0,0.00,,,0.00,,Matches
Heather O'Reilly\Heather-OReilly,FWMF,19,8,4,122,1.4,1,,1,0,,0,0,0.74,,,0.74,,Matches
Brandi Chastain\Brandi-Chastain,DFFW,35,3,3,200,2.2,0,,0,0,,0,0,0.00,,,0.00,,Matches
Cindy Parlow Cone\Cindy-Parlow-Cone,FWMF,25,3,2,102,1.1,0,,0,0,,1,0,0.00,,,0.00,,Matches
Heather Mitts\Heather-Mitts,DFMF,25,3,2,100,1.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Angela Hucles\Angela-Hucles,MF,25,4,2,37,0.4,0,,0,0,,0,0,0.00,,,0.00,,Matches
Kristin Luckenbill\Kristin-Luckenbill,GK,25,0,0,,,,,,,,,,,,,,,Matches
