Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Shannon Boxx\Shannon-Boxx,MF,30,6,6,600,6.7,0,,0,0,,0,0,0.00,,,0.00,,Matches
Angela Hucles\Angela-Hucles,MF,29,6,6,600,6.7,4,,4,0,,0,0,0.60,,,0.60,,Matches
Carli Lloyd\Carli-Lloyd,FWMF,25,6,6,600,6.7,2,,2,0,,0,0,0.30,,,0.30,,Matches
Christie Pearce\Christie-Pearce,DF,32,6,6,600,6.7,0,,0,0,,0,0,0.00,,,0.00,,Matches
Hope Solo\Hope-Solo,GK,26,6,6,600,6.7,0,,0,0,,0,0,0.00,,,0.00,,Matches
Heather Mitts\Heather-Mitts,DFMF,29,6,6,566,6.3,0,,0,0,,2,0,0.00,,,0.00,,Matches
Heather O'Reilly\Heather-OReilly,FWMF,23,6,6,534,5.9,2,,2,0,,1,0,0.34,,,0.34,,Matches
Lindsay Tarpley\Lindsay-Tarpley,FWMF,24,6,6,424,4.7,1,,1,0,,0,0,0.21,,,0.21,,Matches
Kate Markgraf\Kate-Markgraf,DF,31,5,5,510,5.7,0,,0,0,,0,0,0.00,,,0.00,,Matches
Amy Rodriguez\Amy-Rodriguez,FWMF,20,6,5,495,5.5,1,,1,0,,0,0,0.18,,,0.18,,Matches
Lori Chalupny\Lori-Chalupny,MF,24,5,5,434,4.8,1,,1,0,,0,0,0.21,,,0.21,,Matches
Natasha Kai\Natasha-Kai,FW,24,6,1,204,2.3,1,,1,0,,1,0,0.44,,,0.44,,Matches
Stephanie Cox\Stephanie-Cox,DF,21,5,1,180,2.0,0,,0,0,,0,0,0.00,,,0.00,,Matches
Rachel Van Hollebeke\Rachel-Van-Hollebeke,DF,22,2,1,98,1.1,0,,0,0,,0,0,0.00,,,0.00,,Matches
Tobin Heath\Tobin-Heath,FWMF,19,3,0,70,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matches
Lauren Holiday\Lauren-Holiday,FWMF,20,3,0,70,0.8,0,,0,0,,1,0,0.00,,,0.00,,Matches
Aly Wagner\Aly-Wagner,MF,27,1,0,15,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches
Nicole Barnhart\Nicole-Barnhart,GK,26,0,0,,,,,,,,,,,,,,,Matches
