Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2021-07-03,19:30 (16:30),Racing Louisville,0–2,Portland,6822,Lynn Family Stadium,Karen Callado,Match Report,
Sun,2021-07-04,18:00 (15:00),Orlando,0–2,North Carolina,3926,Exploria Stadium,Karen Abt,Match Report,
Fri,2021-07-09,19:00 (16:00),Orlando,1–1,Racing Louisville,3606,Exploria Stadium,Natalie Simon,Match Report,
Sat,2021-07-10,19:00 (16:00),Washington,2–0,North Carolina,4929,Audi Field,Matthew Franz,Match Report,
Sun,2021-07-11,12:00,Portland,0–0,Gotham FC,14731,Providence Park,Tori Penso,Match Report,
Sun,2021-07-11,17:00 (15:00),Chicago,2–1,Houston,2520,SeatGeek Stadium,Samantha Martinez,Match Report,
Sun,2021-07-11,16:00,Reign,2–0,Kansas City,3124,Cheney Stadium,Karen Abt,Match Report,
Sat,2021-07-17,19:00 (16:00),North Carolina,1–2,Houston,5229,WakeMed Soccer Park,Alex Billeter,Match Report,
Sun,2021-07-18,17:00 (14:00),Washington,2–3,Gotham FC,,Segra Field,Karen Callado,Match Report,
Sun,2021-07-18,17:00 (15:00),Chicago,3–1,Reign,3301,SeatGeek Stadium,Katja Koroleva,Match Report,
Sun,2021-07-18,19:30,Portland,2–1,Orlando,14985,Providence Park,Laura Rodriguez,Match Report,
Fri,2021-07-23,19:00 (17:00),Kansas City,0–0,North Carolina,5239,Field of Legends,Katja Koroleva,Match Report,
Sat,2021-07-24,19:00 (16:00),Orlando,0–2,Reign,4180,Exploria Stadium,John Matto,Match Report,
Sat,2021-07-24,19:30 (17:30),Houston,0–1,Portland,1929,BBVA Compass Stadium,Luis Guardia,Match Report,
Sun,2021-07-25,17:00 (14:00),Gotham FC,2–1,Chicago,,Red Bull Arena,Alyssa Nichols,Match Report,
Sun,2021-07-25,19:30 (16:30),Racing Louisville,0–2,Washington,6422,Lynn Family Stadium,Samantha Martinez,Match Report,
Sat,2021-07-31,19:00 (16:00),North Carolina,,Orlando,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-07-31,19:00,Reign,,Racing Louisville,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-01,12:00,Portland,,Kansas City,,Providence Park,,Head-to-Head,
Sun,2021-08-01,17:00 (15:00),Chicago,,Washington,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-08-01,18:00 (16:00),Houston,,Gotham FC,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-08-07,19:00 (16:00),Gotham FC,,North Carolina,,Red Bull Arena,,Head-to-Head,
Sat,2021-08-07,19:00 (16:00),Washington,,Portland,,Segra Field,,Head-to-Head,
Sat,2021-08-07,19:00,Reign,,Houston,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-08,15:00 (12:00),Racing Louisville,,Kansas City,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-08-08,17:00 (15:00),Chicago,,Orlando,,SeatGeek Stadium,,Head-to-Head,
Fri,2021-08-13,19:30 (17:30),Houston,,Washington,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-08-14,19:00 (16:00),Orlando,,Portland,,Exploria Stadium,,Head-to-Head,
Sat,2021-08-14,19:00 (17:00),Kansas City,,Reign,,Field of Legends,,Head-to-Head,
Sun,2021-08-15,17:00 (14:00),Gotham FC,,Racing Louisville,,Red Bull Arena,,Head-to-Head,
Sun,2021-08-15,18:00 (15:00),North Carolina,,Chicago,,WakeMed Soccer Park,,Head-to-Head,
Wed,2021-08-18,19:30 (16:30),Racing Louisville,,Chicago,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-08-21,19:00 (16:00),North Carolina,,Kansas City,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-08-21,19:00,Reign,,Gotham FC,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-22,17:00 (14:00),Washington,,Orlando,,Audi Field,,Head-to-Head,
Wed,2021-08-25,19:00 (17:00),Kansas City,,Racing Louisville,,Field of Legends,,Head-to-Head,
Wed,2021-08-25,19:30,Portland,,Gotham FC,,Providence Park,,Head-to-Head,
Sat,2021-08-28,19:00 (17:00),Chicago,,Kansas City,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-08-29,17:00 (14:00),Gotham FC,,Orlando,,Red Bull Arena,,Head-to-Head,
Sun,2021-08-29,17:00 (14:00),Washington,,North Carolina,,Audi Field,,Head-to-Head,
Sun,2021-08-29,16:00,Reign,,Portland,,Cheney Stadium,,Head-to-Head,
Sun,2021-08-29,18:00 (16:00),Houston,,Racing Louisville,,BBVA Compass Stadium,,Head-to-Head,
Wed,2021-09-01,19:00 (17:00),Houston,,Reign,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-09-04,19:00 (16:00),Gotham FC,,Chicago,,Red Bull Arena,,Head-to-Head,
Sat,2021-09-04,19:30 (16:30),Racing Louisville,,Reign,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-09-04,19:30,Portland,,Washington,,Providence Park,,Head-to-Head,
Sun,2021-09-05,18:00 (15:00),Orlando,,Houston,,Exploria Stadium,,Head-to-Head,
Sun,2021-09-05,18:00 (16:00),Kansas City,,North Carolina,,Field of Legends,,Head-to-Head,
Fri,2021-09-10,19:00 (17:00),Kansas City,,Gotham FC,,Field of Legends,,Head-to-Head,
Fri,2021-09-10,19:30 (17:30),Houston,,Chicago,,BBVA Compass Stadium,,Head-to-Head,
Sat,2021-09-11,19:00 (16:00),Orlando,,Racing Louisville,,Exploria Stadium,,Head-to-Head,
Sun,2021-09-12,17:00 (14:00),Washington,,Reign,,Audi Field,,Head-to-Head,
Sun,2021-09-12,18:00 (15:00),North Carolina,,Portland,,WakeMed Soccer Park,,Head-to-Head,
Sat,2021-09-25,15:00 (12:00),Gotham FC,,North Carolina,,Red Bull Arena,,Head-to-Head,
Sat,2021-09-25,19:00 (17:00),Chicago,,Portland,,SeatGeek Stadium,,Head-to-Head,
Sun,2021-09-26,15:00 (12:00),Racing Louisville,,Houston,,Lynn Family Stadium,,Head-to-Head,
Sun,2021-09-26,17:00 (14:00),Washington,,Kansas City,,Audi Field,,Head-to-Head,
Sun,2021-09-26,16:00,Reign,,Orlando,,Cheney Stadium,,Head-to-Head,
Fri,2021-10-01,19:00 (16:00),North Carolina,,Washington,,WakeMed Soccer Park,,Head-to-Head,
Fri,2021-10-01,19:30 (16:30),Racing Louisville,,Gotham FC,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-10-02,19:00 (17:00),Chicago,,Orlando,,SeatGeek Stadium,,Head-to-Head,
Sat,2021-10-02,19:00 (17:00),Kansas City,,Houston,,Field of Legends,,Head-to-Head,
Sat,2021-10-02,19:00,Portland,,Reign,,Providence Park,,Head-to-Head,
Wed,2021-10-06,19:00 (16:00),North Carolina,,Racing Louisville,,WakeMed Soccer Park,,Head-to-Head,
Wed,2021-10-06,19:00 (16:00),Gotham FC,,Washington,,Red Bull Arena,,Head-to-Head,
Wed,2021-10-06,19:00,Portland,,Houston,,Providence Park,,Head-to-Head,
Sat,2021-10-09,19:00 (16:00),Washington,,Racing Louisville,,Audi Field,,Head-to-Head,
Sat,2021-10-09,19:00 (16:00),Orlando,,Gotham FC,,Exploria Stadium,,Head-to-Head,
Sat,2021-10-09,19:30 (17:30),Houston,,North Carolina,,BBVA Compass Stadium,,Head-to-Head,
Sun,2021-10-10,16:00,Reign,,Chicago,,Cheney Stadium,,Head-to-Head,
Sun,2021-10-10,18:00 (16:00),Kansas City,,Portland,,Field of Legends,,Head-to-Head,
Sat,2021-10-16,19:30 (16:30),Racing Louisville,,Orlando,,Lynn Family Stadium,,Head-to-Head,
Sat,2021-10-16,19:00 (17:00),Chicago,,Kansas City,,SeatGeek Stadium,,Head-to-Head,
Sat,2021-10-16,19:00,Reign,,Washington,,Cheney Stadium,,Head-to-Head,
Sun,2021-10-17,14:00 (11:00),North Carolina,,Gotham FC,,WakeMed Soccer Park,,Head-to-Head,
Sun,2021-10-17,18:00 (16:00),Houston,,Portland,,BBVA Compass Stadium,,Head-to-Head,
Fri,2021-10-29,19:00 (16:00),Orlando,,Chicago,,Exploria Stadium,,Head-to-Head,
Sat,2021-10-30,20:00 (18:00),Kansas City,,Reign,,Field of Legends,,Head-to-Head,
Sat,2021-10-30,19:00,Portland,,North Carolina,,Providence Park,,Head-to-Head,
Sun,2021-10-31,14:00 (11:00),Washington,,Houston,,Audi Field,,Head-to-Head,
Sun,2021-10-31,14:00 (11:00),Gotham FC,,Racing Louisville,,Red Bull Arena,,Head-to-Head,
