minute,second,type,x,y,x2,y2,name,number,team
67,12,1,74.2,44.8,71.3,44.9,J. Huitema,9,RGN
67,17,1,71.1,70.4,71.4,82.8,E. Sonnett,2,RGN
67,19,1,71.6,82.7,76.1,53.3,M. Rapinoe,15,RGN
67,21,1,76.2,52.8,91.5,24.8,B. Balcer,8,RGN
67,25,1,93.0,25.4,97.0,54.6,V. Latsko,24,RGN
67,27,16,96.3,53.8,99,49.5,J. Huitema,9,RGN
