minute,second,type,x,y,x2,y2,name,number,team
41,22,1,64.6,27.4,78.5,66.4,Marta,10,ORL
41,28,1,80.8,69.4,83.7,87.1,Adriana,9,ORL
41,32,1,84.6,89.8,94.9,70.5,K. Strom,3,ORL
41,38,1,97.8,76.3,92.4,56.9,Adriana,9,ORL
41,43,1,57.8,78.7,54.3,41.4,E. Madril,6,ORL
41,49,1,56.0,29.8,73.8,18.5,M. Montefusco,5,ORL
41,53,1,66.3,31.7,69.0,60.2,Marta,10,ORL
41,56,1,71.8,66.3,88.0,37.0,V. Villacorta,14,ORL
41,59,16,88.8,39.3,99,47.8,H. McCutcheon,2,ORL
