minute,second,type,x,y,x2,y2,name,number,team
45,0,1,11.4,83.1,27.6,67.7,K. McNabb,14,SD
45,4,1,69.7,29.5,57.7,46.3,A. Long,6,NJY
45,7,1,62.5,45.8,70.4,76.2,E. Jean,21,NJY
45,14,1,78.2,76.5,80.5,72.2,J. Nighswonger,32,NJY
45,16,1,76.1,72.3,70.5,78.3,L. Williams,10,NJY
45,18,1,70.5,74.7,68.6,42.1,K. Mewis,19,NJY
45,21,1,70.6,40.3,78.5,3.7,A. Long,6,NJY
45,24,1,78.0,3.7,79.0,25.9,Bruninha,3,NJY
45,28,1,79.3,17.0,82.0,2.9,S. Farrelly,33,NJY
45,33,1,80.4,8.6,68.4,22.7,Bruninha,3,NJY
45,36,1,67.8,23.8,56.7,64.4,A. Long,6,NJY
45,43,1,63.3,68.1,66.7,55.2,E. Jean,21,NJY
45,1,1,49.9,50.0,35.5,53.2,A. Morgan,13,SD
45,3,1,36.7,54.1,69.3,64.7,K. Riehl,18,SD
45,5,1,32.9,38.8,48.6,60.3,A. Long,6,NJY
45,8,1,51.0,40.8,67.3,69.8,C. Westphal,20,SD
45,13,1,62.0,77.2,46.0,80.2,A. Morgan,13,SD
45,15,1,44.4,80.4,35.0,70.2,K. McNabb,14,SD
45,17,1,36.0,70.9,54.4,81.3,N. Girma,4,SD
45,21,1,54.3,81.3,44.4,93.0,J. Shaw,11,SD
45,24,1,44.1,92.3,34.6,71.6,K. McNabb,14,SD
45,27,1,32.3,68.6,18.8,49.1,N. Girma,4,SD
45,30,1,20.5,50.9,38.0,93.9,J. Shaw,11,SD
45,33,1,39.1,94.6,50.9,90.3,K. McNabb,14,SD
45,36,1,49.7,91.4,61.9,90.3,S. Jakobsson,10,SD
45,38,1,61.5,85.9,86.6,57.3,J. Shaw,11,SD
45,44,16,93.5,68.2,99,52.5,M. Doniak,15,SD
