minute,second,type,x,y,x2,y2,name,number,team
79,43,1,42.0,91.7,41.0,62.7,E. Jean,21,NJY
79,48,1,40.6,64.0,90.8,11.7,A. Long,6,NJY
79,53,1,99.0,32.1,91.7,46.9,Y. Ryan,18,NJY
79,55,16,91.8,44.6,98.6,54.3,L. Williams,10,NJY
