minute,second,type,x,y,x2,y2,name,number,team
64,0,1,38.8,27.6,57.6,31.9,K. Hubly,20,POR
64,2,1,59.3,31.0,46.6,9.2,R. Rodríguez,11,POR
64,5,1,62.5,11.0,77.1,4.6,S. Coffey,17,POR
64,10,1,78.7,15.8,90.7,42.1,O. Moultrie,13,POR
64,12,16,97.3,40.0,99,49.1,M. Weaver,22,POR
