slug,id,season
racing-louisville-fc-vs-north-carolina-courage-2022-06-04,2d2my6d9m4zbj5okfmrp7tqfo,2022
kansas-city-current-vs-san-diego-wave-fc-2022-06-04,2cyp0b19ylzrgn49r37dr0e1g,2022
angel-city-fc-vs-houston-dash-2022-06-07,2dubzs5w3m71e964c1vkvtvys,2022
chicago-red-stars-vs-washington-spirit-2022-06-08,29sufy962xnyrn0km8q45wxec,2022
san-diego-wave-fc-vs-portland-thorns-fc-2022-06-08,2d68i47tf9qy1t0zzxkz7agpg,2022
washington-spirit-vs-north-carolina-courage-2022-06-11,2d9pzkusdfevqko5ql8iq8mj8,2022
racing-louisville-fc-vs-angel-city-fc-2022-06-11,2dgks7315u361r96ordiwdf6c,2022
kansas-city-current-vs-nj-ny-gotham-fc-2022-06-11,2dd5e4xiw02smgnj0r1cjlixg,2022
san-diego-wave-fc-vs-ol-reign-2022-06-12,2dr1366x4qitqexrx8yqhegwk,2022
chicago-red-stars-vs-orlando-pride-2022-06-12,2dkfcabeporo9fbyyorfq1kwk,2022
houston-dash-vs-portland-thorns-fc-2022-06-12,2dnm8cul1wiza4iujxs2zsro4,2022
washington-spirit-vs-racing-louisville-fc-2022-06-17,2dxpix5velh5y1tpvhyhqihas,2022
kansas-city-current-vs-chicago-red-stars-2022-06-18,2e0yu82dpoitxye72c3bncqvo,2022
ol-reign-vs-angel-city-fc-2022-06-18,2e4du2rthj366g0q7ijwjc4r8,2022
portland-thorns-fc-vs-orlando-pride-2022-06-19,2e9u5ozth8wq4i8gkejijoqac,2022
nj-ny-gotham-fc-vs-san-diego-wave-fc-2022-06-19,2edc0ljyze899b5tx5onie044,2022
north-carolina-courage-vs-houston-dash-2022-06-19,2egvoqo5vf0qbslrdam6nophw,2022
houston-dash-vs-kansas-city-current-2022-07-01,2eqvb0skt73ube3l2ddrukfmc,2022
ol-reign-vs-north-carolina-courage-2022-07-01,2ek30difbqbe0ohklmejcq8lw,2022
angel-city-fc-vs-portland-thorns-fc-2022-07-01,2ene1ia8603fg8xgomxmusg0k,2022
nj-ny-gotham-fc-vs-chicago-red-stars-2022-07-02,2exln6h2965c9oj9tsyepgsno,2022
san-diego-wave-fc-vs-washington-spirit-2022-07-03,2f15g9r4xsgocz32ma6r2bpxw,2022
orlando-pride-vs-racing-louisville-fc-2022-07-03,2eu6jgfqjnt56c4kua13fup78,2022
orlando-pride-vs-houston-dash-2022-07-08,2f52ztl432jqesepp4mzrb8d0,2022
racing-louisville-fc-vs-nj-ny-gotham-fc-2022-07-08,2f8oe7pywivwne2xjql0bpces,2022
angel-city-fc-vs-san-diego-wave-fc-2022-07-09,2fcdt1o1eavxqhlzgpbf9ual0,2022
washington-spirit-vs-kansas-city-current-2022-07-10,2fftuvuwsg82xrotfak25j3mc,2022
chicago-red-stars-vs-north-carolina-courage-2022-07-10,2fjbzvkmqjw0o84angdqh3o5w,2022
ol-reign-vs-portland-thorns-fc-2022-07-10,2fmsqrw10mt1eqd9x0ki7hono,2022
san-diego-wave-fc-vs-racing-louisville-fc-2022-07-15,2ftt38akjnlhmqifylc3bdyc4,2022
houston-dash-vs-chicago-red-stars-2022-07-16,2fyv1zn1octpe6cri4ctjeqs4,2022
portland-thorns-fc-vs-nj-ny-gotham-fc-2022-07-16,2g2erchwjf8hj0jq6gm9xw4yc,2022
washington-spirit-vs-orlando-pride-2022-07-17,2g5x7vn3yyzhmiuazn221p9n8,2022
kansas-city-current-vs-ol-reign-2022-07-17,2g9lhqcov1orgn3c8g65ykt1w,2022
north-carolina-courage-vs-washington-spirit-2022-07-29,2gczcwx2f6b7cpj74we6c4xec,2022
racing-louisville-fc-vs-portland-thorns-fc-2022-07-29,2ggi2xo13li0smrjg4y1layhg,2022
chicago-red-stars-vs-san-diego-wave-fc-2022-07-30,2gjz0m2txa9xff2453j0u4650,2022
angel-city-fc-vs-ol-reign-2022-07-30,2gnk9n442uvmfdt1awmcn4k5w,2022
nj-ny-gotham-fc-vs-houston-dash-2022-07-31,2gr9k5xvnuhcdakpdq2sjlfro,2022
kansas-city-current-vs-orlando-pride-2022-07-31,2gv94uyqt8gwk13ss12fzysyc,2022
racing-louisville-fc-vs-ol-reign-2022-08-02,2gyt3fec5zz6puufc6dyf8rv8,2022
racing-louisville-fc-vs-washington-spirit-2022-08-05,2h2f525k6armngtyqdbe3l1jo,2022
portland-thorns-fc-vs-north-carolina-courage-2022-08-05,2h5wipt4zdai69mwev7ybi3o4,2022
san-diego-wave-fc-vs-kansas-city-current-2022-08-07,2h9lvb3odtclooy925dfp0j6c,2022
chicago-red-stars-vs-nj-ny-gotham-fc-2022-08-07,2hda018xogfqz7vy3k8i0ox78,2022
ol-reign-vs-houston-dash-2022-08-07,2hgv4oe22qsx3uunbd7f5bpck,2022
orlando-pride-vs-angel-city-fc-2022-08-07,2hkr4me3q3buzfk9oxjjidtsk,2022
washington-spirit-vs-portland-thorns-fc-2022-08-10,2hpst5ocaqcd8th5mudvya51w,2022
houston-dash-vs-racing-louisville-fc-2022-08-12,2ht9674v5je6bgmhxuj6p3jf8,2022
north-carolina-courage-vs-kansas-city-current-2022-08-13,2i0amxt6nsxg96u5ovb65ve38,2022
san-diego-wave-fc-vs-orlando-pride-2022-08-13,2hwrpn99pztwz0pyhwys7r4es,2022
ol-reign-vs-nj-ny-gotham-fc-2022-08-14,2i3yxyzcd5ms1wlj6vd5nltzo,2022
angel-city-fc-vs-chicago-red-stars-2022-08-14,2i7n9xfs8geokamxz5kcpuplg,2022
houston-dash-vs-nj-ny-gotham-fc-2022-08-17,2ib7xfq9xxfnwtqqlkj6eqln8,2022
kansas-city-current-vs-angel-city-fc-2022-08-19,2iesi5b71pu31tumpst09vbpw,2022
north-carolina-courage-vs-chicago-red-stars-2022-08-20,2ilxbwk8pnvz3muvypdecqyok,2022
nj-ny-gotham-fc-vs-orlando-pride-2022-08-20,2ii8bocw09qgvai1fivfl24us,2022
san-diego-wave-fc-vs-houston-dash-2022-08-20,2ipit3eo4supjrj0bi0eqw8pg,2022
north-carolina-courage-vs-portland-thorns-fc-2022-08-24,29pgs1a298cj76x4fo8a792xg,2022
orlando-pride-vs-ol-reign-2022-08-26,2iszydkkppb0zuykyy10bpp1w,2022
racing-louisville-fc-vs-chicago-red-stars-2022-08-27,2iwmonimqngq8vaubncpaxo2c,2022
houston-dash-vs-washington-spirit-2022-08-27,2j06mmtry99u6pk0u48g2t638,2022
portland-thorns-fc-vs-san-diego-wave-fc-2022-08-27,2j3us9elb00q4elyigzcus4yc,2022
nj-ny-gotham-fc-vs-angel-city-fc-2022-08-28,2j7i1gupm08dx8i5km0hwa710,2022
kansas-city-current-vs-north-carolina-courage-2022-08-28,2jb8755dj1bna0thkx9prjm6s,2022
nj-ny-gotham-fc-vs-north-carolina-courage-2022-09-04,2ahkwy7u9jg1d9wqjojc53v9w,2022
orlando-pride-vs-portland-thorns-fc-2022-09-09,2jkh0iqlq9bftlurh93lz9nh0,2022
ol-reign-vs-chicago-red-stars-2022-09-09,2jgdk2gqzw1zj09i2cp0s99uc,2022
washington-spirit-vs-san-diego-wave-fc-2022-09-10,2jo579fi3pfl10h3mm2n9hwyc,2022
north-carolina-courage-vs-racing-louisville-fc-2022-09-10,2jro7hlnrb0zf40j1ylvgmj2s,2022
nj-ny-gotham-fc-vs-kansas-city-current-2022-09-11,2jvdn5uh1knnz49bzikq2iexg,2022
