,2022-01-02,2022-01-09,2022-01-16,2022-01-23,2022-01-30,2022-02-06,2022-02-13,2022-02-20,2022-02-27,2022-03-06,2022-03-13,2022-03-20,2022-03-27,2022-04-03,2022-04-10,2022-04-17,2022-04-24,2022-05-01,2022-05-08,2022-05-15,2022-05-22,2022-05-29,2022-06-05,2022-06-12,2022-06-19,2022-06-26,2022-07-03,2022-07-10,2022-07-17,2022-07-24,2022-07-31,2022-08-07,2022-08-14,2022-08-21,2022-08-28,2022-09-04,2022-09-11,2022-09-18,2022-09-25,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13,2022-11-20,2022-11-27,2022-12-04,2022-12-11,2022-12-18,2022-12-25
Angel City FC,6,7,4,5,14,13,16,11,14,14,29,51,40,14,10,23,91,55,41,39,35,46,33,24,14,43,20,40,17,24,37,40,40,12,24,38,25,34,28,14,4,7,5,5,4,6,4,6,4,7,5,7
Chicago Red Stars,2,3,4,1,4,6,5,5,8,7,6,16,13,8,8,11,14,16,7,9,15,18,12,16,9,10,10,13,11,14,18,15,15,8,8,14,12,11,14,20,8,28,6,3,2,3,2,5,6,7,11,11
Houston Dash,1,5,1,5,6,0,5,4,5,0,4,13,10,7,8,5,17,10,9,8,7,19,12,16,9,13,7,6,10,3,10,20,15,6,12,5,13,11,16,8,16,30,5,1,4,3,2,1,2,3,2,0
Kansas City Current,4,4,1,1,0,0,0,0,1,0,3,3,3,1,2,0,3,3,2,2,3,0,2,4,2,0,2,0,6,0,3,2,4,2,2,0,3,6,0,1,2,3,12,11,1,1,2,1,1,0,2,0
North Carolina Courage,3,3,2,1,2,3,1,4,1,5,6,13,9,8,6,11,16,16,11,12,10,7,10,8,12,12,5,11,5,17,17,7,9,15,7,9,13,13,16,6,2,1,2,3,0,2,3,2,3,2,3,4
NJ/NY Gotham FC,0,0,3,0,4,6,3,5,4,4,7,13,11,12,6,16,13,20,15,14,11,21,8,12,14,10,14,7,13,10,15,12,16,9,15,5,9,15,11,7,2,5,6,2,0,6,1,4,5,1,2,5
OL Reign,1,2,4,6,5,7,10,4,8,12,33,17,12,14,23,27,20,36,28,13,28,29,14,34,31,33,20,27,20,15,46,34,37,26,13,26,15,22,27,33,12,32,86,11,2,7,3,4,5,5,2,6
Orlando Pride,2,3,4,4,3,5,5,4,4,5,13,13,15,10,8,11,10,13,13,11,18,13,15,18,19,12,16,6,8,4,12,12,10,10,4,10,5,9,8,8,32,7,1,0,2,3,1,2,2,3,1,0
Portland Thorns,5,6,6,8,7,6,8,8,12,27,23,15,34,27,15,26,41,20,28,37,17,32,20,23,31,25,13,29,33,27,40,28,48,38,26,17,13,40,42,38,21,21,100,99,9,9,8,47,28,7,7,8
Racing Louisville,3,0,0,4,2,2,2,2,3,8,11,9,8,2,5,7,8,6,10,9,5,11,9,13,3,3,13,9,5,13,18,9,12,13,6,6,6,6,9,14,2,2,2,1,0,2,2,0,2,2,1,0
San Diego Wave FC,0,0,1,0,0,0,0,0,1,0,2,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0
Washington Spirit,3,4,5,3,7,10,3,6,6,6,9,17,17,14,9,23,15,52,19,28,18,17,17,20,11,11,9,15,18,16,13,17,5,11,12,27,20,17,15,7,3,3,3,2,4,4,3,4,5,1,4,0
