team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,6,2,2,0,0,8,1,7
SD,2,6,2,2,0,0,6,3,3
WAS,3,4,2,1,0,1,3,2,1
HOU,4,4,2,1,0,1,2,1,1
RGN,5,3,2,1,1,0,2,1,1
NJNY,6,3,2,1,1,0,2,3,-1
LA,7,3,2,1,1,0,3,3,0
NC,8,3,2,1,1,0,2,3,-1
LOU,9,2,2,0,0,2,2,2,0
CHI,10,0,2,0,2,0,3,5,-2
KCC,11,0,2,0,2,0,1,5,-4
ORL,12,0,2,0,2,0,1,6,-5
