team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,29,17,8,4,5,37,23,14
NC,2,27,17,8,6,3,23,16,7
SD,3,27,17,8,6,3,25,20,5
NJNY,4,26,17,7,5,5,18,16,2
WAS,5,26,17,6,3,8,24,23,1
RGN,6,24,17,7,7,3,24,21,3
ORL,7,22,17,7,9,1,21,23,-2
LOU,8,21,17,4,4,9,20,17,3
LA,9,21,17,5,6,6,21,25,-4
HOU,10,20,17,4,5,8,12,14,-2
KCC,11,19,17,6,10,1,19,27,-8
CHI,12,17,17,5,10,2,20,39,-19
