team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,11,5,3,0,2,14,5,9
RGN,2,10,5,3,1,1,10,5,5
SD,3,9,5,3,2,0,9,7,2
WAS,4,9,5,2,0,3,6,4,2
NJNY,5,9,5,3,2,0,5,5,0
HOU,6,6,5,1,1,3,3,3,0
KCC,7,6,5,2,3,0,7,9,-2
NC,8,6,5,2,3,0,4,6,-2
LA,9,5,5,1,2,2,8,10,-2
LOU,10,4,5,0,1,4,6,8,-2
CHI,11,4,5,1,3,1,10,13,-3
ORL,12,3,5,1,4,0,4,11,-7
