team,rank,PTS,MP,W,L,D,GF,GA,GD
SD,1,20,11,6,3,2,17,11,6
WAS,2,20,11,5,1,5,15,10,5
POR,3,19,11,5,2,4,26,14,12
RGN,4,19,11,6,4,1,19,14,5
NJNY,5,18,11,5,3,3,13,10,3
NC,6,17,11,5,4,2,15,11,4
HOU,7,16,11,4,3,4,10,10,0
ORL,8,13,11,4,6,1,10,16,-6
LOU,9,12,11,2,3,6,13,12,1
CHI,10,10,11,3,7,1,14,28,-14
LA,11,9,11,2,6,3,14,21,-7
KCC,12,9,11,3,8,0,11,20,-9
