team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,25,13,7,2,4,33,18,15
NC,2,23,13,7,4,2,19,11,8
RGN,3,23,13,7,4,2,21,15,6
WAS,4,23,13,6,2,5,20,16,4
NJNY,5,21,13,6,4,3,15,13,2
SD,6,20,13,6,5,2,19,15,4
HOU,7,18,13,4,3,6,10,10,0
LOU,8,15,13,3,4,6,15,13,2
LA,9,13,13,3,6,4,16,22,-6
ORL,10,13,13,4,8,1,11,21,-10
KCC,11,12,13,4,9,0,15,24,-9
CHI,12,10,13,3,9,1,17,33,-16
