team,rank,PTS,MP,W,L,D,GF,GA,GD
NJNY,1,17,9,5,2,2,12,8,4
POR,2,16,9,4,1,4,23,11,12
RGN,3,16,9,5,3,1,17,11,6
SD,4,16,9,5,3,1,16,11,5
WAS,5,16,9,4,1,4,12,8,4
NC,6,14,9,4,3,2,10,10,0
HOU,7,12,9,3,3,3,7,9,-2
LOU,8,10,9,2,3,4,12,11,1
ORL,9,10,9,3,5,1,7,13,-6
LA,10,9,9,2,4,3,12,17,-5
CHI,11,7,9,2,6,1,12,22,-10
KCC,12,6,9,2,7,0,9,18,-9
