team,rank,PTS,MP,W,L,D,GF,GA,GD
SD,1,30,18,9,6,3,26,20,6
POR,2,29,18,8,5,5,38,25,13
NC,3,28,18,8,6,4,26,19,7
RGN,4,27,18,8,7,3,25,21,4
NJNY,5,27,18,7,5,6,21,19,2
WAS,6,26,18,6,4,8,24,25,-1
LOU,7,24,18,5,4,9,22,18,4
LA,8,24,18,6,6,6,22,25,-3
ORL,9,22,18,7,10,1,21,24,-3
HOU,10,20,18,4,6,8,12,15,-3
CHI,11,20,18,6,10,2,22,39,-17
KCC,12,19,18,6,11,1,19,28,-9
