team,rank,PTS,MP,W,L,D,GF,GA,GD
RGN,1,13,6,4,1,1,12,5,7
POR,2,12,6,3,0,3,17,8,9
WAS,3,12,6,3,0,3,9,5,4
NJNY,4,12,6,4,2,0,7,6,1
SD,5,9,6,3,3,0,10,10,0
LA,6,8,6,2,2,2,11,12,-1
NC,7,7,6,2,3,1,7,9,-2
HOU,8,6,6,1,2,3,3,5,-2
KCC,9,6,6,2,4,0,9,12,-3
ORL,10,6,6,2,4,0,5,11,-6
LOU,11,4,6,0,2,4,6,9,-3
CHI,12,4,6,1,4,1,11,15,-4
