team,rank,PTS,MP,W,L,D,GF,GA,GD
NC,1,26,15,8,5,2,21,13,8
POR,2,25,15,7,4,4,34,21,13
NJNY,3,25,15,7,4,4,17,14,3
RGN,4,24,15,7,5,3,23,18,5
WAS,5,24,15,6,3,6,22,21,1
SD,6,21,15,6,6,3,21,18,3
LOU,7,19,15,4,4,7,19,16,3
ORL,8,19,15,6,8,1,15,21,-6
HOU,9,18,15,4,5,6,10,12,-2
LA,10,17,15,4,6,5,18,23,-5
CHI,11,16,15,5,9,1,19,33,-14
KCC,12,15,15,5,10,0,17,26,-9
