team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,3,1,1,0,0,4,0,4
SD,2,3,1,1,0,0,3,2,1
NJNY,3,3,1,1,0,0,2,1,1
NC,4,3,1,1,0,0,1,0,1
WAS,5,3,1,1,0,0,1,0,1
LOU,6,1,1,0,0,1,0,0,0
HOU,7,1,1,0,0,1,0,0,0
CHI,8,0,1,0,1,0,2,3,-1
LA,9,0,1,0,1,0,1,2,-1
KC,10,0,1,0,1,0,0,1,-1
RGN,11,0,1,0,1,0,0,1,-1
ORL,12,0,1,0,1,0,0,4,-4
