team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,19,10,5,1,4,25,11,14
SD,2,19,10,6,3,1,17,11,6
WAS,3,17,10,4,1,5,13,9,4
NJNY,4,17,10,5,3,2,12,9,3
RGN,5,16,10,5,4,1,17,13,4
HOU,6,15,10,4,3,3,9,9,0
NC,7,14,10,4,4,2,10,11,-1
LOU,8,11,10,2,3,5,13,12,1
ORL,9,10,10,3,6,1,7,15,-8
CHI,10,10,10,3,6,1,14,23,-9
LA,11,9,10,2,5,3,13,19,-6
KCC,12,9,10,3,7,0,10,18,-8
