team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,35,21,10,6,5,41,27,14
SD,2,34,21,10,7,4,29,22,7
NC,3,30,21,8,7,6,28,22,6
NJNY,4,30,21,8,7,6,23,22,1
WAS,5,30,21,7,5,9,26,28,-2
RGN,6,29,21,8,8,5,26,24,2
ORL,7,28,21,9,11,1,26,28,-2
LA,8,28,21,7,7,7,26,29,-3
LOU,9,27,21,6,6,9,25,22,3
HOU,10,26,21,6,7,8,16,17,-1
KCC,11,25,21,8,12,1,28,34,-6
CHI,12,24,21,7,11,3,28,47,-19
