team,rank,PTS,MP,W,L,D,GF,GA,GD
NC,1,26,14,8,4,2,20,11,9
POR,2,25,14,7,3,4,33,19,14
RGN,3,24,14,7,4,3,23,17,6
WAS,4,23,14,6,3,5,20,19,1
NJNY,5,22,14,6,4,4,15,13,2
SD,6,20,14,6,6,2,19,16,3
HOU,7,18,14,4,4,6,10,11,-1
LOU,8,16,14,3,4,7,17,15,2
ORL,9,16,14,5,8,1,14,21,-7
KCC,10,15,14,5,9,0,16,24,-8
LA,11,14,14,3,6,5,16,22,-6
CHI,12,13,14,4,9,1,18,33,-15
