team,rank,PTS,MP,W,L,D,GF,GA,GD
WAS,1,23,12,6,1,5,18,12,6
POR,2,22,12,6,2,4,29,16,13
NC,3,20,12,6,4,2,18,11,7
RGN,4,20,12,6,4,2,19,14,5
SD,5,20,12,6,4,2,18,13,5
NJNY,6,18,12,5,4,3,13,12,1
HOU,7,17,12,4,3,5,10,10,0
LOU,8,15,12,3,3,6,15,12,3
ORL,9,13,12,4,7,1,10,19,-9
LA,10,12,12,3,6,3,16,22,-6
CHI,11,10,12,3,8,1,16,31,-15
KCC,12,9,12,3,9,0,13,23,-10
