team,rank,PTS,MP,W,L,D,GF,GA,GD
NJNY,1,16,8,5,2,1,11,7,4
POR,2,15,8,4,1,3,22,10,12
SD,3,15,8,5,3,0,15,10,5
WAS,4,15,8,4,1,3,11,7,4
RGN,5,13,8,4,3,1,13,10,3
NC,6,11,8,3,3,2,8,9,-1
LOU,7,10,8,2,2,4,11,9,2
ORL,8,10,8,3,4,1,7,12,-5
LA,9,9,8,2,3,3,11,13,-2
HOU,10,9,8,2,3,3,5,9,-4
KCC,11,6,8,2,6,0,9,16,-7
CHI,12,4,8,1,6,1,11,22,-11
