team,rank,PTS,MP,W,L,D,GF,GA,GD
POR,1,28,16,8,4,4,36,22,14
NC,2,26,16,8,6,2,22,15,7
NJNY,3,25,16,7,5,4,18,16,2
WAS,4,25,16,6,3,7,23,22,1
RGN,5,24,16,7,6,3,23,19,4
SD,6,24,16,7,6,3,23,19,4
ORL,7,22,16,7,8,1,20,21,-1
LOU,8,20,16,4,4,8,20,17,3
HOU,9,19,16,4,5,7,11,13,-2
LA,10,18,16,4,6,6,19,24,-5
KCC,11,18,16,6,10,0,18,26,-8
CHI,12,16,16,5,10,1,19,38,-19
