team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,32,14,9,0,5,37,20,17
ORL,2,32,14,9,0,5,27,11,16
WAS,3,31,14,10,3,1,29,17,12
NJNY,4,27,14,8,3,3,16,11,5
POR,5,23,14,7,5,2,26,20,6
NC,6,19,14,6,7,1,16,16,0
CHI,7,17,14,5,7,2,19,22,-3
LOU,8,16,14,3,4,7,20,18,2
SD,9,15,14,3,5,6,12,13,-1
LA,10,15,14,4,7,3,15,21,-6
BAY,11,15,14,5,9,0,18,25,-7
HOU,12,14,14,3,6,5,11,20,-9
RGN,13,9,14,2,9,3,14,26,-12
UTA,14,7,14,2,11,1,7,27,-20
