team,rank,PTS,MP,W,L,D,GF,GA,GD
KCC,1,21,9,6,0,3,22,12,10
ORL,2,21,9,6,0,3,15,7,8
WAS,3,18,9,6,3,0,18,12,6
POR,4,16,9,5,3,1,21,14,7
CHI,5,16,9,5,3,1,14,12,2
NC,6,12,9,4,5,0,12,11,1
NJNY,7,12,8,3,2,3,6,6,0
SD,8,11,8,3,3,2,8,7,1
LA,9,10,8,3,4,1,9,12,-3
HOU,10,9,9,2,4,3,8,16,-8
LOU,11,8,8,1,2,5,11,9,2
RGN,12,7,9,2,6,1,7,14,-7
BAY,13,6,9,2,7,0,13,20,-7
UTA,14,4,9,1,7,1,6,18,-12
